,last_name,full_name,type,state,district
136,Scalise,Steve Scalise,rep,LA,1.0
137,Schakowsky,Janice D. Schakowsky,rep,IL,9.0
138,Schiff,Adam B. Schiff,rep,CA,30.0
139,Schumer,Charles E. Schumer,sen,NY,
140,Schweikert,David Schweikert,rep,AZ,1.0
141,Scott,Austin Scott,rep,GA,8.0
142,Scott,David Scott,rep,GA,13.0
143,Scott,"Robert C. ""Bobby"" Scott",rep,VA,3.0
144,Scott,Tim Scott,sen,SC,
145,Sewell,Terri A. Sewell,rep,AL,7.0
146,Sherman,Brad Sherman,rep,CA,32.0
147,Simpson,Michael K. Simpson,rep,ID,2.0
148,Smith,Adam Smith,rep,WA,9.0
149,Smith,Adrian Smith,rep,NE,3.0
150,Smith,Christopher H. Smith,rep,NJ,4.0
151,Sánchez,Linda T. Sánchez,rep,CA,38.0
152,Thompson,Bennie G. Thompson,rep,MS,2.0
153,Thompson,Mike Thompson,rep,CA,4.0
154,Thompson,Glenn Thompson,rep,PA,15.0
155,Thune,John Thune,sen,SD,
156,Tonko,Paul Tonko,rep,NY,20.0
157,Turner,Michael R. Turner,rep,OH,10.0
158,Van Hollen,Chris Van Hollen,sen,MD,
159,Velázquez,Nydia M. Velázquez,rep,NY,7.0
160,Walberg,Tim Walberg,rep,MI,5.0
161,Wasserman Schultz,Debbie Wasserman Schultz,rep,FL,25.0
162,Waters,Maxine Waters,rep,CA,43.0
163,Webster,Daniel Webster,rep,FL,11.0
164,Welch,Peter Welch,sen,VT,
165,Wilson,Joe Wilson,rep,SC,2.0
166,Wilson,Frederica S. Wilson,rep,FL,24.0
167,Wittman,Robert J. Wittman,rep,VA,1.0
168,Womack,Steve Womack,rep,AR,3.0
169,Wyden,Ron Wyden,sen,OR,
170,Young,Todd Young,sen,IN,
171,Amodei,Mark E. Amodei,rep,NV,2.0
172,Bonamici,Suzanne Bonamici,rep,OR,1.0
173,DelBene,Suzan K. DelBene,rep,WA,1.0
174,Massie,Thomas Massie,rep,KY,4.0
175,Payne,"Donald M. Payne, Jr.",rep,NJ,10.0
176,Schatz,Brian Schatz,sen,HI,
177,Foster,Bill Foster,rep,IL,11.0
178,Titus,Dina Titus,rep,NV,1.0
179,Cotton,Tom Cotton,sen,AR,
180,Sinema,Kyrsten Sinema,sen,AZ,
181,LaMalfa,Doug LaMalfa,rep,CA,1.0
182,Huffman,Jared Huffman,rep,CA,2.0
183,Bera,Ami Bera,rep,CA,6.0
184,Swalwell,Eric Swalwell,rep,CA,14.0
185,Brownley,Julia Brownley,rep,CA,26.0
186,Cárdenas,Tony Cárdenas,rep,CA,29.0
187,Ruiz,Raul Ruiz,rep,CA,25.0
188,Takano,Mark Takano,rep,CA,39.0
189,Vargas,Juan Vargas,rep,CA,52.0
190,Peters,Scott H. Peters,rep,CA,50.0
191,Frankel,Lois Frankel,rep,FL,22.0
192,Duckworth,Tammy Duckworth,sen,IL,
193,Barr,Andy Barr,rep,KY,6.0
194,Warren,Elizabeth Warren,sen,MA,
195,King,"Angus S. King, Jr.",sen,ME,
196,Kildee,Daniel T. Kildee,rep,MI,8.0
197,Wagner,Ann Wagner,rep,MO,2.0
198,Daines,Steve Daines,sen,MT,
199,Hudson,Richard Hudson,rep,NC,9.0
200,Cramer,Kevin Cramer,sen,ND,
201,Fischer,Deb Fischer,sen,NE,
202,Kuster,Ann M. Kuster,rep,NH,2.0
203,Meng,Grace Meng,rep,NY,6.0
204,Jeffries,Hakeem S. Jeffries,rep,NY,8.0
205,Wenstrup,Brad R. Wenstrup,rep,OH,2.0
206,Beatty,Joyce Beatty,rep,OH,3.0
207,Joyce,David P. Joyce,rep,OH,14.0
208,Mullin,Markwayne Mullin,sen,OK,
209,Perry,Scott Perry,rep,PA,10.0
210,Cartwright,Matt Cartwright,rep,PA,8.0
211,Cruz,Ted Cruz,sen,TX,
212,Weber,"Randy K. Weber, Sr.",rep,TX,14.0
213,Castro,Joaquin Castro,rep,TX,20.0
214,Williams,Roger Williams,rep,TX,25.0
215,Veasey,Marc A. Veasey,rep,TX,33.0
216,Kaine,Tim Kaine,sen,VA,
217,Kilmer,Derek Kilmer,rep,WA,6.0
218,Pocan,Mark Pocan,rep,WI,2.0
219,Kelly,Robin L. Kelly,rep,IL,2.0
220,Smith,Jason Smith,rep,MO,8.0
221,Booker,Cory A. Booker,sen,NJ,
222,Clark,Katherine M. Clark,rep,MA,5.0
223,Norcross,Donald Norcross,rep,NJ,1.0
224,Adams,Alma S. Adams,rep,NC,12.0
225,Palmer,Gary J. Palmer,rep,AL,6.0
226,Hill,J. French Hill,rep,AR,2.0
227,Westerman,Bruce Westerman,rep,AR,4.0
228,Gallego,Ruben Gallego,rep,AZ,3.0
229,DeSaulnier,Mark DeSaulnier,rep,CA,10.0
230,Aguilar,Pete Aguilar,rep,CA,33.0
231,Lieu,Ted Lieu,rep,CA,36.0
232,Torres,Norma J. Torres,rep,CA,35.0
233,Buck,Ken Buck,rep,CO,4.0
234,Carter,"Earl L. ""Buddy"" Carter",rep,GA,1.0
235,Loudermilk,Barry Loudermilk,rep,GA,11.0
236,Allen,Rick W. Allen,rep,GA,12.0
237,Bost,Mike Bost,rep,IL,12.0
238,Graves,Garret Graves,rep,LA,6.0
239,Moulton,Seth Moulton,rep,MA,6.0
240,Moolenaar,John R. Moolenaar,rep,MI,2.0
241,Dingell,Debbie Dingell,rep,MI,6.0
242,Emmer,Tom Emmer,rep,MN,6.0
243,Rouzer,David Rouzer,rep,NC,7.0
244,Watson Coleman,Bonnie Watson Coleman,rep,NJ,12.0
245,Stefanik,Elise M. Stefanik,rep,NY,21.0
246,Boyle,Brendan F. Boyle,rep,PA,2.0
247,Babin,Brian Babin,rep,TX,36.0
248,Beyer,"Donald S. Beyer, Jr.",rep,VA,8.0
249,Plaskett,Stacey E. Plaskett,rep,VI,0.0
250,Newhouse,Dan Newhouse,rep,WA,4.0
251,Grothman,Glenn Grothman,rep,WI,6.0
252,Mooney,Alexander X. Mooney,rep,WV,2.0
253,Radewagen,Aumua Amata Coleman Radewagen,rep,AS,0.0
254,Sullivan,Dan Sullivan,sen,AK,
255,Ernst,Joni Ernst,sen,IA,
256,Tillis,Thom Tillis,sen,NC,
257,Rounds,Mike Rounds,sen,SD,
258,Kelly,Trent Kelly,rep,MS,1.0
259,LaHood,Darin LaHood,rep,IL,16.0
260,Davidson,Warren Davidson,rep,OH,8.0
261,Comer,James Comer,rep,KY,1.0
262,Evans,Dwight Evans,rep,PA,3.0
263,Kennedy,John Kennedy,sen,LA,
264,Hassan,Margaret Wood Hassan,sen,NH,
265,Cortez Masto,Catherine Cortez Masto,sen,NV,
266,Schneider,Bradley Scott Schneider,rep,IL,10.0
267,Biggs,Andy Biggs,rep,AZ,5.0
268,Khanna,Ro Khanna,rep,CA,17.0
269,Panetta,Jimmy Panetta,rep,CA,19.0
270,Carbajal,Salud O. Carbajal,rep,CA,24.0
271,Barragán,Nanette Diaz Barragán,rep,CA,44.0
272,Correa,J. Luis Correa,rep,CA,46.0
273,Blunt Rochester,Lisa Blunt Rochester,rep,DE,0.0
274,Gaetz,Matt Gaetz,rep,FL,1.0
275,Dunn,Neal P. Dunn,rep,FL,2.0
276,Rutherford,John H. Rutherford,rep,FL,5.0
277,Soto,Darren Soto,rep,FL,9.0
278,Mast,Brian J. Mast,rep,FL,21.0
279,Ferguson,A. Drew Ferguson IV,rep,GA,3.0
280,Krishnamoorthi,Raja Krishnamoorthi,rep,IL,8.0
281,Banks,Jim Banks,rep,IN,3.0
282,Marshall,Roger Marshall,sen,KS,
283,Higgins,Clay Higgins,rep,LA,3.0
284,Johnson,Mike Johnson,rep,LA,4.0
285,Raskin,Jamie Raskin,rep,MD,8.0
286,Bergman,Jack Bergman,rep,MI,1.0
287,Budd,Ted Budd,sen,NC,
288,Bacon,Don Bacon,rep,NE,2.0
289,Gottheimer,Josh Gottheimer,rep,NJ,5.0
290,Rosen,Jacky Rosen,sen,NV,
291,Espaillat,Adriano Espaillat,rep,NY,13.0
292,Fitzpatrick,Brian K. Fitzpatrick,rep,PA,1.0
293,Smucker,Lloyd Smucker,rep,PA,11.0
294,González-Colón,Jenniffer González-Colón,rep,PR,0.0
295,Kustoff,David Kustoff,rep,TN,8.0
296,Gonzalez,Vicente Gonzalez,rep,TX,34.0
297,Arrington,Jodey C. Arrington,rep,TX,19.0
298,Jayapal,Pramila Jayapal,rep,WA,7.0
299,Gallagher,Mike Gallagher,rep,WI,8.0
300,Estes,Ron Estes,rep,KS,4.0
301,Norman,Ralph Norman,rep,SC,5.0
302,Gomez,Jimmy Gomez,rep,CA,34.0
303,Curtis,John R. Curtis,rep,UT,3.0
304,Smith,Tina Smith,sen,MN,
305,Hyde-Smith,Cindy Hyde-Smith,sen,MS,
306,Lesko,Debbie Lesko,rep,AZ,8.0
307,Cloud,Michael Cloud,rep,TX,27.0
308,Balderson,Troy Balderson,rep,OH,12.0
309,Hern,Kevin Hern,rep,OK,1.0
310,Morelle,Joseph D. Morelle,rep,NY,25.0
311,Scanlon,Mary Gay Scanlon,rep,PA,5.0
312,Wild,Susan Wild,rep,PA,7.0
313,Case,Ed Case,rep,HI,1.0
314,Horsford,Steven Horsford,rep,NV,4.0
315,Stanton,Greg Stanton,rep,AZ,4.0
316,Harder,Josh Harder,rep,CA,9.0
317,Porter,Katie Porter,rep,CA,47.0
318,Levin,Mike Levin,rep,CA,49.0
319,Neguse,Joe Neguse,rep,CO,2.0
320,Crow,Jason Crow,rep,CO,6.0
321,Hayes,Jahana Hayes,rep,CT,5.0
322,Waltz,Michael Waltz,rep,FL,6.0
323,Steube,W. Gregory Steube,rep,FL,17.0
324,McBath,Lucy McBath,rep,GA,7.0
325,Fulcher,Russ Fulcher,rep,ID,1.0
326,García,"Jesús G. ""Chuy"" García",rep,IL,4.0
327,Casten,Sean Casten,rep,IL,6.0
328,Underwood,Lauren Underwood,rep,IL,14.0
329,Baird,James R. Baird,rep,IN,4.0
330,Pence,Greg Pence,rep,IN,6.0
