id,vote,name,party, and Explosives relating to “Factoring Criteria for Firearms with Attached ‘Stabilizing
115,3,Yea,Rep. Jeff Duncan [R],Republican
116,3,Yea,Rep. Charles “Chuck” Fleischmann [R],Republican
117,4,Yea,Rep. Scott DesJarlais [R],Republican
118,9,Yea,Rep. Morgan Griffith [R],Republican
119,2,Yea,Rep. Mark Amodei [R],Republican
120,1,Nay,Rep. Suzanne Bonamici [D],Democrat
121,4,Yea,Rep. Thomas Massie [R],Republican
122,1,Nay,Rep. Suzan DelBene [D],Democrat
123,10,Nay,Rep. Donald Payne Jr. [D],Democrat
124,1,Yea,Rep. Doug LaMalfa [R],Republican
125,2,Nay,Rep. Jared Huffman [D],Democrat
126,6,Nay,Rep. Ami Bera [D],Democrat
127,14,Nay,Rep. Eric Swalwell [D],Democrat
128,22,Yea,Rep. David Valadao [R],Republican
129,26,Nay,Rep. Julia Brownley [D],Democrat
130,29,Nay,Rep. Tony Cárdenas [D],Democrat
131,25,Nay,Rep. Raul Ruiz [D],Democrat
132,39,Nay,Rep. Mark Takano [D],Democrat
133,52,Nay,Rep. Juan Vargas [D],Democrat
134,50,Nay,Rep. Scott Peters [D],Democrat
135,22,Nay,Rep. Lois Frankel [D],Democrat
136,10,Nay,Rep. Bradley “Brad” Schneider [D],Democrat
137,6,Yea,Rep. Garland “Andy” Barr [R],Republican
138,8,Nay,Rep. Daniel Kildee [D],Democrat
139,2,Yea,Rep. Ann Wagner [R],Republican
140,9,Yea,Rep. Richard Hudson [R],Republican
141,2,Nay,Rep. Ann Kuster [D],Democrat
142,4,Nay,Rep. Steven Horsford [D],Democrat
143,6,Nay,Rep. Grace Meng [D],Democrat
144,8,Nay,Rep. Hakeem Jeffries [D],Democrat
145,2,Yea,Rep. Brad Wenstrup [R],Republican
146,3,Nay,Rep. Joyce Beatty [D],Democrat
147,14,Yea,Rep. David Joyce [R],Republican
148,10,Yea,Rep. Scott Perry [R],Republican
149,8,Nay,Rep. Matthew “Matt” Cartwright [D],Democrat
150,14,Yea,Rep. Randy Weber [R],Republican
151,20,Nay,Rep. Joaquin Castro [D],Democrat
152,25,Yea,Rep. Roger Williams [R],Republican
153,33,Nay,Rep. Marc Veasey [D],Democrat
154,2,Yea,"Rep. Chris Stewart [R, 2013-2023]",Republican
155,6,Nay,Rep. Derek Kilmer [D],Democrat
156,2,Nay,Rep. Mark Pocan [D],Democrat
157,2,Nay,Rep. Robin Kelly [D],Democrat
158,8,Yea,Rep. Jason Smith [R],Republican
159,5,Nay,Rep. Katherine Clark [D],Democrat
160,1,Nay,Rep. Donald Norcross [D],Democrat
161,12,Nay,Rep. Alma Adams [D],Democrat
162,6,Yea,Rep. Gary Palmer [R],Republican
163,2,Yea,Rep. French Hill [R],Republican
164,4,Yea,Rep. Bruce Westerman [R],Republican
165,3,Nay,Rep. Ruben Gallego [D],Democrat
166,10,Nay,Rep. Mark DeSaulnier [D],Democrat
167,33,Nay,Rep. Pete Aguilar [D],Democrat
168,36,Nay,Rep. Ted Lieu [D],Democrat
169,35,Nay,Rep. Norma Torres [D],Democrat
170,4,Yea,Rep. Ken Buck [R],Republican
171,1,Yea,Rep. Earl “Buddy” Carter [R],Republican
172,11,Yea,Rep. Barry Loudermilk [R],Republican
173,12,Yea,Rep. Rick Allen [R],Republican
174,12,Yea,Rep. Mike Bost [R],Republican
175,6,Yea,Rep. Garret Graves [R],Republican
176,6,Nay,Rep. Seth Moulton [D],Democrat
177,2,Yea,Rep. John Moolenaar [R],Republican
178,6,Nay,Rep. Debbie Dingell [D],Democrat
179,6,Yea,Rep. Tom Emmer [R],Republican
180,1,Yea,Rep. Ryan Zinke [R],Republican
181,7,Yea,Rep. David Rouzer [R],Republican
182,12,Nay,Rep. Bonnie Watson Coleman [D],Democrat
183,21,Yea,Rep. Elise Stefanik [R],Republican
184,2,Nay,Rep. Brendan Boyle [D],Democrat
185,36,Yea,Rep. Brian Babin [R],Republican
186,8,Nay,Rep. Donald Beyer [D],Democrat
187,4,Yea,Rep. Dan Newhouse [R],Republican
188,6,Yea,Rep. Glenn Grothman [R],Republican
189,2,Yea,Rep. Alexander Mooney [R],Republican
190,1,Yea,Rep. Trent Kelly [R],Republican
191,16,Yea,Rep. Darin LaHood [R],Republican
192,8,Yea,Rep. Warren Davidson [R],Republican
193,1,Yea,Rep. James Comer [R],Republican
194,3,Nay,Rep. Dwight Evans [D],Democrat
195,5,Yea,Rep. Andy Biggs [R],Republican
196,17,Nay,Rep. Ro Khanna [D],Democrat
197,19,Nay,Rep. Jimmy Panetta [D],Democrat
198,24,Nay,Rep. Salud Carbajal [D],Democrat
199,44,Nay,Rep. Nanette Barragán [D],Democrat
200,46,Nay,Rep. Luis Correa [D],Democrat
201,0,Nay,Rep. Lisa Blunt Rochester [D],Democrat
202,1,Yea,Rep. Matt Gaetz [R],Republican
203,2,Yea,Rep. Neal Dunn [R],Republican
204,5,Yea,Rep. John Rutherford [R],Republican
205,9,Nay,Rep. Darren Soto [D],Democrat
206,21,Yea,Rep. Brian Mast [R],Republican
207,3,Yea,Rep. Drew Ferguson [R],Republican
208,8,Nay,Rep. Raja Krishnamoorthi [D],Democrat
209,3,Yea,Rep. Jim Banks [R],Republican
210,3,Yea,Rep. Clay Higgins [R],Republican
211,4,Yea,Rep. Mike Johnson [R],Republican
212,8,Nay,Rep. Jamie Raskin [D],Democrat
213,1,Yea,Rep. Jack Bergman [R],Republican
214,2,Yea,Rep. Don Bacon [R],Republican
215,5,Not Voting,Rep. Josh Gottheimer [D],Democrat
216,13,Nay,Rep. Adriano Espaillat [D],Democrat
217,24,Yea,Rep. Claudia Tenney [R],Republican
218,1,Nay,Rep. Brian Fitzpatrick [R],Republican
219,11,Yea,Rep. Lloyd Smucker [R],Republican
220,8,Yea,Rep. David Kustoff [R],Republican
221,34,Nay,Rep. Vicente Gonzalez [D],Democrat
222,19,Yea,Rep. Jodey Arrington [R],Republican
223,7,Nay,Rep. Pramila Jayapal [D],Democrat
224,8,Yea,Rep. Mike Gallagher [R],Republican
225,4,Yea,Rep. Ron Estes [R],Republican
226,5,Yea,Rep. Ralph Norman [R],Republican
227,34,Nay,Rep. Jimmy Gomez [D],Democrat
228,3,Yea,Rep. John Curtis [R],Republican
229,8,Yea,Rep. Debbie Lesko [R],Republican
230,27,Yea,Rep. Michael Cloud [R],Republican
231,12,Yea,Rep. Troy Balderson [R],Republican
232,1,Yea,Rep. Kevin Hern [R],Republican
233,25,Nay,Rep. Joseph Morelle [D],Democrat
234,5,Nay,Rep. Mary Gay Scanlon [D],Democrat
235,7,Nay,Rep. Susan Wild [D],Democrat
236,4,Nay,Rep. Greg Stanton [D],Democrat
237,9,Nay,Rep. Josh Harder [D],Democrat
238,47,Nay,Rep. Katie Porter [D],Democrat
239,49,Nay,Rep. Mike Levin [D],Democrat
240,2,Nay,Rep. Joe Neguse [D],Democrat
241,6,Nay,Rep. Jason Crow [D],Democrat
242,5,Nay,Rep. Jahana Hayes [D],Democrat
243,6,Yea,Rep. Michael Waltz [R],Republican
244,17,Yea,Rep. Gregory Steube [R],Republican
245,7,Nay,Rep. Lucy McBath [D],Democrat
246,1,Yea,Rep. Russ Fulcher [R],Republican
247,4,Nay,Rep. Jesús “Chuy” García [D],Democrat
248,6,Not Voting,Rep. Sean Casten [D],Democrat
249,14,Nay,Rep. Lauren Underwood [D],Democrat
250,4,Yea,Rep. James Baird [R],Republican
251,6,Yea,Rep. Greg Pence [R],Republican
252,3,Nay,Rep. Sharice Davids [D],Democrat
253,3,Nay,Rep. Lori Trahan [D],Democrat
254,7,Nay,Rep. Ayanna Pressley [D],Democrat
255,6,Nay,Rep. David Trone [D],Democrat
256,7,Nay,Rep. Elissa Slotkin [D],Democrat
257,11,Nay,Rep. Haley Stevens [D],Democrat
258,12,Nay,Rep. Rashida Tlaib [D],Democrat
259,2,Nay,Rep. Angie Craig [D],Democrat
260,3,Nay,Rep. Dean Phillips [D],Democrat
261,5,Nay,Rep. Ilhan Omar [D],Democrat
262,8,Yea,Rep. Pete Stauber [R],Republican
263,3,Yea,Rep. Michael Guest [R],Republican
264,0,Yea,Rep. Kelly Armstrong [R],Republican
265,1,Nay,Rep. Chris Pappas [D],Democrat
266,2,Yea,Rep. Jefferson Van Drew [R],Republican
267,3,Nay,Rep. Andy Kim [D],Democrat
268,11,Nay,Rep. Mikie Sherrill [D],Democrat
269,3,Nay,Rep. Susie Lee [D],Democrat
270,14,Nay,Rep. Alexandria Ocasio-Cortez [D],Democrat
271,4,Nay,Rep. Madeleine Dean [D],Democrat
272,6,Nay,Rep. Chrissy Houlahan [D],Democrat
273,9,Yea,Rep. Daniel Meuser [R],Republican
274,13,Yea,Rep. John Joyce [R],Republican
275,14,Yea,Rep. Guy Reschenthaler [R],Republican
276,4,Yea,Rep. William Timmons [R],Republican
277,0,Yea,Rep. Dusty Johnson [R],Republican
278,2,Yea,Rep. Tim Burchett [R],Republican
279,6,Yea,Rep. John W. Rose [R],Republican
280,7,Yea,Rep. Mark E. Green [R],Republican
281,2,Yea,Rep. Dan Crenshaw [R],Republican
282,5,Yea,Rep. Lance Gooden [R],Republican
283,7,Nay,Rep. Lizzie Fletcher [D],Democrat
284,16,Nay,Rep. Veronica Escobar [D],Democrat
285,21,Yea,Rep. Chip Roy [R],Republican
286,29,Nay,Rep. Sylvia Garcia [D],Democrat
287,32,Nay,Rep. Colin Allred [D],Democrat
288,6,Yea,Rep. Ben Cline [R],Republican
289,7,Nay,Rep. Abigail Spanberger [D],Democrat
290,10,Nay,Rep. Jennifer Wexton [D],Democrat
291,8,Nay,Rep. Kim Schrier [D],Democrat
292,1,Yea,Rep. Bryan Steil [R],Republican
293,1,Yea,Rep. Carol Miller [R],Republican
294,2,Yea,Rep. Jared Golden [D],Democrat
295,8,Yea,Rep. Dan Bishop [R],Republican
296,3,Yea,Rep. Gregory Murphy [R],Republican
297,7,Yea,Rep. Thomas Tiffany [R],Republican
298,27,Yea,Rep. Mike Garcia [R],Republican
299,1,Yea,Rep. Jerry Carl [R],Republican
300,2,Yea,Rep. Barry Moore [R],Republican
301,23,Yea,Rep. Jay Obernolte [R],Republican
302,40,Yea,Rep. Young Kim [R],Republican
303,45,Yea,Rep. Michelle Steel [R],Republican
304,51,Nay,Rep. Sara Jacobs [D],Democrat
305,3,Yea,Rep. Lauren Boebert [R],Republican
306,3,Yea,Rep. Katherine “Kat” Cammack [R],Republican
307,18,Yea,Rep. Scott Franklin [R],Republican
308,19,Yea,Rep. Byron Donalds [R],Republican
309,28,Yea,Rep. Carlos Gimenez [R],Republican
310,27,Yea,Rep. Maria Salazar [R],Republican
311,5,Nay,Rep. Nikema Williams [D],Democrat
312,9,Yea,Rep. Andrew Clyde [R],Republican
313,14,Yea,Rep. Marjorie Taylor Greene [R],Republican
314,2,Yea,Rep. Ashley Hinson [R],Republican
315,1,Yea,Rep. Mariannette Miller-Meeks [R],Republican
316,4,Yea,Rep. Randy Feenstra [R],Republican
317,15,Yea,Rep. Mary Miller [R],Republican
318,1,Nay,Rep. Frank Mrvan [D],Democrat
319,5,Yea,Rep. Victoria Spartz [R],Republican
320,1,Yea,Rep. Tracey Mann [R],Republican
321,2,Yea,Rep. Jacob “Jake” LaTurner [R],Republican
322,4,Nay,Rep. Jake Auchincloss [D],Democrat
323,9,Yea,Rep. Lisa McClain [R],Republican
324,7,Yea,Rep. Michelle Fischbach [R],Republican
325,1,Nay,Rep. Cori Bush [D],Democrat
326,2,Yea,Rep. Matthew Rosendale [R],Republican
327,2,Nay,Rep. Deborah Ross [D],Democrat
328,6,Nay,Rep. Kathy Manning [D],Democrat
329,3,Nay,Rep. Teresa Leger Fernandez [D],Democrat
330,2,Yea,Rep. Andrew Garbarino [R],Republican
331,11,Yea,Rep. Nicole Malliotakis [R],Republican
332,15,Nay,Rep. Ritchie Torres [D],Democrat
333,16,Nay,Rep. Jamaal Bowman [D],Democrat
334,5,Yea,Rep. Stephanie Bice [R],Republican
335,2,Yea,Rep. Cliff Bentz [R],Republican
336,1,Yea,Rep. Nancy Mace [R],Republican
337,1,Yea,Rep. Diana Harshbarger [R],Republican
338,4,Yea,Rep. Patrick “Pat” Fallon [R],Republican
339,11,Yea,Rep. August Pfluger [R],Republican
340,13,Yea,Rep. Ronny Jackson [R],Republican
341,22,Yea,Rep. Troy Nehls [R],Republican
342,23,Yea,Rep. Ernest “Tony” Gonzales [R],Republican
343,24,Yea,Rep. Beth Van Duyne [R],Republican
344,1,Yea,Rep. Blake Moore [R],Republican
345,4,Yea,Rep. Clarence “Burgess” Owens [R],Republican
346,5,Yea,Rep. Robert “Bob” Good [R],Republican
347,10,Nay,Rep. Marilyn Strickland [D],Democrat
348,5,Yea,Rep. Scott Fitzgerald [R],Republican
349,5,Yea,Rep. Julia Letlow [R],Republican
350,2,Nay,Rep. Troy Carter [D],Democrat
351,1,Nay,Rep. Melanie Stansbury [D],Democrat
352,6,Yea,Rep. Jake Ellzey [R],Republican
353,11,Nay,Rep. Shontel Brown [D],Democrat
354,15,Yea,Rep. Mike Carey [R],Republican
355,20,Nay,Rep. Sheila Cherfilus-McCormick [D],Democrat
356,1,Yea,Rep. Mike Flood [R],Republican
357,1,Not Voting,Rep. Brad Finstad [R],Republican
358,0,Yea,Rep. Mary Peltola [D],Democrat
359,18,Nay,Rep. Patrick Ryan [D],Democrat
360,2,Yea,Rep. Rudy Yakym [R],Republican
361,5,Yea,Rep. Dale Strong [R],Republican
362,2,Yea,Rep. Eli Crane [R],Republican
363,6,Yea,Rep. Juan Ciscomani [R],Republican
364,3,Yea,Rep. Kevin Kiley [R],Republican
365,13,Yea,Rep. John Duarte [R],Republican
366,15,Nay,Rep. Kevin Mullin [D],Democrat
367,37,Nay,Rep. Sydney Kamlager-Dove [D],Democrat
368,42,Nay,Rep. Robert Julio Garcia [D],Democrat
369,7,Nay,Rep. Brittany Pettersen [D],Democrat
370,8,Nay,Rep. Yadira Caraveo [D],Democrat
371,4,Yea,Rep. Aaron Bean [R],Republican
372,7,Yea,Rep. Cory Mills [R],Republican
373,10,Nay,Rep. Maxwell Frost [D],Democrat
374,13,Yea,Rep. Anna Paulina Luna [R],Republican
375,15,Yea,Rep. Laurel Lee [R],Republican
376,23,Nay,Rep. Jared Moskowitz [D],Democrat
377,6,Yea,Rep. Rich McCormick [R],Republican
378,10,Yea,Rep. Mike Collins [R],Republican
379,2,Nay,Rep. Jill Tokuda [D],Democrat
380,3,Yea,Rep. Zachary (Zach) Nunn [R],Republican
381,1,Nay,Rep. Jonathan Jackson [D],Democrat
382,3,Nay,Rep. Delia Ramirez [D],Democrat
383,13,Nay,Rep. Nicole (Nikki) Budzinski [D],Democrat
384,17,Nay,Rep. Eric Sorensen [D],Democrat
385,9,Yea,Rep. Erin Houchin [R],Republican
386,3,Nay,Rep. Morgan McGarvey [D],Democrat
387,4,Nay,Rep. Glenn Ivey [D],Democrat
388,3,Nay,Rep. Hillary Scholten [D],Democrat
389,10,Yea,Rep. John James [R],Republican
390,13,Nay,Rep. Shri Thanedar [D],Democrat
391,4,Yea,Rep. Mark Alford [R],Republican
392,7,Yea,Rep. Eric Burlison [R],Republican
393,4,Yea,Rep. Mike Ezell [R],Republican
394,1,Nay,Rep. Donald Davis [D],Democrat
395,4,Nay,Rep. Valerie Foushee [D],Democrat
396,11,Yea,Rep. Charles (Chuck) Edwards [R],Republican
397,13,Nay,Rep. Wiley Nickel [D],Democrat
398,14,Nay,Rep. Jeffrey Jackson [D],Democrat
399,7,Nay,Rep. Thomas Kean [R],Republican
400,8,Nay,Rep. Robert Jacobsen Menendez [D],Democrat
401,2,Nay,Rep. Gabriel (Gabe) Vasquez [D],Democrat
402,1,Yea,Rep. Nicolas LaLota [R],Republican
403,3,Yea,Rep. George Santos [R],Republican
404,4,Not Voting,Rep. Anthony D'Esposito [R],Republican
405,10,Nay,Rep. Dan Goldman [D],Democrat
406,17,Yea,Rep. Michael Lawler [R],Republican
407,19,Yea,Rep. Marcus Molinaro [R],Republican
408,22,Yea,Rep. Brandon Williams [R],Republican
409,23,Yea,Rep. Nicholas Langworthy [R],Republican
410,1,Nay,Rep. Greg Landsman [D],Democrat
411,7,Yea,Rep. Max Miller [R],Republican
412,13,Nay,Rep. Emilia Sykes [D],Democrat
413,2,Yea,Rep. Josh Brecheen [R],Republican
414,4,Nay,Rep. Valerie Hoyle [D],Democrat
415,5,Yea,Rep. Lori Chavez-DeRemer [R],Republican
416,6,Nay,Rep. Andrea Salinas [D],Democrat
417,12,Nay,Rep. Summer Lee [D],Democrat
418,17,Nay,Rep. Chris Deluzio [D],Democrat
419,2,Nay,Rep. Seth Magaziner [D],Democrat
420,7,Yea,Rep. Russell Fry [R],Republican
421,5,Yea,Rep. Andrew Ogles [R],Republican
422,1,Yea,Rep. Nathaniel Moran [R],Republican
423,3,Yea,Rep. Keith Self [R],Republican
424,8,Yea,Rep. Morgan Luttrell [R],Republican
425,15,Yea,Rep. Mónica De La Cruz [R],Republican
426,30,Nay,Rep. Jasmine Crockett [D],Democrat
427,35,Nay,Rep. Gregorio Casar [D],Democrat
428,38,Yea,Rep. Wesley Hunt [R],Republican
429,2,Yea,Rep. Jennifer Kiggans [R],Republican
430,0,Nay,Rep. Becca Balint [D],Democrat
431,3,Nay,Rep. Marie Gluesenkamp Perez [D],Democrat
432,3,Yea,Rep. Derrick Van Orden [R],Republican
433,0,Yea,Rep. Harriet Hageman [R],Republican
434,4,Nay,Rep. Jennifer McClellan [D],Democrat
