id,vote,name,party
person,vote,name,party
400004,No,Rep. Robert Aderholt [R],Republican
400030,No,Rep. Sanford Bishop [D],Democrat
400033,No,Rep. Earl Blumenauer [D],Democrat
400052,Aye,Rep. Michael Burgess [R],Republican
400057,No,Rep. Ken Calvert [R],Republican
400068,No,Rep. John R. Carter [R],Republican
400069,No,Rep. Ed Case [D],Democrat
400075,No,Rep. James “Jim” Clyburn [D],Democrat
400077,No,Rep. Tom Cole [R],Republican
400093,No,Rep. Danny Davis [D],Democrat
400101,No,Rep. Diana DeGette [D],Democrat
400103,No,Rep. Rosa DeLauro [D],Democrat
400108,No,Rep. Mario Diaz-Balart [R],Republican
400111,No,Rep. Lloyd Doggett [D],Democrat
400124,No,Rep. Anna Eshoo [D],Democrat
400157,Not Voting,Rep. Kay Granger [R],Republican
400158,No,Rep. Sam Graves [R],Republican
400162,No,Rep. Raúl Grijalva [D],Democrat
400189,No,Rep. Steny Hoyer [D],Democrat
400196,No,Rep. Darrell Issa [R],Republican
400199,No,Rep. Sheila Jackson Lee [D],Democrat
400211,No,Rep. Marcy Kaptur [D],Democrat
400232,No,Rep. Rick Larsen [D],Democrat
400233,No,Rep. John Larson [D],Democrat
400237,No,Rep. Barbara Lee [D],Democrat
400245,No,Rep. Zoe Lofgren [D],Democrat
400247,No,Rep. Frank Lucas [R],Republican
400249,No,Rep. Stephen Lynch [D],Democrat
400259,No,Rep. Betty McCollum [D],Democrat
400263,No,Rep. James “Jim” McGovern [D],Democrat
400271,No,Rep. Gregory Meeks [D],Democrat
400289,No,Rep. Jerrold Nadler [D],Democrat
400290,No,Rep. Grace Napolitano [D],Democrat
400291,No,Rep. Richard Neal [D],Democrat
400295,No,Rep. Eleanor Holmes Norton [D],Democrat
400308,No,Rep. Frank Pallone [D],Democrat
400309,No,Rep. Bill Pascrell [D],Democrat
400314,No,Rep. Nancy Pelosi [D],Democrat
400340,No,Rep. Harold “Hal” Rogers [R],Republican
400341,No,Rep. Mike Rogers [R],Republican
400349,No,Rep. A. Dutch Ruppersberger [D],Democrat
400355,No,Rep. Linda Sánchez [D],Democrat
400360,No,Rep. Janice “Jan” Schakowsky [D],Democrat
400361,No,Rep. Adam Schiff [D],Democrat
400363,No,Rep. David Scott [D],Democrat
400364,No,Rep. Robert “Bobby” Scott [D],Democrat
400367,No,Rep. Pete Sessions [R],Republican
400371,No,Rep. Brad Sherman [D],Democrat
400376,No,Rep. Michael “Mike” Simpson [R],Republican
400379,No,Rep. Adam Smith [D],Democrat
400380,No,Rep. Christopher “Chris” Smith [R],Republican
400402,No,Rep. Bennie Thompson [D],Democrat
400403,No,Rep. Mike Thompson [D],Democrat
400411,No,Rep. Michael Turner [R],Republican
400416,No,Rep. Nydia Velázquez [D],Democrat
400422,No,Rep. Maxine Waters [D],Democrat
400433,No,Rep. Joe Wilson [R],Republican
400618,No,Rep. Jim Costa [D],Democrat
400623,No,Rep. Debbie Wasserman Schultz [D],Democrat
400639,No,Rep. Emanuel Cleaver [D],Democrat
400641,No,Rep. Brian Higgins [D],Democrat
400643,No,Rep. Virginia Foxx [R],Republican
400644,Aye,Rep. Patrick McHenry [R],Republican
400653,No,Rep. Al Green [D],Democrat
400654,No,Rep. Michael McCaul [R],Republican
400657,No,Rep. Henry Cuellar [D],Democrat
400659,No,Rep. Cathy Anne McMorris Rodgers [R],Republican
400661,No,Rep. Gwen Moore [D],Democrat
400663,No,Rep. Doris Matsui [D],Democrat
407672,No,Rep. Kweisi Mfume [D],Democrat
412191,No,Rep. Doug Lamborn [R],Republican
412193,No,Rep. Joe Courtney [D],Democrat
412195,No,Rep. Kathy Castor [D],Democrat
412196,No,Rep. Vern Buchanan [R],Republican
412199,No,Rep. Henry C. “Hank” Johnson [D],Democrat
412212,No,Rep. John Sarbanes [D],Democrat
412213,No,Rep. Tim Walberg [R],Republican
412217,No,Rep. Adrian Smith [R],Republican
412221,No,Rep. Yvette Clarke [D],Democrat
412226,Aye,Rep. Jim Jordan [R],Republican
412236,No,Rep. Steve Cohen [D],Democrat
412250,Aye,Rep. Gus Bilirakis [R],Republican
412255,Aye,Rep. Robert Wittman [R],Republican
412256,No,Rep. Robert Latta [R],Republican
412257,No,Rep. Bill Foster [D],Democrat
412258,No,Rep. André Carson [D],Democrat
412261,No,Rep. Steve Scalise [R],Republican
412272,No,Rep. Gerald Connolly [D],Democrat
412278,No,Rep. Brett Guthrie [R],Republican
412282,No,Rep. James “Jim” Himes [D],Democrat
412292,No,Rep. Blaine Luetkemeyer [R],Republican
412295,Aye,Rep. Tom McClintock [R],Republican
412307,No,Rep. Chellie Pingree [D],Democrat
412309,Aye,Rep. Bill Posey [R],Republican
412312,No,Rep. Gregorio Sablan [D],Democrat
412317,No,Rep. Glenn Thompson [R],Republican
412318,No,Rep. Dina Titus [D],Democrat
412319,No,Rep. Paul Tonko [D],Democrat
412331,No,Rep. Mike Quigley [D],Democrat
412379,No,Rep. Judy Chu [D],Democrat
412382,No,Rep. John Garamendi [D],Democrat
412396,No,Rep. Terri Sewell [D],Democrat
412397,Aye,Rep. Paul Gosar [R],Republican
412399,Aye,Rep. David Schweikert [R],Republican
412400,Aye,Rep. Eric “Rick” Crawford [R],Republican
412402,No,Rep. Steve Womack [R],Republican
412410,Aye,Rep. Daniel Webster [R],Republican
412412,No,Rep. Frederica Wilson [D],Democrat
412417,No,Rep. Austin Scott [R],Republican
412427,Aye,Rep. Larry Bucshon [R],Republican
412434,Aye,Rep. Andy Harris [R],Republican
412435,No,Rep. William R. Keating [D],Democrat
412437,Aye,Rep. Bill Huizenga [R],Republican
412460,Aye,Rep. Bill Johnson [R],Republican
412465,Not Voting,Rep. Mike Kelly [R],Republican
412472,Aye,Rep. Jeff Duncan [R],Republican
412476,No,Rep. Charles “Chuck” Fleischmann [R],Republican
412477,Aye,Rep. Scott DesJarlais [R],Republican
412485,Aye,Rep. Morgan Griffith [R],Republican
412500,No,Rep. Mark Amodei [R],Republican
412501,No,Rep. Suzanne Bonamici [D],Democrat
412503,Aye,Rep. Thomas Massie [R],Republican
412505,No,Rep. Suzan DelBene [D],Democrat
412506,No,Rep. Donald Payne Jr. [D],Democrat
412510,Aye,Rep. Doug LaMalfa [R],Republican
412511,No,Rep. Jared Huffman [D],Democrat
412512,No,Rep. Ami Bera [D],Democrat
412514,No,Rep. Eric Swalwell [D],Democrat
412515,No,Rep. David Valadao [R],Republican
412516,No,Rep. Julia Brownley [D],Democrat
412517,No,Rep. Tony Cárdenas [D],Democrat
