id,vote,name,party, 89, 90, 91, 92, 93, 94, 99, 100, 101, 102, 103, and 104.
81,9,Aye,Rep. Steve Cohen [D],Democrat,,,,,,,,,,,
82,12,Aye,Rep. Gus Bilirakis [R],Republican,,,,,,,,,,,
83,1,Aye,Rep. Robert Wittman [R],Republican,,,,,,,,,,,
84,5,Aye,Rep. Robert Latta [R],Republican,,,,,,,,,,,
85,11,Aye,Rep. Bill Foster [D],Democrat,,,,,,,,,,,
86,7,Aye,Rep. André Carson [D],Democrat,,,,,,,,,,,
87,1,Aye,Rep. Steve Scalise [R],Republican,,,,,,,,,,,
88,11,Aye,Rep. Gerald Connolly [D],Democrat,,,,,,,,,,,
89,2,Aye,Rep. Brett Guthrie [R],Republican,,,,,,,,,,,
90,4,Aye,Rep. James “Jim” Himes [D],Democrat,,,,,,,,,,,
91,3,Aye,Rep. Blaine Luetkemeyer [R],Republican,,,,,,,,,,,
92,5,Aye,Rep. Tom McClintock [R],Republican,,,,,,,,,,,
93,1,Aye,Rep. Chellie Pingree [D],Democrat,,,,,,,,,,,
94,8,Aye,Rep. Bill Posey [R],Republican,,,,,,,,,,,
95,0,Aye,Rep. Gregorio Sablan [D],Democrat,,,,,,,,,,,
96,15,Aye,Rep. Glenn Thompson [R],Republican,,,,,,,,,,,
97,1,Aye,Rep. Dina Titus [D],Democrat,,,,,,,,,,,
98,20,No,Rep. Paul Tonko [D],Democrat,,,,,,,,,,,
99,5,Aye,Rep. Mike Quigley [D],Democrat,,,,,,,,,,,
100,28,Aye,Rep. Judy Chu [D],Democrat,,,,,,,,,,,
101,8,Aye,Rep. John Garamendi [D],Democrat,,,,,,,,,,,
102,7,Aye,Rep. Terri Sewell [D],Democrat,,,,,,,,,,,
103,9,No,Rep. Paul Gosar [R],Republican,,,,,,,,,,,
104,1,Aye,Rep. David Schweikert [R],Republican,,,,,,,,,,,
105,1,Aye,Rep. Eric “Rick” Crawford [R],Republican,,,,,,,,,,,
106,3,Aye,Rep. Steve Womack [R],Republican,,,,,,,,,,,
107,11,Aye,Rep. Daniel Webster [R],Republican,,,,,,,,,,,
108,24,Aye,Rep. Frederica Wilson [D],Democrat,,,,,,,,,,,
109,8,Aye,Rep. Austin Scott [R],Republican,,,,,,,,,,,
110,8,Aye,Rep. Larry Bucshon [R],Republican,,,,,,,,,,,
111,1,Aye,Rep. Andy Harris [R],Republican,,,,,,,,,,,
112,9,Aye,Rep. William R. Keating [D],Democrat,,,,,,,,,,,
113,4,Aye,Rep. Bill Huizenga [R],Republican,,,,,,,,,,,
114,6,Aye,Rep. Bill Johnson [R],Republican,,,,,,,,,,,
115,16,Aye,Rep. Mike Kelly [R],Republican,,,,,,,,,,,
116,3,Aye,Rep. Jeff Duncan [R],Republican,,,,,,,,,,,
117,3,Aye,Rep. Charles “Chuck” Fleischmann [R],Republican,,,,,,,,,,,
118,4,Aye,Rep. Scott DesJarlais [R],Republican,,,,,,,,,,,
119,9,No,Rep. Morgan Griffith [R],Republican,,,,,,,,,,,
120,2,Aye,Rep. Mark Amodei [R],Republican,,,,,,,,,,,
121,1,Aye,Rep. Suzanne Bonamici [D],Democrat,,,,,,,,,,,
122,4,Not Voting,Rep. Thomas Massie [R],Republican,,,,,,,,,,,
123,1,Aye,Rep. Suzan DelBene [D],Democrat,,,,,,,,,,,
124,10,Not Voting,Rep. Donald Payne Jr. [D],Democrat,,,,,,,,,,,
125,1,Aye,Rep. Doug LaMalfa [R],Republican,,,,,,,,,,,
126,2,Not Voting,Rep. Jared Huffman [D],Democrat,,,,,,,,,,,
127,6,Aye,Rep. Ami Bera [D],Democrat,,,,,,,,,,,
128,14,Aye,Rep. Eric Swalwell [D],Democrat,,,,,,,,,,,
129,22,Aye,Rep. David Valadao [R],Republican,,,,,,,,,,,
130,26,Aye,Rep. Julia Brownley [D],Democrat,,,,,,,,,,,
131,29,Aye,Rep. Tony Cárdenas [D],Democrat,,,,,,,,,,,
132,25,Aye,Rep. Raul Ruiz [D],Democrat,,,,,,,,,,,
133,39,Aye,Rep. Mark Takano [D],Democrat,,,,,,,,,,,
134,52,Aye,Rep. Juan Vargas [D],Democrat,,,,,,,,,,,
135,50,Aye,Rep. Scott Peters [D],Democrat,,,,,,,,,,,
136,22,Aye,Rep. Lois Frankel [D],Democrat,,,,,,,,,,,
137,10,Aye,Rep. Bradley “Brad” Schneider [D],Democrat,,,,,,,,,,,
138,6,Aye,Rep. Garland “Andy” Barr [R],Republican,,,,,,,,,,,
139,8,Aye,Rep. Daniel Kildee [D],Democrat,,,,,,,,,,,
140,2,Aye,Rep. Ann Wagner [R],Republican,,,,,,,,,,,
141,9,Aye,Rep. Richard Hudson [R],Republican,,,,,,,,,,,
142,2,Aye,Rep. Ann Kuster [D],Democrat,,,,,,,,,,,
143,4,Aye,Rep. Steven Horsford [D],Democrat,,,,,,,,,,,
144,6,Aye,Rep. Grace Meng [D],Democrat,,,,,,,,,,,
145,8,Aye,Rep. Hakeem Jeffries [D],Democrat,,,,,,,,,,,
146,2,Aye,Rep. Brad Wenstrup [R],Republican,,,,,,,,,,,
147,3,Aye,Rep. Joyce Beatty [D],Democrat,,,,,,,,,,,
148,14,Aye,Rep. David Joyce [R],Republican,,,,,,,,,,,
149,10,Aye,Rep. Scott Perry [R],Republican,,,,,,,,,,,
150,8,Aye,Rep. Matthew “Matt” Cartwright [D],Democrat,,,,,,,,,,,
151,14,Aye,Rep. Randy Weber [R],Republican,,,,,,,,,,,
152,20,Aye,Rep. Joaquin Castro [D],Democrat,,,,,,,,,,,
153,25,Aye,Rep. Roger Williams [R],Republican,,,,,,,,,,,
154,33,Aye,Rep. Marc Veasey [D],Democrat,,,,,,,,,,,
155,2,Aye,"Rep. Chris Stewart [R, 2013-2023]",Republican,,,,,,,,,,,
156,6,Aye,Rep. Derek Kilmer [D],Democrat,,,,,,,,,,,
157,2,Aye,Rep. Mark Pocan [D],Democrat,,,,,,,,,,,
158,2,Aye,Rep. Robin Kelly [D],Democrat,,,,,,,,,,,
159,8,Aye,Rep. Jason Smith [R],Republican,,,,,,,,,,,
160,5,Aye,Rep. Katherine Clark [D],Democrat,,,,,,,,,,,
161,1,Not Voting,Rep. Donald Norcross [D],Democrat,,,,,,,,,,,
162,12,Aye,Rep. Alma Adams [D],Democrat,,,,,,,,,,,
163,6,Aye,Rep. Gary Palmer [R],Republican,,,,,,,,,,,
164,2,Aye,Rep. French Hill [R],Republican,,,,,,,,,,,
165,4,Aye,Rep. Bruce Westerman [R],Republican,,,,,,,,,,,
166,3,Not Voting,Rep. Ruben Gallego [D],Democrat,,,,,,,,,,,
167,10,Aye,Rep. Mark DeSaulnier [D],Democrat,,,,,,,,,,,
168,33,Aye,Rep. Pete Aguilar [D],Democrat,,,,,,,,,,,
