id,vote,name,party
person,vote,name,party
400004,Nay,Rep. Robert Aderholt [R],Republican
400030,Yea,Rep. Sanford Bishop [D],Democrat
400033,Nay,Rep. Earl Blumenauer [D],Democrat
400052,Yea,Rep. Michael Burgess [R],Republican
400057,Nay,Rep. Ken Calvert [R],Republican
400068,Yea,Rep. John R. Carter [R],Republican
400069,Nay,Rep. Ed Case [D],Democrat
400075,Nay,Rep. James “Jim” Clyburn [D],Democrat
400077,Nay,Rep. Tom Cole [R],Republican
400093,Nay,Rep. Danny Davis [D],Democrat
400101,Yea,Rep. Diana DeGette [D],Democrat
400103,Nay,Rep. Rosa DeLauro [D],Democrat
400108,Yea,Rep. Mario Diaz-Balart [R],Republican
400111,Nay,Rep. Lloyd Doggett [D],Democrat
400124,Yea,Rep. Anna Eshoo [D],Democrat
400157,Yea,Rep. Kay Granger [R],Republican
400158,Not Voting,Rep. Sam Graves [R],Republican
400162,Nay,Rep. Raúl Grijalva [D],Democrat
400189,Yea,Rep. Steny Hoyer [D],Democrat
400196,Yea,Rep. Darrell Issa [R],Republican
400199,Not Voting,Rep. Sheila Jackson Lee [D],Democrat
400211,Nay,Rep. Marcy Kaptur [D],Democrat
400232,Nay,Rep. Rick Larsen [D],Democrat
400233,Nay,Rep. John Larson [D],Democrat
400237,Nay,Rep. Barbara Lee [D],Democrat
400245,Nay,Rep. Zoe Lofgren [D],Democrat
400247,Nay,Rep. Frank Lucas [R],Republican
400249,Nay,Rep. Stephen Lynch [D],Democrat
400259,Yea,Rep. Betty McCollum [D],Democrat
400263,Nay,Rep. James “Jim” McGovern [D],Democrat
400271,Nay,Rep. Gregory Meeks [D],Democrat
400289,Nay,Rep. Jerrold Nadler [D],Democrat
400290,Nay,Rep. Grace Napolitano [D],Democrat
400291,Yea,Rep. Richard Neal [D],Democrat
400308,Yea,Rep. Frank Pallone [D],Democrat
400309,Yea,Rep. Bill Pascrell [D],Democrat
400314,Nay,Rep. Nancy Pelosi [D],Democrat
400340,Yea,Rep. Harold “Hal” Rogers [R],Republican
400341,Nay,Rep. Mike Rogers [R],Republican
400349,Nay,Rep. A. Dutch Ruppersberger [D],Democrat
400355,Nay,Rep. Linda Sánchez [D],Democrat
400360,Yea,Rep. Janice “Jan” Schakowsky [D],Democrat
400361,Nay,Rep. Adam Schiff [D],Democrat
400363,Yea,Rep. David Scott [D],Democrat
400364,Nay,Rep. Robert “Bobby” Scott [D],Democrat
400367,Yea,Rep. Pete Sessions [R],Republican
400371,Nay,Rep. Brad Sherman [D],Democrat
400376,Yea,Rep. Michael “Mike” Simpson [R],Republican
400379,Nay,Rep. Adam Smith [D],Democrat
400380,Yea,Rep. Christopher “Chris” Smith [R],Republican
400402,Not Voting,Rep. Bennie Thompson [D],Democrat
400403,Yea,Rep. Mike Thompson [D],Democrat
400411,Nay,Rep. Michael Turner [R],Republican
400416,Nay,Rep. Nydia Velázquez [D],Democrat
400422,Yea,Rep. Maxine Waters [D],Democrat
400433,Yea,Rep. Joe Wilson [R],Republican
400618,Nay,Rep. Jim Costa [D],Democrat
400623,Nay,Rep. Debbie Wasserman Schultz [D],Democrat
400639,Yea,Rep. Emanuel Cleaver [D],Democrat
400641,Yea,Rep. Brian Higgins [D],Democrat
400643,Nay,Rep. Virginia Foxx [R],Republican
400644,Yea,Rep. Patrick McHenry [R],Republican
400653,Yea,Rep. Al Green [D],Democrat
400654,Yea,Rep. Michael McCaul [R],Republican
400657,Yea,Rep. Henry Cuellar [D],Democrat
400659,Yea,Rep. Cathy Anne McMorris Rodgers [R],Republican
400661,Nay,Rep. Gwen Moore [D],Democrat
400663,Yea,Rep. Doris Matsui [D],Democrat
407672,Nay,Rep. Kweisi Mfume [D],Democrat
412191,Nay,Rep. Doug Lamborn [R],Republican
412193,Nay,Rep. Joe Courtney [D],Democrat
412195,Yea,Rep. Kathy Castor [D],Democrat
412196,Yea,Rep. Vern Buchanan [R],Republican
412199,Yea,Rep. Henry C. “Hank” Johnson [D],Democrat
412212,Yea,Rep. John Sarbanes [D],Democrat
412213,Yea,Rep. Tim Walberg [R],Republican
412217,Yea,Rep. Adrian Smith [R],Republican
412221,Yea,Rep. Yvette Clarke [D],Democrat
412226,Yea,Rep. Jim Jordan [R],Republican
412236,Nay,Rep. Steve Cohen [D],Democrat
412250,Yea,Rep. Gus Bilirakis [R],Republican
412255,Yea,Rep. Robert Wittman [R],Republican
412256,Yea,Rep. Robert Latta [R],Republican
412257,Nay,Rep. Bill Foster [D],Democrat
412258,Nay,Rep. André Carson [D],Democrat
412261,Yea,Rep. Steve Scalise [R],Republican
412272,Nay,Rep. Gerald Connolly [D],Democrat
412278,Yea,Rep. Brett Guthrie [R],Republican
412282,Yea,Rep. James “Jim” Himes [D],Democrat
412292,Yea,Rep. Blaine Luetkemeyer [R],Republican
412295,Not Voting,Rep. Tom McClintock [R],Republican
412307,Nay,Rep. Chellie Pingree [D],Democrat
412309,Nay,Rep. Bill Posey [R],Republican
412317,Nay,Rep. Glenn Thompson [R],Republican
412318,Yea,Rep. Dina Titus [D],Democrat
412319,Yea,Rep. Paul Tonko [D],Democrat
412331,Nay,Rep. Mike Quigley [D],Democrat
412379,Nay,Rep. Judy Chu [D],Democrat
412382,Nay,Rep. John Garamendi [D],Democrat
412396,Not Voting,Rep. Terri Sewell [D],Democrat
412397,Nay,Rep. Paul Gosar [R],Republican
412399,Yea,Rep. David Schweikert [R],Republican
412400,Nay,Rep. Eric “Rick” Crawford [R],Republican
412402,Yea,Rep. Steve Womack [R],Republican
412410,Nay,Rep. Daniel Webster [R],Republican
412412,Not Voting,Rep. Frederica Wilson [D],Democrat
412417,Yea,Rep. Austin Scott [R],Republican
412427,Yea,Rep. Larry Bucshon [R],Republican
412434,Yea,Rep. Andy Harris [R],Republican
412435,Not Voting,Rep. William R. Keating [D],Democrat
412437,Yea,Rep. Bill Huizenga [R],Republican
412460,Yea,Rep. Bill Johnson [R],Republican
412465,Yea,Rep. Mike Kelly [R],Republican
412472,Yea,Rep. Jeff Duncan [R],Republican
412476,Yea,Rep. Charles “Chuck” Fleischmann [R],Republican
412477,Yea,Rep. Scott DesJarlais [R],Republican
412485,Yea,Rep. Morgan Griffith [R],Republican
412500,Yea,Rep. Mark Amodei [R],Republican
412501,Nay,Rep. Suzanne Bonamici [D],Democrat
412503,Nay,Rep. Thomas Massie [R],Republican
412505,Nay,Rep. Suzan DelBene [D],Democrat
412506,Yea,Rep. Donald Payne Jr. [D],Democrat
412510,Yea,Rep. Doug LaMalfa [R],Republican
