id,vote,name,party, tuition for private school, and e
114,6,Aye,Rep. Bill Johnson [R],Republican,
115,16,Aye,Rep. Mike Kelly [R],Republican,
116,1,No,"Rep. David Cicilline [D, 2011-2023]",Democrat,
117,3,Aye,Rep. Jeff Duncan [R],Republican,
118,3,No,Rep. Charles “Chuck” Fleischmann [R],Republican,
119,4,Aye,Rep. Scott DesJarlais [R],Republican,
120,9,Aye,Rep. Morgan Griffith [R],Republican,
121,2,No,Rep. Mark Amodei [R],Republican,
122,1,No,Rep. Suzanne Bonamici [D],Democrat,
123,4,Aye,Rep. Thomas Massie [R],Republican,
124,1,No,Rep. Suzan DelBene [D],Democrat,
125,10,No,Rep. Donald Payne Jr. [D],Democrat,
126,1,Aye,Rep. Doug LaMalfa [R],Republican,
127,2,No,Rep. Jared Huffman [D],Democrat,
128,6,No,Rep. Ami Bera [D],Democrat,
129,14,No,Rep. Eric Swalwell [D],Democrat,
130,22,No,Rep. David Valadao [R],Republican,
131,26,No,Rep. Julia Brownley [D],Democrat,
132,29,No,Rep. Tony Cárdenas [D],Democrat,
133,25,No,Rep. Raul Ruiz [D],Democrat,
134,39,No,Rep. Mark Takano [D],Democrat,
135,52,No,Rep. Juan Vargas [D],Democrat,
136,50,No,Rep. Scott Peters [D],Democrat,
137,22,No,Rep. Lois Frankel [D],Democrat,
138,10,No,Rep. Bradley “Brad” Schneider [D],Democrat,
139,6,No,Rep. Garland “Andy” Barr [R],Republican,
140,8,No,Rep. Daniel Kildee [D],Democrat,
141,2,No,Rep. Ann Wagner [R],Republican,
142,9,No,Rep. Richard Hudson [R],Republican,
143,2,No,Rep. Ann Kuster [D],Democrat,
144,4,No,Rep. Steven Horsford [D],Democrat,
145,6,No,Rep. Grace Meng [D],Democrat,
146,8,No,Rep. Hakeem Jeffries [D],Democrat,
147,2,No,Rep. Brad Wenstrup [R],Republican,
148,3,No,Rep. Joyce Beatty [D],Democrat,
149,14,No,Rep. David Joyce [R],Republican,
150,10,Aye,Rep. Scott Perry [R],Republican,
151,8,No,Rep. Matthew “Matt” Cartwright [D],Democrat,
152,14,Aye,Rep. Randy Weber [R],Republican,
153,20,Not Voting,Rep. Joaquin Castro [D],Democrat,
154,25,Aye,Rep. Roger Williams [R],Republican,
155,33,No,Rep. Marc Veasey [D],Democrat,
156,2,Aye,"Rep. Chris Stewart [R, 2013-2023]",Republican,
157,6,No,Rep. Derek Kilmer [D],Democrat,
158,2,No,Rep. Mark Pocan [D],Democrat,
159,2,Not Voting,Rep. Robin Kelly [D],Democrat,
160,8,No,Rep. Jason Smith [R],Republican,
161,5,No,Rep. Katherine Clark [D],Democrat,
162,1,No,Rep. Donald Norcross [D],Democrat,
163,12,No,Rep. Alma Adams [D],Democrat,
164,6,Not Voting,Rep. Gary Palmer [R],Republican,
165,2,No,Rep. French Hill [R],Republican,
166,4,No,Rep. Bruce Westerman [R],Republican,
167,3,Not Voting,Rep. Ruben Gallego [D],Democrat,
