id,vote,name,party, and staff.
116,3,Yea,Rep. Charles “Chuck” Fleischmann [R],Republican
117,4,Yea,Rep. Scott DesJarlais [R],Republican
118,9,Yea,Rep. Morgan Griffith [R],Republican
119,2,Yea,Rep. Mark Amodei [R],Republican
120,1,Yea,Rep. Suzanne Bonamici [D],Democrat
121,4,Nay,Rep. Thomas Massie [R],Republican
122,1,Yea,Rep. Suzan DelBene [D],Democrat
123,10,Yea,Rep. Donald Payne Jr. [D],Democrat
124,1,Yea,Rep. Doug LaMalfa [R],Republican
125,2,Nay,Rep. Jared Huffman [D],Democrat
126,6,Yea,Rep. Ami Bera [D],Democrat
127,14,Yea,Rep. Eric Swalwell [D],Democrat
128,22,Yea,Rep. David Valadao [R],Republican
129,26,Yea,Rep. Julia Brownley [D],Democrat
130,29,Yea,Rep. Tony Cárdenas [D],Democrat
131,25,Yea,Rep. Raul Ruiz [D],Democrat
132,39,Nay,Rep. Mark Takano [D],Democrat
133,52,Yea,Rep. Juan Vargas [D],Democrat
134,50,Yea,Rep. Scott Peters [D],Democrat
135,22,Yea,Rep. Lois Frankel [D],Democrat
136,10,Yea,Rep. Bradley “Brad” Schneider [D],Democrat
137,6,Yea,Rep. Garland “Andy” Barr [R],Republican
138,8,Yea,Rep. Daniel Kildee [D],Democrat
139,2,Yea,Rep. Ann Wagner [R],Republican
140,9,Yea,Rep. Richard Hudson [R],Republican
141,2,Yea,Rep. Ann Kuster [D],Democrat
142,4,Yea,Rep. Steven Horsford [D],Democrat
143,6,Yea,Rep. Grace Meng [D],Democrat
144,8,Yea,Rep. Hakeem Jeffries [D],Democrat
145,2,Yea,Rep. Brad Wenstrup [R],Republican
146,3,Yea,Rep. Joyce Beatty [D],Democrat
147,14,Not Voting,Rep. David Joyce [R],Republican
148,10,Yea,Rep. Scott Perry [R],Republican
149,8,Yea,Rep. Matthew “Matt” Cartwright [D],Democrat
150,14,Yea,Rep. Randy Weber [R],Republican
151,20,Not Voting,Rep. Joaquin Castro [D],Democrat
152,25,Yea,Rep. Roger Williams [R],Republican
153,33,Yea,Rep. Marc Veasey [D],Democrat
154,6,Yea,Rep. Derek Kilmer [D],Democrat
155,2,Yea,Rep. Mark Pocan [D],Democrat
156,2,Yea,Rep. Robin Kelly [D],Democrat
157,8,Yea,Rep. Jason Smith [R],Republican
158,5,Yea,Rep. Katherine Clark [D],Democrat
159,1,Yea,Rep. Donald Norcross [D],Democrat
160,12,Yea,Rep. Alma Adams [D],Democrat
161,6,Yea,Rep. Gary Palmer [R],Republican
162,2,Yea,Rep. French Hill [R],Republican
163,4,Yea,Rep. Bruce Westerman [R],Republican
164,3,Yea,Rep. Ruben Gallego [D],Democrat
165,10,Not Voting,Rep. Mark DeSaulnier [D],Democrat
166,33,Yea,Rep. Pete Aguilar [D],Democrat
167,36,Yea,Rep. Ted Lieu [D],Democrat
168,35,Yea,Rep. Norma Torres [D],Democrat
169,4,Yea,Rep. Ken Buck [R],Republican
170,1,Yea,Rep. Earl “Buddy” Carter [R],Republican
171,11,Yea,Rep. Barry Loudermilk [R],Republican
172,12,Yea,Rep. Rick Allen [R],Republican
173,12,Yea,Rep. Mike Bost [R],Republican
174,6,Yea,Rep. Garret Graves [R],Republican
175,6,Yea,Rep. Seth Moulton [D],Democrat
176,2,Yea,Rep. John Moolenaar [R],Republican
177,6,Yea,Rep. Debbie Dingell [D],Democrat
178,6,Yea,Rep. Tom Emmer [R],Republican
179,1,Yea,Rep. Ryan Zinke [R],Republican
180,7,Yea,Rep. David Rouzer [R],Republican
181,12,Nay,Rep. Bonnie Watson Coleman [D],Democrat
182,21,Yea,Rep. Elise Stefanik [R],Republican
183,2,Yea,Rep. Brendan Boyle [D],Democrat
184,36,Yea,Rep. Brian Babin [R],Republican
185,8,Yea,Rep. Donald Beyer [D],Democrat
186,4,Not Voting,Rep. Dan Newhouse [R],Republican
187,6,Yea,Rep. Glenn Grothman [R],Republican
188,2,Yea,Rep. Alexander Mooney [R],Republican
189,1,Yea,Rep. Trent Kelly [R],Republican
190,16,Yea,Rep. Darin LaHood [R],Republican
191,8,Yea,Rep. Warren Davidson [R],Republican
192,1,Yea,Rep. James Comer [R],Republican
