id,vote,name,party, removing deadline for the ratification of the equal rights adt
99,3,Yea,"Rep. John Sarbanes [D, 2007-2024]",Democrat
100,7,Nay,"Rep. Tim Walberg [R, 2011-2022]",Republican
101,3,Nay,"Rep. Adrian Smith [R, 2007-2024]",Republican
102,9,Yea,"Rep. Yvette Clarke [D, 2013-2024]",Democrat
103,4,Nay,"Rep. Jim Jordan [R, 2007-2024]",Republican
104,9,Yea,"Rep. Steve Cohen [D, 2007-2024]",Democrat
105,0,Yea,"Rep. Peter Welch [D, 2007-2022]",Democrat
106,12,Nay,"Rep. Gus Bilirakis [R, 2013-2024]",Republican
107,1,Nay,"Rep. Robert Wittman [R, 2007-2024]",Republican
108,5,Nay,"Rep. Robert Latta [R, 2007-2024]",Republican
109,11,Yea,"Rep. Bill Foster [D, 2013-2024]",Democrat
110,7,Yea,"Rep. André Carson [D, 2008-2024]",Democrat
111,14,Not Voting,"Rep. Jackie Speier [D, 2013-2022]",Democrat
112,1,Nay,"Rep. Steve Scalise [R, 2008-2024]",Republican
113,11,Yea,"Rep. Gerald Connolly [D, 2009-2024]",Democrat
114,2,Nay,"Rep. Brett Guthrie [R, 2009-2024]",Republican
115,4,Yea,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat
116,2,Yea,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat
117,3,Nay,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican
118,4,Nay,"Rep. Tom McClintock [R, 2009-2022]",Republican
119,1,Yea,"Rep. Chellie Pingree [D, 2009-2024]",Democrat
120,8,Nay,"Rep. Bill Posey [R, 2013-2024]",Republican
121,5,Yea,"Rep. Kurt Schrader [D, 2009-2022]",Democrat
122,15,Nay,"Rep. Glenn Thompson [R, 2019-2024]",Republican
123,1,Yea,"Rep. Dina Titus [D, 2013-2024]",Democrat
124,20,Yea,"Rep. Paul Tonko [D, 2013-2024]",Democrat
125,5,Yea,"Rep. Mike Quigley [D, 2009-2024]",Democrat
126,27,Yea,"Rep. Judy Chu [D, 2013-2022]",Democrat
127,3,Yea,"Rep. John Garamendi [D, 2013-2022]",Democrat
128,22,Yea,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat
129,23,Nay,"Rep. Tom Reed [R, 2013-2022]",Republican
130,5,Nay,"Rep. Mo Brooks [R, 2011-2022]",Republican
131,7,Yea,"Rep. Terri Sewell [D, 2011-2024]",Democrat
132,4,Nay,"Rep. Paul Gosar [R, 2013-2022]",Republican
133,6,Nay,"Rep. David Schweikert [R, 2013-2022]",Republican
134,1,Nay,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican
135,3,Nay,"Rep. Steve Womack [R, 2011-2024]",Republican
136,37,Yea,"Rep. Karen Bass [D, 2013-2022]",Democrat
137,11,Nay,"Rep. Daniel Webster [R, 2017-2024]",Republican
138,24,Yea,"Rep. Frederica Wilson [D, 2013-2024]",Democrat
139,8,Nay,"Rep. Austin Scott [R, 2011-2024]",Republican
140,16,Nay,"Rep. Adam Kinzinger [R, 2013-2022]",Republican
141,8,Nay,"Rep. Larry Bucshon [R, 2011-2024]",Republican
142,1,Nay,"Rep. Andy Harris [R, 2011-2024]",Republican
143,9,Yea,"Rep. William R. Keating [D, 2013-2024]",Democrat
144,2,Nay,"Rep. Bill Huizenga [R, 2011-2022]",Republican
145,4,Nay,"Rep. Steven Palazzo [R, 2011-2022]",Republican
146,4,Nay,"Rep. Vicky Hartzler [R, 2011-2022]",Republican
147,7,Nay,"Rep. Billy Long [R, 2011-2022]",Republican
148,6,Nay,"Rep. Bill Johnson [R, 2011-2024]",Republican
149,15,Nay,"Rep. Steve Stivers [R, 2011-2021]",Republican
150,7,Nay,"Rep. Bob Gibbs [R, 2013-2022]",Republican
151,16,Nay,"Rep. Mike Kelly [R, 2019-2024]",Republican
152,1,Yea,"Rep. David Cicilline [D, 2011-2023]",Democrat
153,3,Nay,"Rep. Jeff Duncan [R, 2011-2024]",Republican
154,3,Nay,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican
155,4,Nay,"Rep. Scott DesJarlais [R, 2011-2024]",Republican
156,9,Nay,"Rep. Morgan Griffith [R, 2011-2024]",Republican
157,3,Nay,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican
158,1,Nay,"Rep. David McKinley [R, 2011-2022]",Republican
159,2,Nay,"Rep. Mark Amodei [R, 2011-2024]",Republican
160,1,Yea,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat
161,4,Nay,"Rep. Thomas Massie [R, 2012-2024]",Republican
162,1,Yea,"Rep. Suzan DelBene [D, 2012-2024]",Democrat
163,10,Yea,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat
164,1,Nay,"Rep. Doug LaMalfa [R, 2013-2024]",Republican
165,2,Yea,"Rep. Jared Huffman [D, 2013-2024]",Democrat
166,7,Yea,"Rep. Ami Bera [D, 2013-2022]",Democrat
167,15,Yea,"Rep. Eric Swalwell [D, 2013-2022]",Democrat
168,21,Nay,"Rep. David Valadao [R, 2021-2022]",Republican
169,26,Yea,"Rep. Julia Brownley [D, 2013-2024]",Democrat
170,29,Yea,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat
171,36,Yea,"Rep. Raul Ruiz [D, 2013-2022]",Democrat
172,41,Yea,"Rep. Mark Takano [D, 2013-2022]",Democrat
173,47,Yea,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat
174,51,Yea,"Rep. Juan Vargas [D, 2013-2022]",Democrat
175,52,Yea,"Rep. Scott Peters [D, 2013-2022]",Democrat
176,21,Yea,"Rep. Lois Frankel [D, 2017-2022]",Democrat
177,10,Yea,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat
178,13,Not Voting,"Rep. Rodney Davis [R, 2013-2022]",Republican
179,17,Yea,"Rep. Cheri Bustos [D, 2013-2022]",Democrat
180,2,Nay,"Rep. Jackie Walorski [R, 2013-2022]",Republican
181,6,Nay,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican
182,5,Yea,"Rep. Daniel Kildee [D, 2013-2022]",Democrat
183,2,Nay,"Rep. Ann Wagner [R, 2013-2024]",Republican
184,8,Nay,"Rep. Richard Hudson [R, 2013-2022]",Republican
185,2,Yea,"Rep. Ann Kuster [D, 2013-2024]",Democrat
186,4,Yea,"Rep. Steven Horsford [D, 2019-2024]",Democrat
187,6,Yea,"Rep. Grace Meng [D, 2013-2024]",Democrat
188,8,Yea,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat
189,18,Yea,"Rep. Sean Maloney [D, 2013-2022]",Democrat
190,2,Nay,"Rep. Brad Wenstrup [R, 2013-2024]",Republican
191,3,Yea,"Rep. Joyce Beatty [D, 2013-2024]",Democrat
192,14,Nay,"Rep. David Joyce [R, 2013-2024]",Republican
193,2,Nay,"Rep. Markwayne Mullin [R, 2013-2022]",Republican
194,10,Nay,"Rep. Scott Perry [R, 2019-2024]",Republican
195,8,Yea,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat
196,7,Nay,"Rep. Tom Rice [R, 2013-2022]",Republican
197,14,Nay,"Rep. Randy Weber [R, 2013-2024]",Republican
198,20,Yea,"Rep. Joaquin Castro [D, 2013-2024]",Democrat
199,25,Nay,"Rep. Roger Williams [R, 2013-2024]",Republican
200,33,Yea,"Rep. Marc Veasey [D, 2013-2024]",Democrat
201,34,Not Voting,"Rep. Filemon Vela [D, 2013-2022]",Democrat
202,2,Nay,"Rep. Chris Stewart [R, 2013-2023]",Republican
203,6,Yea,"Rep. Derek Kilmer [D, 2013-2024]",Democrat
204,2,Yea,"Rep. Mark Pocan [D, 2013-2024]",Democrat
205,2,Yea,"Rep. Robin Kelly [D, 2013-2024]",Democrat
206,8,Nay,"Rep. Jason Smith [R, 2013-2024]",Republican
207,5,Yea,"Rep. Katherine Clark [D, 2013-2024]",Democrat
208,1,Yea,"Rep. Donald Norcross [D, 2014-2024]",Democrat
209,12,Yea,"Rep. Alma Adams [D, 2014-2024]",Democrat
210,6,Nay,"Rep. Gary Palmer [R, 2015-2024]",Republican
211,2,Nay,"Rep. French Hill [R, 2015-2024]",Republican
212,4,Nay,"Rep. Bruce Westerman [R, 2015-2024]",Republican
213,7,Yea,"Rep. Ruben Gallego [D, 2015-2022]",Democrat
214,11,Yea,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat
215,31,Yea,"Rep. Pete Aguilar [D, 2015-2022]",Democrat
216,33,Yea,"Rep. Ted Lieu [D, 2015-2022]",Democrat
217,35,Yea,"Rep. Norma Torres [D, 2015-2024]",Democrat
218,4,Nay,"Rep. Ken Buck [R, 2015-2024]",Republican
219,1,Nay,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican
220,10,Nay,"Rep. Jody Hice [R, 2015-2022]",Republican
221,11,Nay,"Rep. Barry Loudermilk [R, 2015-2024]",Republican
222,12,Nay,"Rep. Rick Allen [R, 2015-2024]",Republican
223,12,Nay,"Rep. Mike Bost [R, 2015-2024]",Republican
224,6,Nay,"Rep. Garret Graves [R, 2015-2024]",Republican
225,6,Yea,"Rep. Seth Moulton [D, 2015-2024]",Democrat
226,4,Nay,"Rep. John Moolenaar [R, 2015-2022]",Republican
227,12,Yea,"Rep. Debbie Dingell [D, 2015-2022]",Democrat
228,14,Yea,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat
229,6,Nay,"Rep. Tom Emmer [R, 2015-2024]",Republican
230,7,Nay,"Rep. David Rouzer [R, 2015-2024]",Republican
231,12,Yea,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat
232,1,Nay,"Rep. Lee Zeldin [R, 2015-2022]",Republican
233,4,Yea,"Rep. Kathleen Rice [D, 2015-2022]",Democrat
234,21,Nay,"Rep. Elise Stefanik [R, 2015-2024]",Republican
235,24,Nay,"Rep. John Katko [R, 2015-2022]",Republican
236,2,Yea,"Rep. Brendan Boyle [D, 2019-2024]",Democrat
237,36,Nay,"Rep. Brian Babin [R, 2015-2024]",Republican
238,8,Yea,"Rep. Donald Beyer [D, 2015-2024]",Democrat
239,4,Nay,"Rep. Dan Newhouse [R, 2015-2024]",Republican
240,6,Nay,"Rep. Glenn Grothman [R, 2015-2024]",Republican
241,2,Nay,"Rep. Alexander Mooney [R, 2015-2024]",Republican
242,1,Nay,"Rep. Trent Kelly [R, 2015-2024]",Republican
243,18,Nay,"Rep. Darin LaHood [R, 2015-2022]",Republican
244,8,Nay,"Rep. Warren Davidson [R, 2016-2024]",Republican
245,1,Nay,"Rep. James Comer [R, 2016-2024]",Republican
246,3,Yea,"Rep. Dwight Evans [D, 2019-2024]",Democrat
247,1,Yea,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat
248,5,Nay,"Rep. Andy Biggs [R, 2017-2024]",Republican
249,17,Yea,"Rep. Ro Khanna [D, 2017-2024]",Democrat
250,20,Yea,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat
251,24,Yea,"Rep. Salud Carbajal [D, 2017-2024]",Democrat
252,44,Yea,"Rep. Nanette Barragán [D, 2017-2024]",Democrat
253,46,Yea,"Rep. Luis Correa [D, 2017-2024]",Democrat
254,0,Yea,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat
255,1,Not Voting,"Rep. Matt Gaetz [R, 2017-2024]",Republican
256,2,Nay,"Rep. Neal Dunn [R, 2017-2024]",Republican
257,4,Nay,"Rep. John Rutherford [R, 2017-2022]",Republican
258,5,Yea,"Rep. Al Lawson [D, 2017-2022]",Democrat
259,7,Not Voting,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat
260,9,Yea,"Rep. Darren Soto [D, 2017-2024]",Democrat
261,10,Yea,"Rep. Val Demings [D, 2017-2022]",Democrat
262,13,Yea,"Rep. Charlie Crist [D, 2017-2022]",Democrat
263,18,Nay,"Rep. Brian Mast [R, 2017-2022]",Republican
264,3,Nay,"Rep. Drew Ferguson [R, 2017-2024]",Republican
265,8,Yea,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat
266,3,Nay,"Rep. Jim Banks [R, 2017-2024]",Republican
267,9,Nay,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican
268,3,Nay,"Rep. Clay Higgins [R, 2017-2024]",Republican
269,4,Nay,"Rep. Mike Johnson [R, 2017-2024]",Republican
270,4,Not Voting,"Rep. Anthony Brown [D, 2017-2022]",Democrat
271,8,Yea,"Rep. Jamie Raskin [D, 2017-2024]",Democrat
272,1,Nay,"Rep. Jack Bergman [R, 2017-2024]",Republican
273,13,Nay,"Rep. Ted Budd [R, 2017-2022]",Republican
274,2,Nay,"Rep. Don Bacon [R, 2017-2024]",Republican
275,5,Yea,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat
276,3,Yea,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat
277,13,Yea,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat
278,22,Nay,"Rep. Claudia Tenney [R, 2021-2022]",Republican
279,1,Nay,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican
280,11,Nay,"Rep. Lloyd Smucker [R, 2019-2024]",Republican
281,8,Nay,"Rep. David Kustoff [R, 2017-2024]",Republican
282,15,Yea,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat
283,19,Nay,"Rep. Jodey Arrington [R, 2017-2024]",Republican
284,4,Yea,"Rep. Donald McEachin [D, 2017-2022]",Democrat
285,7,Yea,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat
286,8,Nay,"Rep. Mike Gallagher [R, 2017-2024]",Republican
287,0,Nay,"Rep. Liz Cheney [R, 2017-2022]",Republican
288,4,Nay,"Rep. Ron Estes [R, 2017-2024]",Republican
289,5,Nay,"Rep. Ralph Norman [R, 2017-2024]",Republican
290,34,Yea,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat
291,3,Nay,"Rep. John Curtis [R, 2017-2024]",Republican
292,17,Yea,"Rep. Conor Lamb [D, 2019-2022]",Democrat
293,8,Nay,"Rep. Debbie Lesko [R, 2018-2024]",Republican
294,27,Nay,"Rep. Michael Cloud [R, 2018-2024]",Republican
295,12,Not Voting,"Rep. Troy Balderson [R, 2018-2024]",Republican
296,1,Nay,"Rep. Kevin Hern [R, 2018-2024]",Republican
297,25,Yea,"Rep. Joseph Morelle [D, 2018-2024]",Democrat
298,5,Yea,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat
299,7,Yea,"Rep. Susan Wild [D, 2019-2024]",Democrat
300,9,Yea,"Rep. Greg Stanton [D, 2019-2022]",Democrat
301,10,Yea,"Rep. Josh Harder [D, 2019-2022]",Democrat
302,45,Yea,"Rep. Katie Porter [D, 2019-2022]",Democrat
303,49,Yea,"Rep. Mike Levin [D, 2019-2024]",Democrat
304,2,Yea,"Rep. Joe Neguse [D, 2019-2024]",Democrat
305,6,Yea,"Rep. Jason Crow [D, 2019-2024]",Democrat
306,5,Yea,"Rep. Jahana Hayes [D, 2019-2024]",Democrat
307,6,Not Voting,"Rep. Michael Waltz [R, 2019-2024]",Republican
308,17,Nay,"Rep. Gregory Steube [R, 2019-2024]",Republican
309,6,Yea,"Rep. Lucy McBath [D, 2019-2022]",Democrat
310,3,Yea,"Rep. Cynthia Axne [D, 2019-2022]",Democrat
311,1,Nay,"Rep. Russ Fulcher [R, 2019-2024]",Republican
312,4,Yea,"Rep. Jesús “Chuy” García [D, 2019-2024]",Democrat
313,6,Yea,"Rep. Sean Casten [D, 2019-2024]",Democrat
314,14,Yea,"Rep. Lauren Underwood [D, 2019-2024]",Democrat
315,4,Nay,"Rep. James Baird [R, 2019-2024]",Republican
316,6,Nay,"Rep. Greg Pence [R, 2019-2024]",Republican
317,3,Yea,"Rep. Sharice Davids [D, 2019-2024]",Democrat
318,3,Yea,"Rep. Lori Trahan [D, 2019-2024]",Democrat
319,7,Yea,"Rep. Ayanna Pressley [D, 2019-2024]",Democrat
320,6,Yea,"Rep. David Trone [D, 2019-2024]",Democrat
321,8,Yea,"Rep. Elissa Slotkin [D, 2019-2022]",Democrat
322,9,Yea,"Rep. Andy Levin [D, 2019-2022]",Democrat
323,11,Yea,"Rep. Haley Stevens [D, 2019-2024]",Democrat
324,13,Yea,"Rep. Rashida Tlaib [D, 2019-2022]",Democrat
325,1,Nay,"Rep. Jim Hagedorn [R, 2019-2022]",Republican
326,2,Yea,"Rep. Angie Craig [D, 2019-2024]",Democrat
327,3,Yea,"Rep. Dean Phillips [D, 2019-2024]",Democrat
328,5,Yea,"Rep. Ilhan Omar [D, 2019-2024]",Democrat
329,8,Nay,"Rep. Pete Stauber [R, 2019-2024]",Republican
330,3,Nay,"Rep. Michael Guest [R, 2019-2024]",Republican
331,0,Not Voting,"Rep. Kelly Armstrong [R, 2019-2024]",Republican
332,1,Yea,"Rep. Chris Pappas [D, 2019-2024]",Democrat
333,2,Nay,"Rep. Jefferson Van Drew [R, 2019-2024]",Republican
334,3,Yea,"Rep. Andy Kim [D, 2019-2024]",Democrat
335,7,Yea,"Rep. Tom Malinowski [D, 2019-2022]",Democrat
336,11,Yea,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat
337,3,Yea,"Rep. Susie Lee [D, 2019-2024]",Democrat
338,14,Yea,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat
339,19,Yea,"Rep. Antonio Delgado [D, 2019-2022]",Democrat
340,16,Nay,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican
341,4,Yea,"Rep. Madeleine Dean [D, 2019-2024]",Democrat
342,6,Yea,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat
343,9,Nay,"Rep. Daniel Meuser [R, 2019-2024]",Republican
344,13,Nay,"Rep. John Joyce [R, 2019-2024]",Republican
345,14,Nay,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican
346,4,Nay,"Rep. William Timmons [R, 2019-2024]",Republican
347,0,Nay,"Rep. Dusty Johnson [R, 2019-2024]",Republican
348,2,Nay,"Rep. Tim Burchett [R, 2019-2024]",Republican
349,6,Nay,"Rep. John W. Rose [R, 2019-2024]",Republican
350,7,Nay,"Rep. Mark E. Green [R, 2019-2024]",Republican
351,2,Nay,"Rep. Dan Crenshaw [R, 2019-2024]",Republican
352,3,Nay,"Rep. Van Taylor [R, 2019-2022]",Republican
353,5,Nay,"Rep. Lance Gooden [R, 2019-2024]",Republican
354,7,Yea,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat
355,16,Yea,"Rep. Veronica Escobar [D, 2019-2024]",Democrat
356,21,Nay,"Rep. Chip Roy [R, 2019-2024]",Republican
357,29,Yea,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat
358,32,Yea,"Rep. Colin Allred [D, 2019-2024]",Democrat
359,2,Yea,"Rep. Elaine Luria [D, 2019-2022]",Democrat
360,6,Nay,"Rep. Ben Cline [R, 2019-2024]",Republican
361,7,Yea,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat
362,10,Yea,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat
363,8,Yea,"Rep. Kim Schrier [D, 2019-2024]",Democrat
364,1,Nay,"Rep. Bryan Steil [R, 2019-2024]",Republican
365,3,Nay,"Rep. Carol Miller [R, 2019-2022]",Republican
366,2,Not Voting,"Rep. Jared Golden [D, 2019-2024]",Democrat
367,12,Nay,"Rep. Fred Keller [R, 2019-2022]",Republican
368,9,Nay,"Rep. Dan Bishop [R, 2019-2022]",Republican
369,3,Nay,"Rep. Gregory Murphy [R, 2019-2024]",Republican
370,7,Nay,"Rep. Thomas Tiffany [R, 2020-2024]",Republican
371,25,Nay,"Rep. Mike Garcia [R, 2020-2022]",Republican
372,27,Nay,"Rep. Chris Jacobs [R, 2020-2022]",Republican
373,1,Nay,"Rep. Jerry Carl [R, 2021-2024]",Republican
374,2,Nay,"Rep. Barry Moore [R, 2021-2024]",Republican
375,8,Nay,"Rep. Jay Obernolte [R, 2021-2022]",Republican
376,39,Nay,"Rep. Young Kim [R, 2021-2022]",Republican
377,48,Nay,"Rep. Michelle Steel [R, 2021-2022]",Republican
378,53,Yea,"Rep. Sara Jacobs [D, 2021-2022]",Democrat
379,3,Nay,"Rep. Lauren Boebert [R, 2021-2024]",Republican
380,3,Nay,"Rep. Katherine “Kat” Cammack [R, 2021-2024]",Republican
381,15,Nay,"Rep. Scott Franklin [R, 2021-2022]",Republican
382,19,Nay,"Rep. Byron Donalds [R, 2021-2024]",Republican
383,26,Nay,"Rep. Carlos Gimenez [R, 2021-2022]",Republican
