id,vote,name,party, 28, 29, 30, 37, 45, 79, 80, 92, 94, 96, 106, 110, 116, 121, 155, 164, 165, 180, 181,Unnamed: 24
365,9,Yea,"Rep. Dan Bishop [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,,,,
366,3,Yea,"Rep. Gregory Murphy [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,
367,7,Yea,"Rep. Thomas Tiffany [R, 2020-2024]",Republican,,,,,,,,,,,,,,,,,,,
368,25,Yea,"Rep. Mike Garcia [R, 2020-2022]",Republican,,,,,,,,,,,,,,,,,,,
369,27,Yea,"Rep. Chris Jacobs [R, 2020-2022]",Republican,,,,,,,,,,,,,,,,,,,
370,1,Yea,"Rep. Jerry Carl [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
371,2,Yea,"Rep. Barry Moore [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
372,8,Yea,"Rep. Jay Obernolte [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,
373,39,Yea,"Rep. Young Kim [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,
374,48,Yea,"Rep. Michelle Steel [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,
375,53,Nay,"Rep. Sara Jacobs [D, 2021-2022]",Democrat,,,,,,,,,,,,,,,,,,,
376,3,Yea,"Rep. Lauren Boebert [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
377,3,Yea,"Rep. Katherine “Kat” Cammack [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
378,15,Yea,"Rep. Scott Franklin [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,
379,19,Yea,"Rep. Byron Donalds [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
380,26,Yea,"Rep. Carlos Gimenez [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,
381,27,Yea,"Rep. Maria Salazar [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
382,5,Nay,"Rep. Nikema Williams [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,,,,
383,7,Nay,"Rep. Carolyn Bourdeaux [D, 2021-2022]",Democrat,,,,,,,,,,,,,,,,,,,
384,9,Yea,"Rep. Andrew Clyde [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
385,14,Yea,"Rep. Marjorie Taylor Greene [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
386,2,Nay,"Rep. Kaialiʻi Kahele [D, 2021-2022]",Democrat,,,,,,,,,,,,,,,,,,,
387,1,Yea,"Rep. Ashley Hinson [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,
388,2,Yea,"Rep. Mariannette Miller-Meeks [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,
389,4,Yea,"Rep. Randy Feenstra [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
390,3,Nay,"Rep. Marie Newman [D, 2021-2022]",Democrat,,,,,,,,,,,,,,,,,,,
391,15,Yea,"Rep. Mary Miller [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
392,1,Nay,"Rep. Frank Mrvan [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,,,,
393,5,Yea,"Rep. Victoria Spartz [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
394,1,Yea,"Rep. Tracey Mann [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
395,2,Yea,"Rep. Jacob “Jake” LaTurner [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
396,4,Nay,"Rep. Jake Auchincloss [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,,,,
397,3,Yea,"Rep. Peter Meijer [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,
398,10,Yea,"Rep. Lisa McClain [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,
399,7,Yea,"Rep. Michelle Fischbach [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
400,1,Nay,"Rep. Cori Bush [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,,,,
401,0,Yea,"Rep. Matthew Rosendale [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,
402,2,Nay,"Rep. Deborah Ross [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,,,,
403,6,Nay,"Rep. Kathy Manning [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,,,,
404,11,Yea,"Rep. Madison Cawthorn [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,
405,2,Yea,"Rep. Yvette Herrell [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,
406,3,Nay,"Rep. Teresa Leger Fernandez [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,,,,
407,2,Yea,"Rep. Andrew Garbarino [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
408,11,Yea,"Rep. Nicole Malliotakis [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
409,15,Nay,"Rep. Ritchie Torres [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,,,,
410,16,Nay,"Rep. Jamaal Bowman [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,,,,
411,17,Nay,"Rep. Mondaire Jones [D, 2021-2022]",Democrat,,,,,,,,,,,,,,,,,,,
412,5,Yea,"Rep. Stephanie Bice [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
413,2,Yea,"Rep. Cliff Bentz [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
414,1,Yea,"Rep. Nancy Mace [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
415,1,Yea,"Rep. Diana Harshbarger [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
