id,vote,name,party, 45, 77, 78, 79, 80, 81, 82, 98, 107, 120, 122, 125, 134, and 135.
63,4,Nay,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican,,,,,,,,,,,,,
64,2,Nay,"Rep. Bennie Thompson [D, 1993-2024]",Democrat,,,,,,,,,,,,,
65,5,Nay,"Rep. Mike Thompson [D, 2013-2022]",Democrat,,,,,,,,,,,,,
66,10,Yea,"Rep. Michael Turner [R, 2013-2024]",Republican,,,,,,,,,,,,,
67,6,Yea,"Rep. Fred Upton [R, 1993-2022]",Republican,,,,,,,,,,,,,
68,7,Nay,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat,,,,,,,,,,,,,
69,43,Nay,"Rep. Maxine Waters [D, 2013-2024]",Democrat,,,,,,,,,,,,,
70,2,Yea,"Rep. Joe Wilson [R, 2001-2024]",Republican,,,,,,,,,,,,,
71,0,Yea,"Rep. Don Young [R, 1973-2022]",Republican,,,,,,,,,,,,,
72,1,Nay,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,,,,,,,,,,,,,
73,16,Nay,"Rep. Jim Costa [D, 2013-2022]",Democrat,,,,,,,,,,,,,
74,23,Nay,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,,,,,,,,,,,,,
75,5,Nay,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,,,,,,,,,,,,,
76,1,Nay,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican,,,,,,,,,,,,,
77,26,Nay,"Rep. Brian Higgins [D, 2013-2024]",Democrat,,,,,,,,,,,,,
78,5,Yea,"Rep. Virginia Foxx [R, 2005-2024]",Republican,,,,,,,,,,,,,
79,10,Yea,"Rep. Patrick McHenry [R, 2005-2024]",Republican,,,,,,,,,,,,,
80,1,Not Voting,"Rep. Louie Gohmert [R, 2005-2022]",Republican,,,,,,,,,,,,,
81,9,Nay,"Rep. Al Green [D, 2005-2024]",Democrat,,,,,,,,,,,,,
82,10,Yea,"Rep. Michael McCaul [R, 2005-2024]",Republican,,,,,,,,,,,,,
83,28,Nay,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,,,,,,,,,,,,,
84,5,Yea,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,,,,,,,,,,,,,
85,4,Not Voting,"Rep. Gwen Moore [D, 2005-2024]",Democrat,,,,,,,,,,,,,
86,6,Nay,"Rep. Doris Matsui [D, 2013-2022]",Democrat,,,,,,,,,,,,,
87,7,Nay,"Rep. Kweisi Mfume [D, 2020-2024]",Democrat,,,,,,,,,,,,,
88,8,Nay,"Rep. Albio Sires [D, 2013-2022]",Democrat,,,,,,,,,,,,,
89,9,Nay,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,,,,,,,,,,,,,
90,23,Yea,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,,,,,,,,,,,,,
91,5,Yea,"Rep. Doug Lamborn [R, 2007-2024]",Republican,,,,,,,,,,,,,
92,7,Nay,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,,,,,,,,,,,,,
93,2,Nay,"Rep. Joe Courtney [D, 2007-2024]",Democrat,,,,,,,,,,,,,
94,14,Nay,"Rep. Kathy Castor [D, 2013-2024]",Democrat,,,,,,,,,,,,,
95,16,Yea,"Rep. Vern Buchanan [R, 2013-2024]",Republican,,,,,,,,,,,,,
96,4,Nay,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,,,,,,,,,,,,,
97,3,Nay,"Rep. John Yarmuth [D, 2007-2022]",Democrat,,,,,,,,,,,,,
98,3,Nay,"Rep. John Sarbanes [D, 2007-2024]",Democrat,,,,,,,,,,,,,
99,7,Yea,"Rep. Tim Walberg [R, 2011-2022]",Republican,,,,,,,,,,,,,
100,3,Yea,"Rep. Adrian Smith [R, 2007-2024]",Republican,,,,,,,,,,,,,
101,9,Nay,"Rep. Yvette Clarke [D, 2013-2024]",Democrat,,,,,,,,,,,,,
102,4,Yea,"Rep. Jim Jordan [R, 2007-2024]",Republican,,,,,,,,,,,,,
103,9,Nay,"Rep. Steve Cohen [D, 2007-2024]",Democrat,,,,,,,,,,,,,
104,0,Nay,"Rep. Peter Welch [D, 2007-2022]",Democrat,,,,,,,,,,,,,
105,12,Yea,"Rep. Gus Bilirakis [R, 2013-2024]",Republican,,,,,,,,,,,,,
106,1,Yea,"Rep. Robert Wittman [R, 2007-2024]",Republican,,,,,,,,,,,,,
107,5,Yea,"Rep. Robert Latta [R, 2007-2024]",Republican,,,,,,,,,,,,,
108,11,Nay,"Rep. Bill Foster [D, 2013-2024]",Democrat,,,,,,,,,,,,,
109,7,Nay,"Rep. André Carson [D, 2008-2024]",Democrat,,,,,,,,,,,,,
110,14,Nay,"Rep. Jackie Speier [D, 2013-2022]",Democrat,,,,,,,,,,,,,
111,1,Yea,"Rep. Steve Scalise [R, 2008-2024]",Republican,,,,,,,,,,,,,
112,11,Nay,"Rep. Gerald Connolly [D, 2009-2024]",Democrat,,,,,,,,,,,,,
113,2,Yea,"Rep. Brett Guthrie [R, 2009-2024]",Republican,,,,,,,,,,,,,
114,4,Nay,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat,,,,,,,,,,,,,
115,2,Nay,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat,,,,,,,,,,,,,
116,3,Yea,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican,,,,,,,,,,,,,
117,4,Yea,"Rep. Tom McClintock [R, 2009-2022]",Republican,,,,,,,,,,,,,
118,1,Nay,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,,,,,,,,,,,,,
119,8,Yea,"Rep. Bill Posey [R, 2013-2024]",Republican,,,,,,,,,,,,,
120,5,Nay,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,,,,,,,,,,,,,
121,15,Yea,"Rep. Glenn Thompson [R, 2019-2024]",Republican,,,,,,,,,,,,,
122,1,Nay,"Rep. Dina Titus [D, 2013-2024]",Democrat,,,,,,,,,,,,,
123,20,Nay,"Rep. Paul Tonko [D, 2013-2024]",Democrat,,,,,,,,,,,,,
124,5,Nay,"Rep. Mike Quigley [D, 2009-2024]",Democrat,,,,,,,,,,,,,
125,27,Nay,"Rep. Judy Chu [D, 2013-2022]",Democrat,,,,,,,,,,,,,
126,3,Nay,"Rep. John Garamendi [D, 2013-2022]",Democrat,,,,,,,,,,,,,
127,22,Nay,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,,,,,,,,,,,,,
128,23,Yea,"Rep. Tom Reed [R, 2013-2022]",Republican,,,,,,,,,,,,,
129,5,Yea,"Rep. Mo Brooks [R, 2011-2022]",Republican,,,,,,,,,,,,,
130,7,Nay,"Rep. Terri Sewell [D, 2011-2024]",Democrat,,,,,,,,,,,,,
131,4,Yea,"Rep. Paul Gosar [R, 2013-2022]",Republican,,,,,,,,,,,,,
132,6,Yea,"Rep. David Schweikert [R, 2013-2022]",Republican,,,,,,,,,,,,,
133,1,Yea,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican,,,,,,,,,,,,,
134,3,Yea,"Rep. Steve Womack [R, 2011-2024]",Republican,,,,,,,,,,,,,
135,37,Nay,"Rep. Karen Bass [D, 2013-2022]",Democrat,,,,,,,,,,,,,
136,11,Yea,"Rep. Daniel Webster [R, 2017-2024]",Republican,,,,,,,,,,,,,
137,24,Nay,"Rep. Frederica Wilson [D, 2013-2024]",Democrat,,,,,,,,,,,,,
138,8,Yea,"Rep. Austin Scott [R, 2011-2024]",Republican,,,,,,,,,,,,,
139,16,Yea,"Rep. Adam Kinzinger [R, 2013-2022]",Republican,,,,,,,,,,,,,
140,8,Yea,"Rep. Larry Bucshon [R, 2011-2024]",Republican,,,,,,,,,,,,,
141,1,Yea,"Rep. Andy Harris [R, 2011-2024]",Republican,,,,,,,,,,,,,
142,9,Nay,"Rep. William R. Keating [D, 2013-2024]",Democrat,,,,,,,,,,,,,
143,2,Yea,"Rep. Bill Huizenga [R, 2011-2022]",Republican,,,,,,,,,,,,,
144,4,Yea,"Rep. Steven Palazzo [R, 2011-2022]",Republican,,,,,,,,,,,,,
145,4,Yea,"Rep. Vicky Hartzler [R, 2011-2022]",Republican,,,,,,,,,,,,,
146,7,Yea,"Rep. Billy Long [R, 2011-2022]",Republican,,,,,,,,,,,,,
147,6,Yea,"Rep. Bill Johnson [R, 2011-2024]",Republican,,,,,,,,,,,,,
148,7,Yea,"Rep. Bob Gibbs [R, 2013-2022]",Republican,,,,,,,,,,,,,
149,16,Yea,"Rep. Mike Kelly [R, 2019-2024]",Republican,,,,,,,,,,,,,
150,1,Nay,"Rep. David Cicilline [D, 2011-2023]",Democrat,,,,,,,,,,,,,
151,3,Yea,"Rep. Jeff Duncan [R, 2011-2024]",Republican,,,,,,,,,,,,,
152,3,Yea,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican,,,,,,,,,,,,,
153,4,Yea,"Rep. Scott DesJarlais [R, 2011-2024]",Republican,,,,,,,,,,,,,
154,9,Yea,"Rep. Morgan Griffith [R, 2011-2024]",Republican,,,,,,,,,,,,,
155,3,Nay,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican,,,,,,,,,,,,,
156,1,Yea,"Rep. David McKinley [R, 2011-2022]",Republican,,,,,,,,,,,,,
157,2,Yea,"Rep. Mark Amodei [R, 2011-2024]",Republican,,,,,,,,,,,,,
158,1,Nay,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat,,,,,,,,,,,,,
159,4,Yea,"Rep. Thomas Massie [R, 2012-2024]",Republican,,,,,,,,,,,,,
160,1,Nay,"Rep. Suzan DelBene [D, 2012-2024]",Democrat,,,,,,,,,,,,,
161,10,Nay,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat,,,,,,,,,,,,,
162,1,Yea,"Rep. Doug LaMalfa [R, 2013-2024]",Republican,,,,,,,,,,,,,
163,2,Nay,"Rep. Jared Huffman [D, 2013-2024]",Democrat,,,,,,,,,,,,,
164,7,Nay,"Rep. Ami Bera [D, 2013-2022]",Democrat,,,,,,,,,,,,,
165,15,Nay,"Rep. Eric Swalwell [D, 2013-2022]",Democrat,,,,,,,,,,,,,
166,21,Yea,"Rep. David Valadao [R, 2021-2022]",Republican,,,,,,,,,,,,,
167,26,Nay,"Rep. Julia Brownley [D, 2013-2024]",Democrat,,,,,,,,,,,,,
168,29,Nay,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat,,,,,,,,,,,,,
169,36,Nay,"Rep. Raul Ruiz [D, 2013-2022]",Democrat,,,,,,,,,,,,,
170,41,Nay,"Rep. Mark Takano [D, 2013-2022]",Democrat,,,,,,,,,,,,,
171,47,Nay,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat,,,,,,,,,,,,,
172,51,Nay,"Rep. Juan Vargas [D, 2013-2022]",Democrat,,,,,,,,,,,,,
