id,vote,name,party
person,vote,name,party
400004,Present,"Rep. Robert Aderholt [R, 1997-2024]",Republican
400030,Present,"Rep. Sanford Bishop [D, 1993-2024]",Democrat
400033,Present,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat
400046,Not Voting,"Rep. Kevin Brady [R, 1997-2022]",Republican
400052,Present,"Rep. Michael Burgess [R, 2003-2024]",Republican
400057,Present,"Rep. Ken Calvert [R, 2013-2022]",Republican
400068,Present,"Rep. John R. Carter [R, 2003-2024]",Republican
400069,Present,"Rep. Ed Case [D, 2019-2024]",Democrat
400071,Present,"Rep. Steve Chabot [R, 2011-2022]",Republican
400075,Present,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat
400077,Present,"Rep. Tom Cole [R, 2003-2024]",Republican
400081,Present,"Rep. Jim Cooper [D, 2003-2022]",Democrat
400093,Present,"Rep. Danny Davis [D, 1997-2024]",Democrat
400100,Present,"Rep. Peter DeFazio [D, 1987-2022]",Democrat
400101,Present,"Rep. Diana DeGette [D, 1997-2024]",Democrat
400103,Present,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat
400108,Present,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican
400111,Present,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat
400114,Present,"Rep. Michael Doyle [D, 2019-2022]",Democrat
400124,Present,"Rep. Anna Eshoo [D, 2013-2022]",Democrat
400157,Present,"Rep. Kay Granger [R, 1997-2024]",Republican
400158,Present,"Rep. Sam Graves [R, 2001-2024]",Republican
400162,Present,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat
400189,Present,"Rep. Steny Hoyer [D, 1981-2024]",Democrat
400196,Present,"Rep. Darrell Issa [R, 2021-2022]",Republican
400199,Present,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat
400204,Present,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat
400211,Present,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat
400218,Present,"Rep. Ron Kind [D, 1997-2022]",Democrat
400230,Present,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat
400232,Present,"Rep. Rick Larsen [D, 2001-2024]",Democrat
400233,Present,"Rep. John Larson [D, 1999-2024]",Democrat
400237,Present,"Rep. Barbara Lee [D, 2013-2022]",Democrat
400245,Present,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat
400247,Present,"Rep. Frank Lucas [R, 2003-2024]",Republican
400249,Present,"Rep. Stephen Lynch [D, 2013-2024]",Democrat
400251,Present,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat
400259,Present,"Rep. Betty McCollum [D, 2001-2024]",Democrat
400263,Present,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat
400271,Present,"Rep. Gregory Meeks [D, 2013-2024]",Democrat
400289,Present,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat
400290,Present,"Rep. Grace Napolitano [D, 2013-2022]",Democrat
400291,Present,"Rep. Richard Neal [D, 2013-2024]",Democrat
400308,Present,"Rep. Frank Pallone [D, 1993-2024]",Democrat
400309,Present,"Rep. Bill Pascrell [D, 2013-2024]",Democrat
400314,Present,"Rep. Nancy Pelosi [D, 2013-2022]",Democrat
400326,Present,"Rep. David Price [D, 1997-2022]",Democrat
400340,Present,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican
400341,Not Voting,"Rep. Mike Rogers [R, 2003-2024]",Republican
400347,Present,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat
400349,Present,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat
400350,Present,"Rep. Bobby Rush [D, 1993-2022]",Democrat
400352,Present,"Rep. Tim Ryan [D, 2013-2022]",Democrat
400355,Present,"Rep. Linda Sánchez [D, 2013-2024]",Democrat
400360,Present,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat
400361,Present,"Rep. Adam Schiff [D, 2013-2022]",Democrat
400363,Present,"Rep. David Scott [D, 2003-2024]",Democrat
400364,Present,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat
400367,Present,"Rep. Pete Sessions [R, 2021-2024]",Republican
400371,Present,"Rep. Brad Sherman [D, 2013-2022]",Democrat
400376,Present,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican
400379,Present,"Rep. Adam Smith [D, 1997-2024]",Democrat
400380,Present,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican
400402,Present,"Rep. Bennie Thompson [D, 1993-2024]",Democrat
400403,Present,"Rep. Mike Thompson [D, 2013-2022]",Democrat
400411,Present,"Rep. Michael Turner [R, 2013-2024]",Republican
400414,Present,"Rep. Fred Upton [R, 1993-2022]",Republican
400416,Present,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat
400422,Present,"Rep. Maxine Waters [D, 2013-2024]",Democrat
400433,Present,"Rep. Joe Wilson [R, 2001-2024]",Republican
400440,Present,"Rep. Don Young [R, 1973-2022]",Republican
400616,Present,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat
400618,Present,"Rep. Jim Costa [D, 2013-2022]",Democrat
400623,Present,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat
400639,Present,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat
400640,Present,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican
400641,Present,"Rep. Brian Higgins [D, 2013-2024]",Democrat
400643,Present,"Rep. Virginia Foxx [R, 2005-2024]",Republican
400644,Present,"Rep. Patrick McHenry [R, 2005-2024]",Republican
400651,Not Voting,"Rep. Louie Gohmert [R, 2005-2022]",Republican
400653,Present,"Rep. Al Green [D, 2005-2024]",Democrat
400654,Present,"Rep. Michael McCaul [R, 2005-2024]",Republican
400657,Present,"Rep. Henry Cuellar [D, 2005-2024]",Democrat
400659,Present,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican
400661,Present,"Rep. Gwen Moore [D, 2005-2024]",Democrat
400663,Present,"Rep. Doris Matsui [D, 2013-2022]",Democrat
407672,Present,"Rep. Kweisi Mfume [D, 2020-2024]",Democrat
412186,Present,"Rep. Albio Sires [D, 2013-2022]",Democrat
412189,Present,"Rep. Jerry McNerney [D, 2013-2022]",Democrat
412190,Present,"Rep. Kevin McCarthy [R, 2013-2022]",Republican
412191,Present,"Rep. Doug Lamborn [R, 2007-2024]",Republican
412192,Present,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat
412193,Present,"Rep. Joe Courtney [D, 2007-2024]",Democrat
412195,Present,"Rep. Kathy Castor [D, 2013-2024]",Democrat
