id,vote,name,party, 10, 11, 12, 13, 14, 15, 17, 18, 19, 25, 26, 30, 31, 35, 38, 40, 45, 49, 54, 63, 64
63,4,Nay,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican,,,,,,,,,,,,,,,,,,,,
64,2,Yea,"Rep. Bennie Thompson [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
65,5,Yea,"Rep. Mike Thompson [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
66,10,Nay,"Rep. Michael Turner [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,
67,6,Nay,"Rep. Fred Upton [R, 1993-2022]",Republican,,,,,,,,,,,,,,,,,,,,
68,7,Yea,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
69,43,Yea,"Rep. Maxine Waters [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
70,2,Nay,"Rep. Joe Wilson [R, 2001-2024]",Republican,,,,,,,,,,,,,,,,,,,,
71,0,Nay,"Rep. Don Young [R, 1973-2022]",Republican,,,,,,,,,,,,,,,,,,,,
72,1,Yea,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
73,16,Yea,"Rep. Jim Costa [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
74,23,Yea,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
75,5,Yea,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
76,1,Nay,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican,,,,,,,,,,,,,,,,,,,,
77,26,Yea,"Rep. Brian Higgins [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
78,5,Nay,"Rep. Virginia Foxx [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,,,,,
79,10,Nay,"Rep. Patrick McHenry [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,,,,,
80,1,Nay,"Rep. Louie Gohmert [R, 2005-2022]",Republican,,,,,,,,,,,,,,,,,,,,
81,9,Yea,"Rep. Al Green [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
82,10,Nay,"Rep. Michael McCaul [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,,,,,
83,28,Yea,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
84,5,Nay,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,,,,,
85,4,Yea,"Rep. Gwen Moore [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
86,6,Yea,"Rep. Doris Matsui [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
87,7,Yea,"Rep. Kweisi Mfume [D, 2020-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
88,8,Yea,"Rep. Albio Sires [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
89,9,Yea,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
90,23,Nay,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,
91,5,Nay,"Rep. Doug Lamborn [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,,
92,7,Yea,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
93,2,Yea,"Rep. Joe Courtney [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
94,14,Yea,"Rep. Kathy Castor [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
95,16,Nay,"Rep. Vern Buchanan [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,
96,4,Yea,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
97,3,Yea,"Rep. John Yarmuth [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
98,3,Yea,"Rep. John Sarbanes [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
99,7,Nay,"Rep. Tim Walberg [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,
100,3,Nay,"Rep. Adrian Smith [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,,
101,9,Yea,"Rep. Yvette Clarke [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
102,4,Nay,"Rep. Jim Jordan [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,,
103,9,Yea,"Rep. Steve Cohen [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
104,0,Yea,"Rep. Peter Welch [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
105,12,Nay,"Rep. Gus Bilirakis [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,
106,1,Nay,"Rep. Robert Wittman [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,,
107,5,Nay,"Rep. Robert Latta [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,,
108,11,Yea,"Rep. Bill Foster [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
109,7,Yea,"Rep. André Carson [D, 2008-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
110,14,Yea,"Rep. Jackie Speier [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
111,1,Nay,"Rep. Steve Scalise [R, 2008-2024]",Republican,,,,,,,,,,,,,,,,,,,,
112,11,Yea,"Rep. Gerald Connolly [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
113,2,Nay,"Rep. Brett Guthrie [R, 2009-2024]",Republican,,,,,,,,,,,,,,,,,,,,
114,4,Yea,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
115,2,Yea,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
116,3,Nay,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,
117,4,Nay,"Rep. Tom McClintock [R, 2009-2022]",Republican,,,,,,,,,,,,,,,,,,,,
118,1,Yea,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
119,8,Nay,"Rep. Bill Posey [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,
120,5,Yea,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
121,15,Nay,"Rep. Glenn Thompson [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,
122,1,Yea,"Rep. Dina Titus [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
123,20,Yea,"Rep. Paul Tonko [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
124,5,Yea,"Rep. Mike Quigley [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
125,27,Yea,"Rep. Judy Chu [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
126,3,Yea,"Rep. John Garamendi [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
127,22,Yea,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
128,23,Nay,"Rep. Tom Reed [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,
129,5,Nay,"Rep. Mo Brooks [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,
130,7,Yea,"Rep. Terri Sewell [D, 2011-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
131,4,Nay,"Rep. Paul Gosar [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,
132,6,Nay,"Rep. David Schweikert [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,
133,1,Nay,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,
134,3,Nay,"Rep. Steve Womack [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,
135,37,Yea,"Rep. Karen Bass [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
136,11,Nay,"Rep. Daniel Webster [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,
137,24,Yea,"Rep. Frederica Wilson [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
138,8,Not Voting,"Rep. Austin Scott [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,
139,16,Nay,"Rep. Adam Kinzinger [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,
140,8,Nay,"Rep. Larry Bucshon [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,
141,1,Nay,"Rep. Andy Harris [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,
142,9,Yea,"Rep. William R. Keating [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
143,2,Nay,"Rep. Bill Huizenga [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,
144,4,Nay,"Rep. Steven Palazzo [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,
145,4,Nay,"Rep. Vicky Hartzler [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,
146,7,Nay,"Rep. Billy Long [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,
147,6,Nay,"Rep. Bill Johnson [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,
148,7,Nay,"Rep. Bob Gibbs [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,
149,16,Nay,"Rep. Mike Kelly [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,
150,1,Yea,"Rep. David Cicilline [D, 2011-2023]",Democrat,,,,,,,,,,,,,,,,,,,,
151,3,Nay,"Rep. Jeff Duncan [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,
152,3,Nay,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,
153,4,Nay,"Rep. Scott DesJarlais [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,
154,9,Nay,"Rep. Morgan Griffith [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,
155,3,Nay,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,
156,1,Nay,"Rep. David McKinley [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,
157,2,Nay,"Rep. Mark Amodei [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,
158,1,Yea,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
159,4,Nay,"Rep. Thomas Massie [R, 2012-2024]",Republican,,,,,,,,,,,,,,,,,,,,
160,1,Yea,"Rep. Suzan DelBene [D, 2012-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
161,10,Yea,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
162,1,Nay,"Rep. Doug LaMalfa [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,
163,2,Yea,"Rep. Jared Huffman [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
164,7,Yea,"Rep. Ami Bera [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
165,15,Yea,"Rep. Eric Swalwell [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
166,21,Nay,"Rep. David Valadao [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,,,,,
167,26,Yea,"Rep. Julia Brownley [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
168,29,Yea,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
169,36,Yea,"Rep. Raul Ruiz [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
170,41,Yea,"Rep. Mark Takano [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
171,47,Yea,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
172,51,Yea,"Rep. Juan Vargas [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
173,52,Yea,"Rep. Scott Peters [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
174,21,Yea,"Rep. Lois Frankel [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
175,10,Yea,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
176,13,Nay,"Rep. Rodney Davis [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,
177,17,Yea,"Rep. Cheri Bustos [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
178,2,Nay,"Rep. Jackie Walorski [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,
179,6,Nay,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,
180,5,Yea,"Rep. Daniel Kildee [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
181,2,Nay,"Rep. Ann Wagner [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,
182,8,Nay,"Rep. Richard Hudson [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,
183,2,Yea,"Rep. Ann Kuster [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
184,4,Yea,"Rep. Steven Horsford [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
185,6,Yea,"Rep. Grace Meng [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
186,8,Yea,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
187,18,Yea,"Rep. Sean Maloney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
188,2,Nay,"Rep. Brad Wenstrup [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,
189,3,Yea,"Rep. Joyce Beatty [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
190,14,Nay,"Rep. David Joyce [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,
191,2,Nay,"Rep. Markwayne Mullin [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,
192,10,Nay,"Rep. Scott Perry [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,
193,8,Yea,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
194,7,Nay,"Rep. Tom Rice [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,
195,14,Nay,"Rep. Randy Weber [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,
196,20,Yea,"Rep. Joaquin Castro [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
197,25,Nay,"Rep. Roger Williams [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,
198,33,Yea,"Rep. Marc Veasey [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
199,34,Yea,"Rep. Filemon Vela [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
200,2,Nay,"Rep. Chris Stewart [R, 2013-2023]",Republican,,,,,,,,,,,,,,,,,,,,
201,6,Yea,"Rep. Derek Kilmer [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
202,2,Yea,"Rep. Mark Pocan [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
203,2,Yea,"Rep. Robin Kelly [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
204,8,Nay,"Rep. Jason Smith [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,
205,5,Yea,"Rep. Katherine Clark [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
206,1,Yea,"Rep. Donald Norcross [D, 2014-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
207,12,Yea,"Rep. Alma Adams [D, 2014-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
208,6,Nay,"Rep. Gary Palmer [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
209,2,Nay,"Rep. French Hill [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
210,4,Nay,"Rep. Bruce Westerman [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
211,7,Yea,"Rep. Ruben Gallego [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
212,11,Yea,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
213,31,Yea,"Rep. Pete Aguilar [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
214,33,Yea,"Rep. Ted Lieu [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
215,35,Yea,"Rep. Norma Torres [D, 2015-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
216,4,Nay,"Rep. Ken Buck [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
217,1,Not Voting,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
218,10,Nay,"Rep. Jody Hice [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,,,,,
219,11,Nay,"Rep. Barry Loudermilk [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
220,12,Nay,"Rep. Rick Allen [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
221,12,Nay,"Rep. Mike Bost [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
222,6,Nay,"Rep. Garret Graves [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
223,6,Yea,"Rep. Seth Moulton [D, 2015-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
224,4,Nay,"Rep. John Moolenaar [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,,,,,
225,12,Yea,"Rep. Debbie Dingell [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
226,14,Yea,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
227,6,Nay,"Rep. Tom Emmer [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
228,7,Nay,"Rep. David Rouzer [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
229,12,Yea,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
230,1,Nay,"Rep. Lee Zeldin [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,,,,,
231,4,Yea,"Rep. Kathleen Rice [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
232,21,Nay,"Rep. Elise Stefanik [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
233,24,Nay,"Rep. John Katko [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,,,,,
234,2,Yea,"Rep. Brendan Boyle [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
235,36,Nay,"Rep. Brian Babin [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
236,8,Yea,"Rep. Donald Beyer [D, 2015-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
237,4,Nay,"Rep. Dan Newhouse [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
238,6,Nay,"Rep. Glenn Grothman [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
239,2,Nay,"Rep. Alexander Mooney [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
240,1,Nay,"Rep. Trent Kelly [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,
241,18,Nay,"Rep. Darin LaHood [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,,,,,
242,8,Nay,"Rep. Warren Davidson [R, 2016-2024]",Republican,,,,,,,,,,,,,,,,,,,,
243,1,Nay,"Rep. James Comer [R, 2016-2024]",Republican,,,,,,,,,,,,,,,,,,,,
244,3,Yea,"Rep. Dwight Evans [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,
245,1,Yea,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,
