id,vote,name,party, 6, 9, and 13.
365,8,Yea,"Rep. Kim Schrier [D, 2019-2024]",Democrat,,
366,1,Yea,"Rep. Bryan Steil [R, 2019-2024]",Republican,,
367,3,Nay,"Rep. Carol Miller [R, 2019-2022]",Republican,,
368,2,Yea,"Rep. Jared Golden [D, 2019-2024]",Democrat,,
369,12,Nay,"Rep. Fred Keller [R, 2019-2022]",Republican,,
370,9,Nay,"Rep. Dan Bishop [R, 2019-2022]",Republican,,
371,3,Nay,"Rep. Gregory Murphy [R, 2019-2024]",Republican,,
372,7,Nay,"Rep. Thomas Tiffany [R, 2020-2024]",Republican,,
373,25,Nay,"Rep. Mike Garcia [R, 2020-2022]",Republican,,
374,27,Nay,"Rep. Chris Jacobs [R, 2020-2022]",Republican,,
375,1,Nay,"Rep. Jerry Carl [R, 2021-2024]",Republican,,
376,2,Nay,"Rep. Barry Moore [R, 2021-2024]",Republican,,
377,8,Nay,"Rep. Jay Obernolte [R, 2021-2022]",Republican,,
378,39,Nay,"Rep. Young Kim [R, 2021-2022]",Republican,,
379,48,Nay,"Rep. Michelle Steel [R, 2021-2022]",Republican,,
380,53,Yea,"Rep. Sara Jacobs [D, 2021-2022]",Democrat,,
381,3,Nay,"Rep. Lauren Boebert [R, 2021-2024]",Republican,,
382,3,Nay,"Rep. Katherine “Kat” Cammack [R, 2021-2024]",Republican,,
383,15,Nay,"Rep. Scott Franklin [R, 2021-2022]",Republican,,
384,19,Nay,"Rep. Byron Donalds [R, 2021-2024]",Republican,,
385,26,Yea,"Rep. Carlos Gimenez [R, 2021-2022]",Republican,,
386,27,Yea,"Rep. Maria Salazar [R, 2021-2024]",Republican,,
387,5,Yea,"Rep. Nikema Williams [D, 2021-2024]",Democrat,,
388,7,Yea,"Rep. Carolyn Bourdeaux [D, 2021-2022]",Democrat,,
389,9,Nay,"Rep. Andrew Clyde [R, 2021-2024]",Republican,,
390,14,Nay,"Rep. Marjorie Taylor Greene [R, 2021-2024]",Republican,,
391,2,Yea,"Rep. Kaialiʻi Kahele [D, 2021-2022]",Democrat,,
392,1,Nay,"Rep. Ashley Hinson [R, 2021-2022]",Republican,,
393,2,Nay,"Rep. Mariannette Miller-Meeks [R, 2021-2022]",Republican,,
394,4,Nay,"Rep. Randy Feenstra [R, 2021-2024]",Republican,,
395,3,Yea,"Rep. Marie Newman [D, 2021-2022]",Democrat,,
396,15,Nay,"Rep. Mary Miller [R, 2021-2024]",Republican,,
397,1,Yea,"Rep. Frank Mrvan [D, 2021-2024]",Democrat,,
398,5,Nay,"Rep. Victoria Spartz [R, 2021-2024]",Republican,,
399,1,Nay,"Rep. Tracey Mann [R, 2021-2024]",Republican,,
400,2,Nay,"Rep. Jacob “Jake” LaTurner [R, 2021-2024]",Republican,,
401,4,Yea,"Rep. Jake Auchincloss [D, 2021-2024]",Democrat,,
402,3,Nay,"Rep. Peter Meijer [R, 2021-2022]",Republican,,
403,10,Nay,"Rep. Lisa McClain [R, 2021-2022]",Republican,,
404,7,Nay,"Rep. Michelle Fischbach [R, 2021-2024]",Republican,,
405,1,Yea,"Rep. Cori Bush [D, 2021-2024]",Democrat,,
406,0,Nay,"Rep. Matthew Rosendale [R, 2021-2022]",Republican,,
407,2,Yea,"Rep. Deborah Ross [D, 2021-2024]",Democrat,,
408,6,Yea,"Rep. Kathy Manning [D, 2021-2024]",Democrat,,
409,11,Nay,"Rep. Madison Cawthorn [R, 2021-2022]",Republican,,
410,2,Nay,"Rep. Yvette Herrell [R, 2021-2022]",Republican,,
411,3,Yea,"Rep. Teresa Leger Fernandez [D, 2021-2024]",Democrat,,
412,2,Yea,"Rep. Andrew Garbarino [R, 2021-2024]",Republican,,
413,11,Nay,"Rep. Nicole Malliotakis [R, 2021-2024]",Republican,,
414,15,Yea,"Rep. Ritchie Torres [D, 2021-2024]",Democrat,,
415,16,Yea,"Rep. Jamaal Bowman [D, 2021-2024]",Democrat,,
416,17,Yea,"Rep. Mondaire Jones [D, 2021-2022]",Democrat,,
417,5,Nay,"Rep. Stephanie Bice [R, 2021-2024]",Republican,,
418,2,Nay,"Rep. Cliff Bentz [R, 2021-2024]",Republican,,
419,1,Nay,"Rep. Nancy Mace [R, 2021-2024]",Republican,,
420,1,Nay,"Rep. Diana Harshbarger [R, 2021-2024]",Republican,,
421,4,Nay,"Rep. Patrick “Pat” Fallon [R, 2021-2024]",Republican,,
422,11,Nay,"Rep. August Pfluger [R, 2021-2024]",Republican,,
423,13,Nay,"Rep. Ronny Jackson [R, 2021-2024]",Republican,,
424,22,Nay,"Rep. Troy Nehls [R, 2021-2024]",Republican,,
425,23,Yea,"Rep. Ernest “Tony” Gonzales [R, 2021-2024]",Republican,,
426,24,Nay,"Rep. Beth Van Duyne [R, 2021-2024]",Republican,,
427,1,Nay,"Rep. Blake Moore [R, 2021-2024]",Republican,,
428,4,Nay,"Rep. Clarence “Burgess” Owens [R, 2021-2024]",Republican,,
429,5,Nay,"Rep. Robert “Bob” Good [R, 2021-2024]",Republican,,
430,10,Yea,"Rep. Marilyn Strickland [D, 2021-2024]",Democrat,,
431,5,Nay,"Rep. Scott Fitzgerald [R, 2021-2024]",Republican,,
