id,vote,name,party, 6, 9, and 13.
0,district,vote,name,party,,
1,4,Nay,"Rep. Robert Aderholt [R, 1997-2024]",Republican,,
2,2,Yea,"Rep. Sanford Bishop [D, 1993-2024]",Democrat,,
3,3,Yea,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat,,
4,8,Not Voting,"Rep. Kevin Brady [R, 1997-2022]",Republican,,
5,26,Nay,"Rep. Michael Burgess [R, 2003-2024]",Republican,,
6,42,Nay,"Rep. Ken Calvert [R, 2013-2022]",Republican,,
7,31,Nay,"Rep. John R. Carter [R, 2003-2024]",Republican,,
8,1,Yea,"Rep. Ed Case [D, 2019-2024]",Democrat,,
9,1,Nay,"Rep. Steve Chabot [R, 2011-2022]",Republican,,
10,6,Yea,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat,,
11,4,Nay,"Rep. Tom Cole [R, 2003-2024]",Republican,,
12,5,Yea,"Rep. Jim Cooper [D, 2003-2022]",Democrat,,
13,7,Yea,"Rep. Danny Davis [D, 1997-2024]",Democrat,,
14,4,Yea,"Rep. Peter DeFazio [D, 1987-2022]",Democrat,,
15,1,Yea,"Rep. Diana DeGette [D, 1997-2024]",Democrat,,
16,3,Yea,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat,,
17,25,Nay,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican,,
18,35,Yea,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat,,
19,18,Yea,"Rep. Michael Doyle [D, 2019-2022]",Democrat,,
20,18,Yea,"Rep. Anna Eshoo [D, 2013-2022]",Democrat,,
21,12,Nay,"Rep. Kay Granger [R, 1997-2024]",Republican,,
22,6,Nay,"Rep. Sam Graves [R, 2001-2024]",Republican,,
23,3,Yea,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat,,
24,20,Yea,"Rep. Alcee Hastings [D, 2013-2021]",Democrat,,
25,5,Not Voting,"Rep. Steny Hoyer [D, 1981-2024]",Democrat,,
26,50,Nay,"Rep. Darrell Issa [R, 2021-2022]",Republican,,
27,18,Yea,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat,,
28,30,Yea,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat,,
29,9,Yea,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat,,
30,3,Yea,"Rep. Ron Kind [D, 1997-2022]",Democrat,,
31,2,Yea,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat,,
32,2,Yea,"Rep. Rick Larsen [D, 2001-2024]",Democrat,,
33,1,Yea,"Rep. John Larson [D, 1999-2024]",Democrat,,
34,13,Yea,"Rep. Barbara Lee [D, 2013-2022]",Democrat,,
35,19,Yea,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat,,
36,3,Nay,"Rep. Frank Lucas [R, 2003-2024]",Republican,,
37,8,Yea,"Rep. Stephen Lynch [D, 2013-2024]",Democrat,,
38,12,Yea,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat,,
39,4,Yea,"Rep. Betty McCollum [D, 2001-2024]",Democrat,,
40,2,Yea,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat,,
41,5,Yea,"Rep. Gregory Meeks [D, 2013-2024]",Democrat,,
42,10,Yea,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat,,
43,32,Yea,"Rep. Grace Napolitano [D, 2013-2022]",Democrat,,
44,1,Yea,"Rep. Richard Neal [D, 2013-2024]",Democrat,,
45,22,Nay,"Rep. Devin Nunes [R, 2013-2021]",Republican,,
46,6,Yea,"Rep. Frank Pallone [D, 1993-2024]",Democrat,,
47,9,Yea,"Rep. Bill Pascrell [D, 2013-2024]",Democrat,,
48,4,Yea,"Rep. David Price [D, 1997-2022]",Democrat,,
49,5,Nay,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican,,
50,3,Nay,"Rep. Mike Rogers [R, 2003-2024]",Republican,,
51,40,Yea,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat,,
52,2,Yea,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat,,
53,1,Yea,"Rep. Bobby Rush [D, 1993-2022]",Democrat,,
54,13,Yea,"Rep. Tim Ryan [D, 2013-2022]",Democrat,,
55,38,Yea,"Rep. Linda Sánchez [D, 2013-2024]",Democrat,,
56,9,Yea,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat,,
57,28,Yea,"Rep. Adam Schiff [D, 2013-2022]",Democrat,,
58,13,Yea,"Rep. David Scott [D, 2003-2024]",Democrat,,
59,3,Yea,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat,,
60,17,Nay,"Rep. Pete Sessions [R, 2021-2024]",Republican,,
61,30,Yea,"Rep. Brad Sherman [D, 2013-2022]",Democrat,,
62,2,Nay,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican,,
63,9,Yea,"Rep. Adam Smith [D, 1997-2024]",Democrat,,
64,4,Yea,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican,,
65,2,Yea,"Rep. Bennie Thompson [D, 1993-2024]",Democrat,,
66,5,Yea,"Rep. Mike Thompson [D, 2013-2022]",Democrat,,
67,10,Nay,"Rep. Michael Turner [R, 2013-2024]",Republican,,
68,6,Yea,"Rep. Fred Upton [R, 1993-2022]",Republican,,
69,7,Yea,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat,,
70,43,Yea,"Rep. Maxine Waters [D, 2013-2024]",Democrat,,
71,2,Nay,"Rep. Joe Wilson [R, 2001-2024]",Republican,,
72,0,Nay,"Rep. Don Young [R, 1973-2022]",Republican,,
73,1,Yea,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,,
74,16,Yea,"Rep. Jim Costa [D, 2013-2022]",Democrat,,
75,23,Yea,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,,
76,5,Yea,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,,
77,1,Nay,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican,,
78,26,Yea,"Rep. Brian Higgins [D, 2013-2024]",Democrat,,
79,5,Nay,"Rep. Virginia Foxx [R, 2005-2024]",Republican,,
80,10,Nay,"Rep. Patrick McHenry [R, 2005-2024]",Republican,,
81,1,Nay,"Rep. Louie Gohmert [R, 2005-2022]",Republican,,
82,9,Yea,"Rep. Al Green [D, 2005-2024]",Democrat,,
83,10,Yea,"Rep. Michael McCaul [R, 2005-2024]",Republican,,
84,28,Yea,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,,
85,5,Nay,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,,
86,4,Yea,"Rep. Gwen Moore [D, 2005-2024]",Democrat,,
87,6,Yea,"Rep. Doris Matsui [D, 2013-2022]",Democrat,,
88,7,Yea,"Rep. Kweisi Mfume [D, 2020-2024]",Democrat,,
89,8,Yea,"Rep. Albio Sires [D, 2013-2022]",Democrat,,
90,9,Yea,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,,
91,23,Nay,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,,
92,5,Nay,"Rep. Doug Lamborn [R, 2007-2024]",Republican,,
93,7,Yea,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,,
