id,vote,name,party, transportation, educa
52,1,Aye,"Rep. Richard Neal [D, 2013-2024]",Democrat,
53,0,Aye,"Rep. Eleanor Holmes Norton [D, 1991-2024]",Democrat,
54,22,Aye,"Rep. Devin Nunes [R, 2013-2021]",Republican,
55,6,Aye,"Rep. Frank Pallone [D, 1993-2024]",Democrat,
56,9,Aye,"Rep. Bill Pascrell [D, 2013-2024]",Democrat,
57,7,Aye,"Rep. Collin Peterson [D, 1991-2020]",Democrat,
58,4,Aye,"Rep. David Price [D, 1997-2022]",Democrat,
59,5,Aye,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican,
60,3,Aye,"Rep. Mike Rogers [R, 2003-2024]",Republican,
61,40,Aye,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat,
62,2,Aye,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat,
63,1,Aye,"Rep. Bobby Rush [D, 1993-2022]",Democrat,
64,13,Not Voting,"Rep. Tim Ryan [D, 2013-2022]",Democrat,
65,38,Aye,"Rep. Linda Sánchez [D, 2013-2024]",Democrat,
66,9,Aye,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat,
67,28,Aye,"Rep. Adam Schiff [D, 2013-2022]",Democrat,
68,13,Aye,"Rep. David Scott [D, 2003-2024]",Democrat,
69,3,Aye,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat,
70,5,No,"Rep. James Sensenbrenner [R, 2003-2020]",Republican,
71,15,Aye,"Rep. José Serrano [D, 2013-2020]",Democrat,
72,30,Aye,"Rep. Brad Sherman [D, 2013-2022]",Democrat,
73,15,Aye,"Rep. John Shimkus [R, 2013-2020]",Republican,
74,2,No,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican,
75,9,Aye,"Rep. Adam Smith [D, 1997-2024]",Democrat,
76,4,Aye,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican,
77,2,Aye,"Rep. Bennie Thompson [D, 1993-2024]",Democrat,
78,5,Aye,"Rep. Mike Thompson [D, 2013-2022]",Democrat,
79,13,Aye,"Rep. Mac Thornberry [R, 1995-2020]",Republican,
80,10,Aye,"Rep. Michael Turner [R, 2013-2024]",Republican,
81,6,Aye,"Rep. Fred Upton [R, 1993-2022]",Republican,
82,7,Aye,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat,
83,1,Aye,"Rep. Peter Visclosky [D, 1985-2020]",Democrat,
84,2,Aye,"Rep. Greg Walden [R, 1999-2020]",Republican,
85,43,Aye,"Rep. Maxine Waters [D, 2013-2024]",Democrat,
86,2,No,"Rep. Joe Wilson [R, 2001-2024]",Republican,
87,0,Aye,"Rep. Don Young [R, 1973-2022]",Republican,
88,1,Aye,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,
89,16,Aye,"Rep. Jim Costa [D, 2013-2022]",Democrat,
90,23,Aye,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,
91,3,Aye,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat,
92,5,Aye,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,
93,1,Aye,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican,
94,26,Aye,"Rep. Brian Higgins [D, 2013-2024]",Democrat,
95,5,No,"Rep. Virginia Foxx [R, 2005-2024]",Republican,
96,10,Aye,"Rep. Patrick McHenry [R, 2005-2024]",Republican,
97,1,No,"Rep. Louie Gohmert [R, 2005-2022]",Republican,
98,9,Aye,"Rep. Al Green [D, 2005-2024]",Democrat,
99,10,Aye,"Rep. Michael McCaul [R, 2005-2024]",Republican,
100,11,Aye,"Rep. Michael Conaway [R, 2005-2020]",Republican,
101,24,No,"Rep. Kenny Marchant [R, 2005-2020]",Republican,
102,28,Aye,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,
103,5,Aye,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,
104,4,Not Voting,"Rep. Gwen Moore [D, 2005-2024]",Democrat,
105,6,Aye,"Rep. Doris Matsui [D, 2013-2022]",Democrat,
106,8,Aye,"Rep. Albio Sires [D, 2013-2022]",Democrat,
107,9,Aye,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,
108,23,Aye,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,
109,5,No,"Rep. Doug Lamborn [R, 2007-2024]",Republican,
110,7,Aye,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,
111,2,Aye,"Rep. Joe Courtney [D, 2007-2024]",Democrat,
112,14,Aye,"Rep. Kathy Castor [D, 2013-2024]",Democrat,
113,16,Aye,"Rep. Vern Buchanan [R, 2013-2024]",Republican,
114,4,Aye,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,
115,2,Aye,"Rep. David Loebsack [D, 2007-2020]",Democrat,
116,3,Aye,"Rep. John Yarmuth [D, 2007-2022]",Democrat,
117,3,Aye,"Rep. John Sarbanes [D, 2007-2024]",Democrat,
118,7,Aye,"Rep. Tim Walberg [R, 2011-2022]",Republican,
119,3,Aye,"Rep. Adrian Smith [R, 2007-2024]",Republican,
120,9,Aye,"Rep. Yvette Clarke [D, 2013-2024]",Democrat,
121,4,No,"Rep. Jim Jordan [R, 2007-2024]",Republican,
122,9,Aye,"Rep. Steve Cohen [D, 2007-2024]",Democrat,
123,0,Aye,"Rep. Peter Welch [D, 2007-2022]",Democrat,
124,12,Aye,"Rep. Gus Bilirakis [R, 2013-2024]",Republican,
125,1,Aye,"Rep. Robert Wittman [R, 2007-2024]",Republican,
126,5,Aye,"Rep. Robert Latta [R, 2007-2024]",Republican,
127,11,Aye,"Rep. Bill Foster [D, 2013-2024]",Democrat,
128,7,Aye,"Rep. André Carson [D, 2008-2024]",Democrat,
129,14,Aye,"Rep. Jackie Speier [D, 2013-2022]",Democrat,
130,1,Aye,"Rep. Steve Scalise [R, 2008-2024]",Republican,
131,11,Aye,"Rep. Gerald Connolly [D, 2009-2024]",Democrat,
132,2,Aye,"Rep. Brett Guthrie [R, 2009-2024]",Republican,
133,4,Aye,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat,
134,50,No,"Rep. Duncan D. Hunter [R, 2013-2020]",Republican,
135,2,Aye,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat,
136,3,Aye,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican,
137,3,Aye,"Rep. Ben Ray Luján [D, 2009-2020]",Democrat,
138,4,Aye,"Rep. Tom McClintock [R, 2009-2022]",Republican,
139,22,Aye,"Rep. Pete Olson [R, 2009-2020]",Republican,
140,1,Aye,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,
141,8,No,"Rep. Bill Posey [R, 2013-2024]",Republican,
142,1,Aye,"Rep. David “Phil” Roe [R, 2009-2020]",Republican,
143,0,Aye,"Rep. Gregorio Sablan [D, 2009-2024]",Democrat,
144,5,Aye,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,
145,15,Aye,"Rep. Glenn Thompson [R, 2019-2024]",Republican,
146,1,Aye,"Rep. Dina Titus [D, 2013-2024]",Democrat,
147,20,Aye,"Rep. Paul Tonko [D, 2013-2024]",Democrat,
148,11,Aye,"Rep. Marcia Fudge [D, 2008-2021]",Democrat,
149,5,Aye,"Rep. Mike Quigley [D, 2009-2024]",Democrat,
150,27,Aye,"Rep. Judy Chu [D, 2013-2022]",Democrat,
151,3,Aye,"Rep. John Garamendi [D, 2013-2022]",Democrat,
152,22,Aye,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,
153,14,Aye,"Rep. Tom Graves [R, 2013-2020]",Republican,
154,23,Aye,"Rep. Tom Reed [R, 2013-2022]",Republican,
155,2,Aye,"Rep. Martha Roby [R, 2011-2020]",Republican,
156,5,Aye,"Rep. Mo Brooks [R, 2011-2022]",Republican,
157,7,Aye,"Rep. Terri Sewell [D, 2011-2024]",Democrat,
158,4,No,"Rep. Paul Gosar [R, 2013-2022]",Republican,
159,6,Aye,"Rep. David Schweikert [R, 2013-2022]",Republican,
160,1,Aye,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican,
161,3,Aye,"Rep. Steve Womack [R, 2011-2024]",Republican,
162,37,Aye,"Rep. Karen Bass [D, 2013-2022]",Democrat,
163,3,Aye,"Rep. Scott Tipton [R, 2011-2020]",Republican,
164,11,No,"Rep. Daniel Webster [R, 2017-2024]",Republican,
165,24,Aye,"Rep. Frederica Wilson [D, 2013-2024]",Democrat,
166,7,Aye,"Rep. Rob Woodall [R, 2011-2020]",Republican,
167,8,No,"Rep. Austin Scott [R, 2011-2024]",Republican,
168,16,Aye,"Rep. Adam Kinzinger [R, 2013-2022]",Republican,
169,8,Aye,"Rep. Larry Bucshon [R, 2011-2024]",Republican,
170,2,Aye,"Rep. Cedric Richmond [D, 2011-2021]",Democrat,
171,1,No,"Rep. Andy Harris [R, 2011-2024]",Republican,
172,9,Aye,"Rep. William R. Keating [D, 2013-2024]",Democrat,
173,2,Aye,"Rep. Bill Huizenga [R, 2011-2022]",Republican,
174,3,No,"Rep. Justin Amash [L, 2011-2020]",Republican,
175,4,Aye,"Rep. Steven Palazzo [R, 2011-2022]",Republican,
176,4,Aye,"Rep. Vicky Hartzler [R, 2011-2022]",Republican,
177,7,Aye,"Rep. Billy Long [R, 2011-2022]",Republican,
178,6,Aye,"Rep. Bill Johnson [R, 2011-2024]",Republican,
179,15,Aye,"Rep. Steve Stivers [R, 2011-2021]",Republican,
180,7,Aye,"Rep. Bob Gibbs [R, 2013-2022]",Republican,
181,16,Aye,"Rep. Mike Kelly [R, 2019-2024]",Republican,
182,1,Aye,"Rep. David Cicilline [D, 2011-2023]",Democrat,
183,3,No,"Rep. Jeff Duncan [R, 2011-2024]",Republican,
184,3,Aye,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican,
185,4,Aye,"Rep. Scott DesJarlais [R, 2011-2024]",Republican,
186,17,Aye,"Rep. Bill Flores [R, 2011-2020]",Republican,
187,9,No,"Rep. Morgan Griffith [R, 2011-2024]",Republican,
188,3,Aye,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican,
189,1,Aye,"Rep. David McKinley [R, 2011-2022]",Republican,
190,7,Aye,"Rep. Sean Duffy [R, 2011-2019]",Republican,
191,2,Aye,"Rep. Mark Amodei [R, 2011-2024]",Republican,
192,1,Aye,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat,
193,4,No,"Rep. Thomas Massie [R, 2012-2024]",Republican,
194,1,Aye,"Rep. Suzan DelBene [D, 2012-2024]",Democrat,
195,10,No,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat,
196,1,Aye,"Rep. Doug LaMalfa [R, 2013-2024]",Republican,
197,2,Aye,"Rep. Jared Huffman [D, 2013-2024]",Democrat,
198,7,Aye,"Rep. Ami Bera [D, 2013-2022]",Democrat,
199,8,Aye,"Rep. Paul Cook [R, 2013-2020]",Republican,
200,15,Not Voting,"Rep. Eric Swalwell [D, 2013-2022]",Democrat,
201,26,Aye,"Rep. Julia Brownley [D, 2013-2024]",Democrat,
202,29,Aye,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat,
203,36,Aye,"Rep. Raul Ruiz [D, 2013-2022]",Democrat,
204,41,Aye,"Rep. Mark Takano [D, 2013-2022]",Democrat,
205,47,Aye,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat,
206,51,Aye,"Rep. Juan Vargas [D, 2013-2022]",Democrat,
207,52,Aye,"Rep. Scott Peters [D, 2013-2022]",Democrat,
208,3,No,"Rep. Ted Yoho [R, 2013-2020]",Republican,
209,21,Aye,"Rep. Lois Frankel [D, 2017-2022]",Democrat,
210,9,Aye,"Rep. Doug Collins [R, 2013-2020]",Republican,
211,2,Not Voting,"Rep. Tulsi Gabbard [D, 2013-2020]",Democrat,
212,10,Aye,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat,
213,13,Aye,"Rep. Rodney Davis [R, 2013-2022]",Republican,
214,17,Aye,"Rep. Cheri Bustos [D, 2013-2022]",Democrat,
215,2,Not Voting,"Rep. Jackie Walorski [R, 2013-2022]",Republican,
216,5,Aye,"Rep. Susan Brooks [R, 2013-2020]",Republican,
217,6,Aye,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican,
218,4,Aye,"Rep. Joseph P. Kennedy [D, 2013-2020]",Democrat,
219,5,Aye,"Rep. Daniel Kildee [D, 2013-2022]",Democrat,
220,2,Aye,"Rep. Ann Wagner [R, 2013-2024]",Republican,
221,8,Aye,"Rep. Richard Hudson [R, 2013-2022]",Republican,
222,11,Aye,"Rep. Mark Meadows [R, 2013-2020]",Republican,
223,2,Aye,"Rep. George Holding [R, 2017-2020]",Republican,
224,2,Aye,"Rep. Ann Kuster [D, 2013-2024]",Democrat,
225,4,Aye,"Rep. Steven Horsford [D, 2019-2024]",Democrat,
226,6,Aye,"Rep. Grace Meng [D, 2013-2024]",Democrat,
227,8,Aye,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat,
228,18,Aye,"Rep. Sean Maloney [D, 2013-2022]",Democrat,
229,27,Not Voting,"Rep. Chris Collins [R, 2013-2019]",Republican,
230,2,Aye,"Rep. Brad Wenstrup [R, 2013-2024]",Republican,
231,3,Aye,"Rep. Joyce Beatty [D, 2013-2024]",Democrat,
232,14,Aye,"Rep. David Joyce [R, 2013-2024]",Republican,
233,2,Not Voting,"Rep. Markwayne Mullin [R, 2013-2022]",Republican,
234,10,Aye,"Rep. Scott Perry [R, 2019-2024]",Republican,
235,8,Aye,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat,
236,7,No,"Rep. Tom Rice [R, 2013-2022]",Republican,
237,14,No,"Rep. Randy Weber [R, 2013-2024]",Republican,
238,20,Not Voting,"Rep. Joaquin Castro [D, 2013-2024]",Democrat,
239,25,Aye,"Rep. Roger Williams [R, 2013-2024]",Republican,
240,33,Aye,"Rep. Marc Veasey [D, 2013-2024]",Democrat,
241,34,Aye,"Rep. Filemon Vela [D, 2013-2022]",Democrat,
242,2,Aye,"Rep. Chris Stewart [R, 2013-2023]",Republican,
243,6,Aye,"Rep. Derek Kilmer [D, 2013-2024]",Democrat,
244,10,Aye,"Rep. Denny Heck [D, 2013-2020]",Democrat,
245,2,Aye,"Rep. Mark Pocan [D, 2013-2024]",Democrat,
246,2,Aye,"Rep. Robin Kelly [D, 2013-2024]",Democrat,
247,8,No,"Rep. Jason Smith [R, 2013-2024]",Republican,
248,5,Aye,"Rep. Katherine Clark [D, 2013-2024]",Democrat,
249,1,No,"Rep. Bradley Byrne [R, 2014-2020]",Republican,
250,1,Aye,"Rep. Donald Norcross [D, 2014-2024]",Democrat,
251,12,Aye,"Rep. Alma Adams [D, 2014-2024]",Democrat,
252,6,Aye,"Rep. Gary Palmer [R, 2015-2024]",Republican,
253,2,Aye,"Rep. French Hill [R, 2015-2024]",Republican,
254,4,Aye,"Rep. Bruce Westerman [R, 2015-2024]",Republican,
255,7,Aye,"Rep. Ruben Gallego [D, 2015-2022]",Democrat,
256,11,Aye,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat,
257,31,Aye,"Rep. Pete Aguilar [D, 2015-2022]",Democrat,
258,33,Aye,"Rep. Ted Lieu [D, 2015-2022]",Democrat,
259,35,Aye,"Rep. Norma Torres [D, 2015-2024]",Democrat,
260,4,No,"Rep. Ken Buck [R, 2015-2024]",Republican,
261,1,Aye,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican,
262,10,No,"Rep. Jody Hice [R, 2015-2022]",Republican,
263,11,No,"Rep. Barry Loudermilk [R, 2015-2024]",Republican,
264,12,No,"Rep. Rick Allen [R, 2015-2024]",Republican,
265,12,Aye,"Rep. Mike Bost [R, 2015-2024]",Republican,
266,5,Not Voting,"Rep. Ralph Abraham [R, 2015-2020]",Republican,
267,6,Aye,"Rep. Garret Graves [R, 2015-2024]",Republican,
268,6,Not Voting,"Rep. Seth Moulton [D, 2015-2024]",Democrat,
269,4,Aye,"Rep. John Moolenaar [R, 2015-2022]",Republican,
270,12,Aye,"Rep. Debbie Dingell [D, 2015-2022]",Democrat,
271,14,Aye,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat,
272,6,Aye,"Rep. Tom Emmer [R, 2015-2024]",Republican,
273,7,Aye,"Rep. David Rouzer [R, 2015-2024]",Republican,
274,12,Aye,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat,
275,1,Aye,"Rep. Lee Zeldin [R, 2015-2022]",Republican,
276,4,Aye,"Rep. Kathleen Rice [D, 2015-2022]",Democrat,
277,21,Aye,"Rep. Elise Stefanik [R, 2015-2024]",Republican,
278,24,Aye,"Rep. John Katko [R, 2015-2022]",Republican,
279,2,Aye,"Rep. Brendan Boyle [D, 2019-2024]",Democrat,
280,4,No,"Rep. John Ratcliffe [R, 2015-2020]",Republican,
281,23,Aye,"Rep. Will Hurd [R, 2015-2020]",Republican,
282,36,No,"Rep. Brian Babin [R, 2015-2024]",Republican,
283,8,Aye,"Rep. Donald Beyer [D, 2015-2024]",Democrat,
284,0,Aye,"Rep. Stacey Plaskett [D, 2015-2024]",Democrat,
285,4,Aye,"Rep. Dan Newhouse [R, 2015-2024]",Republican,
286,6,No,"Rep. Glenn Grothman [R, 2015-2024]",Republican,
287,2,Aye,"Rep. Alexander Mooney [R, 2015-2024]",Republican,
288,0,Aye,"Rep. Aumua Amata Radewagen [R, 2015-2024]",Republican,
289,6,No,"Rep. Mark Walker [R, 2015-2020]",Republican,
290,1,No,"Rep. Trent Kelly [R, 2015-2024]",Republican,
291,18,Aye,"Rep. Darin LaHood [R, 2015-2022]",Republican,
292,8,No,"Rep. Warren Davidson [R, 2016-2024]",Republican,
293,1,Aye,"Rep. James Comer [R, 2016-2024]",Republican,
294,3,Aye,"Rep. Dwight Evans [D, 2019-2024]",Democrat,
295,1,Aye,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat,
296,5,No,"Rep. Andy Biggs [R, 2017-2024]",Republican,
297,17,Aye,"Rep. Ro Khanna [D, 2017-2024]",Democrat,
298,20,Aye,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat,
299,24,Aye,"Rep. Salud Carbajal [D, 2017-2024]",Democrat,
300,44,Aye,"Rep. Nanette Barragán [D, 2017-2024]",Democrat,
301,46,Aye,"Rep. Luis Correa [D, 2017-2024]",Democrat,
302,0,Aye,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat,
303,1,Aye,"Rep. Matt Gaetz [R, 2017-2024]",Republican,
304,2,No,"Rep. Neal Dunn [R, 2017-2024]",Republican,
305,4,Aye,"Rep. John Rutherford [R, 2017-2022]",Republican,
306,5,Aye,"Rep. Al Lawson [D, 2017-2022]",Democrat,
307,7,Aye,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat,
308,9,Aye,"Rep. Darren Soto [D, 2017-2024]",Democrat,
309,10,Aye,"Rep. Val Demings [D, 2017-2022]",Democrat,
310,13,Aye,"Rep. Charlie Crist [D, 2017-2022]",Democrat,
311,18,Aye,"Rep. Brian Mast [R, 2017-2022]",Republican,
312,19,Not Voting,"Rep. Francis Rooney [R, 2017-2020]",Republican,
313,3,Aye,"Rep. Drew Ferguson [R, 2017-2024]",Republican,
314,8,Aye,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat,
315,3,Aye,"Rep. Jim Banks [R, 2017-2024]",Republican,
316,9,No,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican,
317,1,Aye,"Rep. Roger Marshall [R, 2017-2020]",Republican,
318,3,Aye,"Rep. Clay Higgins [R, 2017-2024]",Republican,
319,4,Aye,"Rep. Mike Johnson [R, 2017-2024]",Republican,
320,4,Aye,"Rep. Anthony Brown [D, 2017-2022]",Democrat,
321,8,Aye,"Rep. Jamie Raskin [D, 2017-2024]",Democrat,
322,1,Aye,"Rep. Jack Bergman [R, 2017-2024]",Republican,
323,10,Aye,"Rep. Paul Mitchell [I, 2017-2020]",Republican,
324,13,No,"Rep. Ted Budd [R, 2017-2022]",Republican,
325,2,Aye,"Rep. Don Bacon [R, 2017-2024]",Republican,
326,5,Aye,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat,
327,3,Aye,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat,
328,13,Aye,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat,
329,1,Aye,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican,
330,11,Aye,"Rep. Lloyd Smucker [R, 2019-2024]",Republican,
331,0,Aye,"Commish. Jenniffer González-Colón [R, 2017-2024]",Republican,
332,8,Aye,"Rep. David Kustoff [R, 2017-2024]",Republican,
333,15,Aye,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat,
334,19,No,"Rep. Jodey Arrington [R, 2017-2024]",Republican,
335,4,Aye,"Rep. Donald McEachin [D, 2017-2022]",Democrat,
336,7,Aye,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat,
337,8,Aye,"Rep. Mike Gallagher [R, 2017-2024]",Republican,
338,0,Aye,"Rep. Liz Cheney [R, 2017-2022]",Republican,
339,4,Aye,"Rep. Ron Estes [R, 2017-2024]",Republican,
340,0,Aye,"Rep. Greg Gianforte [R, 2017-2020]",Republican,
341,5,No,"Rep. Ralph Norman [R, 2017-2024]",Republican,
342,34,Aye,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat,
343,3,Aye,"Rep. John Curtis [R, 2017-2024]",Republican,
344,17,Aye,"Rep. Conor Lamb [D, 2019-2022]",Democrat,
345,8,Aye,"Rep. Debbie Lesko [R, 2018-2024]",Republican,
346,27,Aye,"Rep. Michael Cloud [R, 2018-2024]",Republican,
347,12,Aye,"Rep. Troy Balderson [R, 2018-2024]",Republican,
348,1,Aye,"Rep. Kevin Hern [R, 2018-2024]",Republican,
349,25,Aye,"Rep. Joseph Morelle [D, 2018-2024]",Democrat,
350,5,Aye,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat,
351,7,Aye,"Rep. Susan Wild [D, 2019-2024]",Democrat,
352,9,Aye,"Rep. Greg Stanton [D, 2019-2022]",Democrat,
353,10,Aye,"Rep. Josh Harder [D, 2019-2022]",Democrat,
354,21,Aye,"Rep. TJ Cox [D, 2019-2020]",Democrat,
355,25,Aye,"Rep. Katie Hill [D, 2019-2019]",Democrat,
356,39,Aye,"Rep. Gilbert Cisneros [D, 2019-2020]",Democrat,
357,45,Aye,"Rep. Katie Porter [D, 2019-2022]",Democrat,
358,48,Aye,"Rep. Harley Rouda [D, 2019-2020]",Democrat,
359,49,Aye,"Rep. Mike Levin [D, 2019-2024]",Democrat,
360,2,Aye,"Rep. Joe Neguse [D, 2019-2024]",Democrat,
361,6,Aye,"Rep. Jason Crow [D, 2019-2024]",Democrat,
362,5,Aye,"Rep. Jahana Hayes [D, 2019-2024]",Democrat,
363,6,Aye,"Rep. Michael Waltz [R, 2019-2024]",Republican,
364,15,Aye,"Rep. Ross Spano [R, 2019-2020]",Republican,
365,17,Aye,"Rep. Gregory Steube [R, 2019-2024]",Republican,
366,26,Aye,"Rep. Debbie Mucarsel-Powell [D, 2019-2020]",Democrat,
367,27,Aye,"Rep. Donna Shalala [D, 2019-2020]",Democrat,
368,6,Aye,"Rep. Lucy McBath [D, 2019-2022]",Democrat,
369,0,Aye,"Rep. Michael San Nicolas [D, 2019-2022]",Democrat,
370,1,Aye,"Rep. Abby Finkenauer [D, 2019-2020]",Democrat,
371,3,Aye,"Rep. Cynthia Axne [D, 2019-2022]",Democrat,
372,1,No,"Rep. Russ Fulcher [R, 2019-2024]",Republican,
373,4,Aye,"Rep. Jesús “Chuy” García [D, 2019-2024]",Democrat,
374,6,Aye,"Rep. Sean Casten [D, 2019-2024]",Democrat,
375,14,Aye,"Rep. Lauren Underwood [D, 2019-2024]",Democrat,
376,4,Aye,"Rep. James Baird [R, 2019-2024]",Republican,
