id,vote,name,party
person,vote,name,party
400004,Not Voting,"Rep. Robert Aderholt [R, 1997-2024]",Republican
400029,Not Voting,"Rep. Rob Bishop [R, 2003-2020]",Republican
400030,Nay,"Rep. Sanford Bishop [D, 1993-2024]",Democrat
400033,Nay,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat
400046,Not Voting,"Rep. Kevin Brady [R, 1997-2022]",Republican
400052,Not Voting,"Rep. Michael Burgess [R, 2003-2024]",Republican
400057,Not Voting,"Rep. Ken Calvert [R, 2013-2022]",Republican
400068,Not Voting,"Rep. John R. Carter [R, 2003-2024]",Republican
400069,Nay,"Rep. Ed Case [D, 2019-2024]",Democrat
400071,Not Voting,"Rep. Steve Chabot [R, 2011-2022]",Republican
400074,Nay,"Rep. Lacy Clay [D, 2001-2020]",Democrat
400075,Nay,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat
400077,Not Voting,"Rep. Tom Cole [R, 2003-2024]",Republican
400081,Nay,"Rep. Jim Cooper [D, 2003-2022]",Democrat
400093,Nay,"Rep. Danny Davis [D, 1997-2024]",Democrat
400097,Nay,"Rep. Susan Davis [D, 2003-2020]",Democrat
400100,Not Voting,"Rep. Peter DeFazio [D, 1987-2022]",Democrat
400101,Nay,"Rep. Diana DeGette [D, 1997-2024]",Democrat
400103,Nay,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat
400108,Not Voting,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican
400111,Nay,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat
400114,Nay,"Rep. Michael Doyle [D, 2019-2022]",Democrat
400122,Nay,"Rep. Eliot Engel [D, 2013-2020]",Democrat
400124,Nay,"Rep. Anna Eshoo [D, 2013-2022]",Democrat
400157,Not Voting,"Rep. Kay Granger [R, 1997-2024]",Republican
400158,Yea,"Rep. Sam Graves [R, 2001-2024]",Republican
400162,Nay,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat
400170,Nay,"Rep. Alcee Hastings [D, 2013-2021]",Democrat
400189,Nay,"Rep. Steny Hoyer [D, 1981-2024]",Democrat
400199,Nay,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat
400204,Nay,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat
400211,Nay,"Rep. Marcy Kaptur [D, 1983-2024]",Democrat
400218,Nay,"Rep. Ron Kind [D, 1997-2022]",Democrat
400219,Not Voting,"Rep. Peter “Pete” King [R, 2013-2020]",Republican
400220,Not Voting,"Rep. Steve King [R, 2013-2020]",Republican
400230,Nay,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat
400232,Nay,"Rep. Rick Larsen [D, 2001-2024]",Democrat
400233,Nay,"Rep. John Larson [D, 1999-2024]",Democrat
400237,Not Voting,"Rep. Barbara Lee [D, 2013-2022]",Democrat
400245,Nay,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat
400246,Nay,"Rep. Nita Lowey [D, 2013-2020]",Democrat
400247,Not Voting,"Rep. Frank Lucas [R, 2003-2024]",Republican
400249,Nay,"Rep. Stephen Lynch [D, 2013-2024]",Democrat
400251,Nay,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat
400259,Nay,"Rep. Betty McCollum [D, 2001-2024]",Democrat
400263,Nay,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat
400271,Nay,"Rep. Gregory Meeks [D, 2013-2024]",Democrat
400289,Nay,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat
400290,Nay,"Rep. Grace Napolitano [D, 2013-2022]",Democrat
400291,Nay,"Rep. Richard Neal [D, 2013-2024]",Democrat
400297,Not Voting,"Rep. Devin Nunes [R, 2013-2021]",Republican
400308,Nay,"Rep. Frank Pallone [D, 1993-2024]",Democrat
400309,Nay,"Rep. Bill Pascrell [D, 2013-2024]",Democrat
400316,Nay,"Rep. Collin Peterson [D, 1991-2020]",Democrat
400326,Nay,"Rep. David Price [D, 1997-2022]",Democrat
400340,Yea,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican
400341,Not Voting,"Rep. Mike Rogers [R, 2003-2024]",Republican
400347,Nay,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat
400349,Nay,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat
400350,Nay,"Rep. Bobby Rush [D, 1993-2022]",Democrat
400352,Nay,"Rep. Tim Ryan [D, 2013-2022]",Democrat
400355,Nay,"Rep. Linda Sánchez [D, 2013-2024]",Democrat
400360,Nay,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat
400361,Nay,"Rep. Adam Schiff [D, 2013-2022]",Democrat
400363,Not Voting,"Rep. David Scott [D, 2003-2024]",Democrat
400364,Nay,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat
400365,Not Voting,"Rep. James Sensenbrenner [R, 2003-2020]",Republican
400366,Nay,"Rep. José Serrano [D, 2013-2020]",Democrat
400371,Nay,"Rep. Brad Sherman [D, 2013-2022]",Democrat
400373,Not Voting,"Rep. John Shimkus [R, 2013-2020]",Republican
400376,Not Voting,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican
400379,Not Voting,"Rep. Adam Smith [D, 1997-2024]",Democrat
400380,Not Voting,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican
400402,Nay,"Rep. Bennie Thompson [D, 1993-2024]",Democrat
400403,Nay,"Rep. Mike Thompson [D, 2013-2022]",Democrat
400404,Not Voting,"Rep. Mac Thornberry [R, 1995-2020]",Republican
400411,Not Voting,"Rep. Michael Turner [R, 2013-2024]",Republican
400414,Not Voting,"Rep. Fred Upton [R, 1993-2022]",Republican
400416,Nay,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat
400417,Not Voting,"Rep. Peter Visclosky [D, 1985-2020]",Democrat
400419,Not Voting,"Rep. Greg Walden [R, 1999-2020]",Republican
400422,Nay,"Rep. Maxine Waters [D, 2013-2024]",Democrat
400433,Not Voting,"Rep. Joe Wilson [R, 2001-2024]",Republican
400440,Not Voting,"Rep. Don Young [R, 1973-2022]",Republican
400616,Nay,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat
400618,Nay,"Rep. Jim Costa [D, 2013-2022]",Democrat
400623,Nay,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat
400630,Not Voting,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat
400639,Nay,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat
400640,Not Voting,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican
