id,vote,name,party, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29
137,22,Nay,"Rep. Pete Olson [R, 2009-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
138,1,Yea,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
139,8,Nay,"Rep. Bill Posey [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
140,1,Nay,"Rep. David “Phil” Roe [R, 2009-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
141,5,Not Voting,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
142,15,Nay,"Rep. Glenn Thompson [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
143,1,Yea,"Rep. Dina Titus [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
144,20,Yea,"Rep. Paul Tonko [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
145,11,Yea,"Rep. Marcia Fudge [D, 2008-2021]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
146,5,Yea,"Rep. Mike Quigley [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
147,27,Yea,"Rep. Judy Chu [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
148,3,Yea,"Rep. John Garamendi [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
149,22,Yea,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
150,14,Nay,"Rep. Tom Graves [R, 2013-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
151,23,Not Voting,"Rep. Tom Reed [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
152,2,Not Voting,"Rep. Martha Roby [R, 2011-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
153,5,Nay,"Rep. Mo Brooks [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
154,7,Yea,"Rep. Terri Sewell [D, 2011-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
155,4,Nay,"Rep. Paul Gosar [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
156,6,Nay,"Rep. David Schweikert [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
157,1,Nay,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
158,3,Nay,"Rep. Steve Womack [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
159,37,Yea,"Rep. Karen Bass [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
160,3,Nay,"Rep. Scott Tipton [R, 2011-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
161,11,Nay,"Rep. Daniel Webster [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
162,24,Yea,"Rep. Frederica Wilson [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
163,7,Nay,"Rep. Rob Woodall [R, 2011-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
164,8,Nay,"Rep. Austin Scott [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
165,16,Nay,"Rep. Adam Kinzinger [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
166,8,Nay,"Rep. Larry Bucshon [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
167,2,Yea,"Rep. Cedric Richmond [D, 2011-2021]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
168,1,Nay,"Rep. Andy Harris [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
169,9,Yea,"Rep. William R. Keating [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
170,2,Nay,"Rep. Bill Huizenga [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
171,3,Nay,"Rep. Justin Amash [L, 2011-2020]",Libertarian,,,,,,,,,,,,,,,,,,,,,,,
172,4,Nay,"Rep. Steven Palazzo [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
173,4,Nay,"Rep. Vicky Hartzler [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
174,7,Nay,"Rep. Billy Long [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
175,6,Nay,"Rep. Bill Johnson [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
176,15,Nay,"Rep. Steve Stivers [R, 2011-2021]",Republican,,,,,,,,,,,,,,,,,,,,,,,
177,7,Nay,"Rep. Bob Gibbs [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
178,16,Nay,"Rep. Mike Kelly [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
179,1,Yea,"Rep. David Cicilline [D, 2011-2023]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
180,3,Nay,"Rep. Jeff Duncan [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
181,3,Nay,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
182,4,Nay,"Rep. Scott DesJarlais [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
183,17,Nay,"Rep. Bill Flores [R, 2011-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
184,9,Nay,"Rep. Morgan Griffith [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
185,3,Nay,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
186,1,Nay,"Rep. David McKinley [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
