id,vote,name,party, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, and 28.
63,13,Aye,"Rep. Tim Ryan [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
64,38,Aye,"Rep. Linda Sánchez [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
65,9,Aye,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat,,,,,,,,,,,,,,
66,28,Aye,"Rep. Adam Schiff [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
67,13,Aye,"Rep. David Scott [D, 2003-2024]",Democrat,,,,,,,,,,,,,,
68,3,Aye,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat,,,,,,,,,,,,,,
69,5,No,"Rep. James Sensenbrenner [R, 2003-2020]",Republican,,,,,,,,,,,,,,
70,15,Not Voting,"Rep. José Serrano [D, 2013-2020]",Democrat,,,,,,,,,,,,,,
71,30,Aye,"Rep. Brad Sherman [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
72,15,No,"Rep. John Shimkus [R, 2013-2020]",Republican,,,,,,,,,,,,,,
73,2,No,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican,,,,,,,,,,,,,,
74,9,Aye,"Rep. Adam Smith [D, 1997-2024]",Democrat,,,,,,,,,,,,,,
75,4,Aye,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican,,,,,,,,,,,,,,
76,2,Aye,"Rep. Bennie Thompson [D, 1993-2024]",Democrat,,,,,,,,,,,,,,
77,5,Aye,"Rep. Mike Thompson [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
78,13,No,"Rep. Mac Thornberry [R, 1995-2020]",Republican,,,,,,,,,,,,,,
79,10,No,"Rep. Michael Turner [R, 2013-2024]",Republican,,,,,,,,,,,,,,
80,6,Aye,"Rep. Fred Upton [R, 1993-2022]",Republican,,,,,,,,,,,,,,
81,7,Aye,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
82,1,Aye,"Rep. Peter Visclosky [D, 1985-2020]",Democrat,,,,,,,,,,,,,,
83,2,No,"Rep. Greg Walden [R, 1999-2020]",Republican,,,,,,,,,,,,,,
84,43,Aye,"Rep. Maxine Waters [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
85,2,No,"Rep. Joe Wilson [R, 2001-2024]",Republican,,,,,,,,,,,,,,
86,0,Aye,"Rep. Don Young [R, 1973-2022]",Republican,,,,,,,,,,,,,,
87,1,Aye,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,,,,,,,,,,,,,,
88,16,Aye,"Rep. Jim Costa [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
