id,vote,name,party, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, and 28.
275,24,Aye,"Rep. John Katko [R, 2015-2022]",Republican,,,,,,,,,,,,,,
276,2,Aye,"Rep. Brendan Boyle [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
277,4,No,"Rep. John Ratcliffe [R, 2015-2020]",Republican,,,,,,,,,,,,,,
278,23,Aye,"Rep. Will Hurd [R, 2015-2020]",Republican,,,,,,,,,,,,,,
279,36,No,"Rep. Brian Babin [R, 2015-2024]",Republican,,,,,,,,,,,,,,
280,8,Aye,"Rep. Donald Beyer [D, 2015-2024]",Democrat,,,,,,,,,,,,,,
281,0,Aye,"Rep. Stacey Plaskett [D, 2015-2024]",Democrat,,,,,,,,,,,,,,
282,4,No,"Rep. Dan Newhouse [R, 2015-2024]",Republican,,,,,,,,,,,,,,
283,6,No,"Rep. Glenn Grothman [R, 2015-2024]",Republican,,,,,,,,,,,,,,
284,2,No,"Rep. Alexander Mooney [R, 2015-2024]",Republican,,,,,,,,,,,,,,
285,0,Not Voting,"Rep. Aumua Amata Radewagen [R, 2015-2024]",Republican,,,,,,,,,,,,,,
286,6,No,"Rep. Mark Walker [R, 2015-2020]",Republican,,,,,,,,,,,,,,
287,1,No,"Rep. Trent Kelly [R, 2015-2024]",Republican,,,,,,,,,,,,,,
288,18,No,"Rep. Darin LaHood [R, 2015-2022]",Republican,,,,,,,,,,,,,,
289,8,No,"Rep. Warren Davidson [R, 2016-2024]",Republican,,,,,,,,,,,,,,
290,1,No,"Rep. James Comer [R, 2016-2024]",Republican,,,,,,,,,,,,,,
291,3,Aye,"Rep. Dwight Evans [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
292,1,Aye,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat,,,,,,,,,,,,,,
293,5,No,"Rep. Andy Biggs [R, 2017-2024]",Republican,,,,,,,,,,,,,,
294,17,Aye,"Rep. Ro Khanna [D, 2017-2024]",Democrat,,,,,,,,,,,,,,
295,20,Aye,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat,,,,,,,,,,,,,,
296,24,Aye,"Rep. Salud Carbajal [D, 2017-2024]",Democrat,,,,,,,,,,,,,,
297,44,Aye,"Rep. Nanette Barragán [D, 2017-2024]",Democrat,,,,,,,,,,,,,,
298,46,Aye,"Rep. Luis Correa [D, 2017-2024]",Democrat,,,,,,,,,,,,,,
299,0,Aye,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat,,,,,,,,,,,,,,
300,1,No,"Rep. Matt Gaetz [R, 2017-2024]",Republican,,,,,,,,,,,,,,
301,2,No,"Rep. Neal Dunn [R, 2017-2024]",Republican,,,,,,,,,,,,,,
302,4,No,"Rep. John Rutherford [R, 2017-2022]",Republican,,,,,,,,,,,,,,
303,5,Aye,"Rep. Al Lawson [D, 2017-2022]",Democrat,,,,,,,,,,,,,,
304,7,Aye,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat,,,,,,,,,,,,,,
305,9,Aye,"Rep. Darren Soto [D, 2017-2024]",Democrat,,,,,,,,,,,,,,
306,10,Aye,"Rep. Val Demings [D, 2017-2022]",Democrat,,,,,,,,,,,,,,
307,13,Aye,"Rep. Charlie Crist [D, 2017-2022]",Democrat,,,,,,,,,,,,,,
308,18,Aye,"Rep. Brian Mast [R, 2017-2022]",Republican,,,,,,,,,,,,,,
309,19,Not Voting,"Rep. Francis Rooney [R, 2017-2020]",Republican,,,,,,,,,,,,,,
310,3,No,"Rep. Drew Ferguson [R, 2017-2024]",Republican,,,,,,,,,,,,,,
311,8,Aye,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat,,,,,,,,,,,,,,
312,3,No,"Rep. Jim Banks [R, 2017-2024]",Republican,,,,,,,,,,,,,,
313,9,No,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican,,,,,,,,,,,,,,
314,1,No,"Rep. Roger Marshall [R, 2017-2020]",Republican,,,,,,,,,,,,,,
315,3,No,"Rep. Clay Higgins [R, 2017-2024]",Republican,,,,,,,,,,,,,,
316,4,No,"Rep. Mike Johnson [R, 2017-2024]",Republican,,,,,,,,,,,,,,
317,4,Aye,"Rep. Anthony Brown [D, 2017-2022]",Democrat,,,,,,,,,,,,,,
318,8,Aye,"Rep. Jamie Raskin [D, 2017-2024]",Democrat,,,,,,,,,,,,,,
319,1,No,"Rep. Jack Bergman [R, 2017-2024]",Republican,,,,,,,,,,,,,,
320,10,Aye,"Rep. Paul Mitchell [I, 2017-2020]",Republican,,,,,,,,,,,,,,
321,13,No,"Rep. Ted Budd [R, 2017-2022]",Republican,,,,,,,,,,,,,,
322,2,No,"Rep. Don Bacon [R, 2017-2024]",Republican,,,,,,,,,,,,,,
323,5,Aye,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat,,,,,,,,,,,,,,
324,3,Aye,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat,,,,,,,,,,,,,,
325,13,Aye,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat,,,,,,,,,,,,,,
326,1,Aye,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican,,,,,,,,,,,,,,
327,11,Not Voting,"Rep. Lloyd Smucker [R, 2019-2024]",Republican,,,,,,,,,,,,,,
328,0,Aye,"Commish. Jenniffer González-Colón [R, 2017-2024]",Republican,,,,,,,,,,,,,,
329,8,No,"Rep. David Kustoff [R, 2017-2024]",Republican,,,,,,,,,,,,,,
330,15,Aye,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat,,,,,,,,,,,,,,
331,19,No,"Rep. Jodey Arrington [R, 2017-2024]",Republican,,,,,,,,,,,,,,
332,4,Aye,"Rep. Donald McEachin [D, 2017-2022]",Democrat,,,,,,,,,,,,,,
333,7,Aye,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat,,,,,,,,,,,,,,
334,8,No,"Rep. Mike Gallagher [R, 2017-2024]",Republican,,,,,,,,,,,,,,
335,0,No,"Rep. Liz Cheney [R, 2017-2022]",Republican,,,,,,,,,,,,,,
336,4,No,"Rep. Ron Estes [R, 2017-2024]",Republican,,,,,,,,,,,,,,
337,0,No,"Rep. Greg Gianforte [R, 2017-2020]",Republican,,,,,,,,,,,,,,
338,5,No,"Rep. Ralph Norman [R, 2017-2024]",Republican,,,,,,,,,,,,,,
339,34,Aye,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat,,,,,,,,,,,,,,
340,3,No,"Rep. John Curtis [R, 2017-2024]",Republican,,,,,,,,,,,,,,
341,17,Aye,"Rep. Conor Lamb [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
342,8,No,"Rep. Debbie Lesko [R, 2018-2024]",Republican,,,,,,,,,,,,,,
343,27,No,"Rep. Michael Cloud [R, 2018-2024]",Republican,,,,,,,,,,,,,,
344,12,No,"Rep. Troy Balderson [R, 2018-2024]",Republican,,,,,,,,,,,,,,
345,1,No,"Rep. Kevin Hern [R, 2018-2024]",Republican,,,,,,,,,,,,,,
346,25,Aye,"Rep. Joseph Morelle [D, 2018-2024]",Democrat,,,,,,,,,,,,,,
347,5,Aye,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
348,7,Aye,"Rep. Susan Wild [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
349,9,Aye,"Rep. Greg Stanton [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
350,10,Aye,"Rep. Josh Harder [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
351,21,Aye,"Rep. TJ Cox [D, 2019-2020]",Democrat,,,,,,,,,,,,,,
352,39,Aye,"Rep. Gilbert Cisneros [D, 2019-2020]",Democrat,,,,,,,,,,,,,,
353,45,Aye,"Rep. Katie Porter [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
354,48,Aye,"Rep. Harley Rouda [D, 2019-2020]",Democrat,,,,,,,,,,,,,,
355,49,Aye,"Rep. Mike Levin [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
356,2,Aye,"Rep. Joe Neguse [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
357,6,Aye,"Rep. Jason Crow [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
358,5,Aye,"Rep. Jahana Hayes [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
359,6,Aye,"Rep. Michael Waltz [R, 2019-2024]",Republican,,,,,,,,,,,,,,
360,15,No,"Rep. Ross Spano [R, 2019-2020]",Republican,,,,,,,,,,,,,,
361,17,No,"Rep. Gregory Steube [R, 2019-2024]",Republican,,,,,,,,,,,,,,
362,26,Aye,"Rep. Debbie Mucarsel-Powell [D, 2019-2020]",Democrat,,,,,,,,,,,,,,
363,27,Aye,"Rep. Donna Shalala [D, 2019-2020]",Democrat,,,,,,,,,,,,,,
364,6,Aye,"Rep. Lucy McBath [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
365,0,Not Voting,"Rep. Michael San Nicolas [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
366,1,Aye,"Rep. Abby Finkenauer [D, 2019-2020]",Democrat,,,,,,,,,,,,,,
367,3,Aye,"Rep. Cynthia Axne [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
368,1,No,"Rep. Russ Fulcher [R, 2019-2024]",Republican,,,,,,,,,,,,,,
369,4,Aye,"Rep. Jesús “Chuy” García [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
370,6,Aye,"Rep. Sean Casten [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
371,14,Aye,"Rep. Lauren Underwood [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
372,4,No,"Rep. James Baird [R, 2019-2024]",Republican,,,,,,,,,,,,,,
373,6,No,"Rep. Greg Pence [R, 2019-2024]",Republican,,,,,,,,,,,,,,
374,2,No,"Rep. Steven Watkins [R, 2019-2020]",Republican,,,,,,,,,,,,,,
375,3,Aye,"Rep. Sharice Davids [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
376,3,Aye,"Rep. Lori Trahan [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
377,7,Aye,"Rep. Ayanna Pressley [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
378,6,Aye,"Rep. David Trone [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
379,8,Aye,"Rep. Elissa Slotkin [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
380,9,Aye,"Rep. Andy Levin [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
381,11,Aye,"Rep. Haley Stevens [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
382,13,Aye,"Rep. Rashida Tlaib [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
383,1,No,"Rep. Jim Hagedorn [R, 2019-2022]",Republican,,,,,,,,,,,,,,
384,2,Aye,"Rep. Angie Craig [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
385,3,Aye,"Rep. Dean Phillips [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
386,5,Aye,"Rep. Ilhan Omar [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
387,8,Aye,"Rep. Pete Stauber [R, 2019-2024]",Republican,,,,,,,,,,,,,,
388,3,No,"Rep. Michael Guest [R, 2019-2024]",Republican,,,,,,,,,,,,,,
389,0,No,"Rep. Kelly Armstrong [R, 2019-2024]",Republican,,,,,,,,,,,,,,
390,1,Aye,"Rep. Chris Pappas [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
391,2,Aye,"Rep. Jefferson Van Drew [R, 2019-2024]",Democrat,,,,,,,,,,,,,,
392,3,Aye,"Rep. Andy Kim [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
393,7,Aye,"Rep. Tom Malinowski [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
394,11,Aye,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
395,1,Aye,"Rep. Debra Haaland [D, 2019-2021]",Democrat,,,,,,,,,,,,,,
396,2,Aye,"Rep. Xochitl Torres Small [D, 2019-2020]",Democrat,,,,,,,,,,,,,,
397,3,Aye,"Rep. Susie Lee [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
398,11,Aye,"Rep. Max Rose [D, 2019-2020]",Democrat,,,,,,,,,,,,,,
399,14,Aye,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
400,19,Aye,"Rep. Antonio Delgado [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
401,22,Aye,"Rep. Anthony Brindisi [D, 2019-2020]",Democrat,,,,,,,,,,,,,,
402,16,No,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican,,,,,,,,,,,,,,
403,5,Aye,"Rep. Kendra Horn [D, 2019-2020]",Democrat,,,,,,,,,,,,,,
404,4,Aye,"Rep. Madeleine Dean [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
405,6,Aye,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
406,9,Not Voting,"Rep. Daniel Meuser [R, 2019-2024]",Republican,,,,,,,,,,,,,,
407,13,Not Voting,"Rep. John Joyce [R, 2019-2024]",Republican,,,,,,,,,,,,,,
408,14,No,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican,,,,,,,,,,,,,,
409,1,Aye,"Rep. Joe Cunningham [D, 2019-2020]",Democrat,,,,,,,,,,,,,,
410,4,No,"Rep. William Timmons [R, 2019-2024]",Republican,,,,,,,,,,,,,,
411,0,No,"Rep. Dusty Johnson [R, 2019-2024]",Republican,,,,,,,,,,,,,,
412,2,No,"Rep. Tim Burchett [R, 2019-2024]",Republican,,,,,,,,,,,,,,
413,6,No,"Rep. John W. Rose [R, 2019-2024]",Republican,,,,,,,,,,,,,,
414,7,No,"Rep. Mark E. Green [R, 2019-2024]",Republican,,,,,,,,,,,,,,
415,2,No,"Rep. Dan Crenshaw [R, 2019-2024]",Republican,,,,,,,,,,,,,,
416,3,No,"Rep. Van Taylor [R, 2019-2022]",Republican,,,,,,,,,,,,,,
417,5,Not Voting,"Rep. Lance Gooden [R, 2019-2024]",Republican,,,,,,,,,,,,,,
418,6,No,"Rep. Ron Wright [R, 2019-2021]",Republican,,,,,,,,,,,,,,
419,7,Aye,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
420,16,Aye,"Rep. Veronica Escobar [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
421,21,No,"Rep. Chip Roy [R, 2019-2024]",Republican,,,,,,,,,,,,,,
422,29,Aye,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
423,32,Aye,"Rep. Colin Allred [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
424,4,No,"Rep. Ben McAdams [D, 2019-2020]",Democrat,,,,,,,,,,,,,,
425,2,Aye,"Rep. Elaine Luria [D, 2019-2022]",Democrat,,,,,,,,,,,,,,
426,5,No,"Rep. Denver Riggleman [R, 2019-2020]",Republican,,,,,,,,,,,,,,
427,6,No,"Rep. Ben Cline [R, 2019-2024]",Republican,,,,,,,,,,,,,,
428,7,Aye,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
429,10,Aye,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
430,8,Aye,"Rep. Kim Schrier [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
431,1,No,"Rep. Bryan Steil [R, 2019-2024]",Republican,,,,,,,,,,,,,,
432,3,No,"Rep. Carol Miller [R, 2019-2022]",Republican,,,,,,,,,,,,,,
433,2,Aye,"Rep. Jared Golden [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
434,12,Not Voting,"Rep. Fred Keller [R, 2019-2022]",Republican,,,,,,,,,,,,,,
435,9,No,"Rep. Dan Bishop [R, 2019-2022]",Republican,,,,,,,,,,,,,,
436,3,No,"Rep. Gregory Murphy [R, 2019-2024]",Republican,,,,,,,,,,,,,,
