id,vote,name,party, 8, 9, 10, 13, 17, 18, 21, 22, 23, 24, 27, 28, 29, 31, 33, 39, 58, 61, 64, 65, 70, 72, 78, 83,Unnamed: 29
223,2,Nay,"Rep. Brad Wenstrup [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
224,3,Yea,"Rep. Joyce Beatty [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
225,14,Nay,"Rep. David Joyce [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
226,2,Not Voting,"Rep. Markwayne Mullin [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
227,10,Nay,"Rep. Scott Perry [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
228,8,Yea,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
229,7,Nay,"Rep. Tom Rice [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
230,14,Nay,"Rep. Randy Weber [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
231,20,Yea,"Rep. Joaquin Castro [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
232,25,Nay,"Rep. Roger Williams [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
233,33,Yea,"Rep. Marc Veasey [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
234,34,Yea,"Rep. Filemon Vela [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
235,2,Nay,"Rep. Chris Stewart [R, 2013-2023]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
236,6,Yea,"Rep. Derek Kilmer [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
237,10,Yea,"Rep. Denny Heck [D, 2013-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
238,2,Yea,"Rep. Mark Pocan [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
239,2,Yea,"Rep. Robin Kelly [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
240,8,Nay,"Rep. Jason Smith [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
241,5,Yea,"Rep. Katherine Clark [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
242,1,Not Voting,"Rep. Bradley Byrne [R, 2014-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
243,1,Yea,"Rep. Donald Norcross [D, 2014-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
244,12,Yea,"Rep. Alma Adams [D, 2014-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
245,6,Nay,"Rep. Gary Palmer [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
246,2,Nay,"Rep. French Hill [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
247,4,Nay,"Rep. Bruce Westerman [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
248,7,Yea,"Rep. Ruben Gallego [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
249,11,Yea,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
250,31,Yea,"Rep. Pete Aguilar [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
251,33,Yea,"Rep. Ted Lieu [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
252,35,Yea,"Rep. Norma Torres [D, 2015-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
253,4,Nay,"Rep. Ken Buck [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
254,1,Nay,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
255,10,Nay,"Rep. Jody Hice [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
256,11,Not Voting,"Rep. Barry Loudermilk [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
257,12,Nay,"Rep. Rick Allen [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
258,12,Nay,"Rep. Mike Bost [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
259,5,Not Voting,"Rep. Ralph Abraham [R, 2015-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
260,6,Nay,"Rep. Garret Graves [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
261,6,Yea,"Rep. Seth Moulton [D, 2015-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
262,4,Nay,"Rep. John Moolenaar [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
263,12,Yea,"Rep. Debbie Dingell [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
264,14,Yea,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
265,6,Nay,"Rep. Tom Emmer [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
266,7,Nay,"Rep. David Rouzer [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
267,12,Yea,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
268,1,Nay,"Rep. Lee Zeldin [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
269,4,Yea,"Rep. Kathleen Rice [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
270,21,Nay,"Rep. Elise Stefanik [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
271,24,Yea,"Rep. John Katko [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
272,2,Yea,"Rep. Brendan Boyle [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
273,23,Nay,"Rep. Will Hurd [R, 2015-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
274,36,Nay,"Rep. Brian Babin [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
275,8,Yea,"Rep. Donald Beyer [D, 2015-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
276,4,Nay,"Rep. Dan Newhouse [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
277,6,Nay,"Rep. Glenn Grothman [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
278,2,Nay,"Rep. Alexander Mooney [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
279,6,Nay,"Rep. Mark Walker [R, 2015-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
280,1,Nay,"Rep. Trent Kelly [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
281,18,Nay,"Rep. Darin LaHood [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
282,8,Nay,"Rep. Warren Davidson [R, 2016-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
283,1,Nay,"Rep. James Comer [R, 2016-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
284,3,Yea,"Rep. Dwight Evans [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
285,1,Yea,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
286,5,Nay,"Rep. Andy Biggs [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
287,17,Yea,"Rep. Ro Khanna [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
288,20,Yea,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
289,24,Yea,"Rep. Salud Carbajal [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
290,44,Yea,"Rep. Nanette Barragán [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
291,46,Yea,"Rep. Luis Correa [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
292,0,Yea,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
293,1,Nay,"Rep. Matt Gaetz [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
294,2,Not Voting,"Rep. Neal Dunn [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
295,4,Nay,"Rep. John Rutherford [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
296,5,Yea,"Rep. Al Lawson [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
297,7,Yea,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
298,9,Yea,"Rep. Darren Soto [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
299,10,Yea,"Rep. Val Demings [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
300,13,Yea,"Rep. Charlie Crist [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
301,18,Nay,"Rep. Brian Mast [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
302,19,Not Voting,"Rep. Francis Rooney [R, 2017-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
303,3,Nay,"Rep. Drew Ferguson [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
304,8,Yea,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
305,3,Nay,"Rep. Jim Banks [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
306,9,Nay,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
307,1,Nay,"Rep. Roger Marshall [R, 2017-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
308,3,Nay,"Rep. Clay Higgins [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
309,4,Nay,"Rep. Mike Johnson [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
310,4,Yea,"Rep. Anthony Brown [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
311,8,Yea,"Rep. Jamie Raskin [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
312,1,Nay,"Rep. Jack Bergman [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
313,10,Nay,"Rep. Paul Mitchell [I, 2017-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
314,13,Nay,"Rep. Ted Budd [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
315,2,Nay,"Rep. Don Bacon [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
316,5,Yea,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
317,3,Not Voting,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
318,13,Yea,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
319,1,Yea,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
320,11,Nay,"Rep. Lloyd Smucker [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
321,8,Nay,"Rep. David Kustoff [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
322,15,Yea,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
323,19,Nay,"Rep. Jodey Arrington [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
324,4,Yea,"Rep. Donald McEachin [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
325,7,Yea,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
326,8,Nay,"Rep. Mike Gallagher [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
327,0,Nay,"Rep. Liz Cheney [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
328,4,Nay,"Rep. Ron Estes [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
329,0,Nay,"Rep. Greg Gianforte [R, 2017-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
330,5,Nay,"Rep. Ralph Norman [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
331,34,Yea,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
332,3,Nay,"Rep. John Curtis [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
333,17,Nay,"Rep. Conor Lamb [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
334,8,Nay,"Rep. Debbie Lesko [R, 2018-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
335,27,Nay,"Rep. Michael Cloud [R, 2018-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
336,12,Nay,"Rep. Troy Balderson [R, 2018-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
337,1,Nay,"Rep. Kevin Hern [R, 2018-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
338,25,Yea,"Rep. Joseph Morelle [D, 2018-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
339,5,Yea,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
340,7,Yea,"Rep. Susan Wild [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
341,9,Yea,"Rep. Greg Stanton [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
342,10,Yea,"Rep. Josh Harder [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
343,21,Yea,"Rep. TJ Cox [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
344,39,Yea,"Rep. Gilbert Cisneros [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
345,45,Yea,"Rep. Katie Porter [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
346,48,Yea,"Rep. Harley Rouda [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
347,49,Yea,"Rep. Mike Levin [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
348,2,Yea,"Rep. Joe Neguse [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
349,6,Yea,"Rep. Jason Crow [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
350,5,Yea,"Rep. Jahana Hayes [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
351,6,Nay,"Rep. Michael Waltz [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
352,15,Nay,"Rep. Ross Spano [R, 2019-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
353,17,Nay,"Rep. Gregory Steube [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
354,26,Yea,"Rep. Debbie Mucarsel-Powell [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
355,27,Yea,"Rep. Donna Shalala [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
356,6,Yea,"Rep. Lucy McBath [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
357,1,Nay,"Rep. Abby Finkenauer [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
358,3,Yea,"Rep. Cynthia Axne [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
359,1,Nay,"Rep. Russ Fulcher [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
360,4,Yea,"Rep. Jesús “Chuy” García [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
361,6,Yea,"Rep. Sean Casten [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
362,14,Yea,"Rep. Lauren Underwood [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
363,4,Nay,"Rep. James Baird [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
364,6,Nay,"Rep. Greg Pence [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
365,2,Nay,"Rep. Steven Watkins [R, 2019-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
366,3,Yea,"Rep. Sharice Davids [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
367,3,Yea,"Rep. Lori Trahan [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
368,7,Yea,"Rep. Ayanna Pressley [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
369,6,Yea,"Rep. David Trone [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
370,8,Yea,"Rep. Elissa Slotkin [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
371,9,Yea,"Rep. Andy Levin [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
372,11,Yea,"Rep. Haley Stevens [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
373,13,Yea,"Rep. Rashida Tlaib [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
374,1,Nay,"Rep. Jim Hagedorn [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
375,2,Yea,"Rep. Angie Craig [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
376,3,Yea,"Rep. Dean Phillips [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
377,5,Yea,"Rep. Ilhan Omar [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
378,8,Nay,"Rep. Pete Stauber [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
379,3,Nay,"Rep. Michael Guest [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
380,0,Nay,"Rep. Kelly Armstrong [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
381,1,Yea,"Rep. Chris Pappas [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
382,2,Nay,"Rep. Jefferson Van Drew [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
383,3,Yea,"Rep. Andy Kim [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
384,7,Yea,"Rep. Tom Malinowski [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
385,11,Yea,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
386,1,Yea,"Rep. Debra Haaland [D, 2019-2021]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
387,2,Nay,"Rep. Xochitl Torres Small [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
388,3,Yea,"Rep. Susie Lee [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
389,11,Yea,"Rep. Max Rose [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
390,14,Yea,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
391,19,Yea,"Rep. Antonio Delgado [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
392,22,Nay,"Rep. Anthony Brindisi [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
393,16,Nay,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
394,5,Nay,"Rep. Kendra Horn [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
395,4,Yea,"Rep. Madeleine Dean [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
396,6,Yea,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
397,9,Nay,"Rep. Daniel Meuser [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
398,13,Nay,"Rep. John Joyce [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
399,14,Nay,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
400,1,Yea,"Rep. Joe Cunningham [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
401,4,Not Voting,"Rep. William Timmons [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
402,0,Nay,"Rep. Dusty Johnson [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
403,2,Nay,"Rep. Tim Burchett [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
404,6,Nay,"Rep. John W. Rose [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
405,7,Nay,"Rep. Mark E. Green [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
406,2,Nay,"Rep. Dan Crenshaw [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
407,3,Nay,"Rep. Van Taylor [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
408,5,Nay,"Rep. Lance Gooden [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
409,6,Nay,"Rep. Ron Wright [R, 2019-2021]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
410,7,Nay,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
411,16,Yea,"Rep. Veronica Escobar [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
412,21,Nay,"Rep. Chip Roy [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
413,29,Yea,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
414,32,Yea,"Rep. Colin Allred [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
415,4,Nay,"Rep. Ben McAdams [D, 2019-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
416,2,Yea,"Rep. Elaine Luria [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
417,5,Not Voting,"Rep. Denver Riggleman [R, 2019-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
418,6,Nay,"Rep. Ben Cline [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
419,7,Yea,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
420,10,Yea,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
421,8,Yea,"Rep. Kim Schrier [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
422,1,Nay,"Rep. Bryan Steil [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
423,3,Nay,"Rep. Carol Miller [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
424,2,Nay,"Rep. Jared Golden [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
425,12,Nay,"Rep. Fred Keller [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
426,9,Nay,"Rep. Dan Bishop [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
427,3,Nay,"Rep. Gregory Murphy [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
428,7,Nay,"Rep. Thomas Tiffany [R, 2020-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
429,25,Nay,"Rep. Mike Garcia [R, 2020-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
430,27,Nay,"Rep. Chris Jacobs [R, 2020-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
