id,vote,name,party, 76, 77, 88, 89, 90, 95, 96, 101, 112, 120, and 124.
59,2,Nay,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat,,,,,,,,,,
60,1,Nay,"Rep. Bobby Rush [D, 1993-2022]",Democrat,,,,,,,,,,
61,13,Nay,"Rep. Tim Ryan [D, 2013-2022]",Democrat,,,,,,,,,,
62,38,Nay,"Rep. Linda Sánchez [D, 2013-2024]",Democrat,,,,,,,,,,
63,9,Nay,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat,,,,,,,,,,
64,28,Nay,"Rep. Adam Schiff [D, 2013-2022]",Democrat,,,,,,,,,,
65,13,Nay,"Rep. David Scott [D, 2003-2024]",Democrat,,,,,,,,,,
66,3,Nay,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat,,,,,,,,,,
67,5,Yea,"Rep. James Sensenbrenner [R, 2003-2020]",Republican,,,,,,,,,,
68,15,Nay,"Rep. José Serrano [D, 2013-2020]",Democrat,,,,,,,,,,
69,30,Nay,"Rep. Brad Sherman [D, 2013-2022]",Democrat,,,,,,,,,,
70,15,Yea,"Rep. John Shimkus [R, 2013-2020]",Republican,,,,,,,,,,
71,2,Yea,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican,,,,,,,,,,
72,9,Nay,"Rep. Adam Smith [D, 1997-2024]",Democrat,,,,,,,,,,
73,4,Not Voting,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican,,,,,,,,,,
74,2,Nay,"Rep. Bennie Thompson [D, 1993-2024]",Democrat,,,,,,,,,,
75,5,Nay,"Rep. Mike Thompson [D, 2013-2022]",Democrat,,,,,,,,,,
76,13,Yea,"Rep. Mac Thornberry [R, 1995-2020]",Republican,,,,,,,,,,
77,10,Yea,"Rep. Michael Turner [R, 2013-2024]",Republican,,,,,,,,,,
78,6,Yea,"Rep. Fred Upton [R, 1993-2022]",Republican,,,,,,,,,,
79,7,Nay,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat,,,,,,,,,,
80,1,Nay,"Rep. Peter Visclosky [D, 1985-2020]",Democrat,,,,,,,,,,
81,2,Yea,"Rep. Greg Walden [R, 1999-2020]",Republican,,,,,,,,,,
82,43,Nay,"Rep. Maxine Waters [D, 2013-2024]",Democrat,,,,,,,,,,
83,2,Yea,"Rep. Joe Wilson [R, 2001-2024]",Republican,,,,,,,,,,
84,0,Yea,"Rep. Don Young [R, 1973-2022]",Republican,,,,,,,,,,
85,1,Nay,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,,,,,,,,,,
86,16,Nay,"Rep. Jim Costa [D, 2013-2022]",Democrat,,,,,,,,,,
87,23,Nay,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,,,,,,,,,,
88,3,Nay,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat,,,,,,,,,,
89,5,Nay,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,,,,,,,,,,
90,1,Yea,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican,,,,,,,,,,
91,26,Nay,"Rep. Brian Higgins [D, 2013-2024]",Democrat,,,,,,,,,,
92,5,Yea,"Rep. Virginia Foxx [R, 2005-2024]",Republican,,,,,,,,,,
93,10,Yea,"Rep. Patrick McHenry [R, 2005-2024]",Republican,,,,,,,,,,
94,1,Yea,"Rep. Louie Gohmert [R, 2005-2022]",Republican,,,,,,,,,,
95,9,Nay,"Rep. Al Green [D, 2005-2024]",Democrat,,,,,,,,,,
96,10,Yea,"Rep. Michael McCaul [R, 2005-2024]",Republican,,,,,,,,,,
97,11,Yea,"Rep. Michael Conaway [R, 2005-2020]",Republican,,,,,,,,,,
98,24,Not Voting,"Rep. Kenny Marchant [R, 2005-2020]",Republican,,,,,,,,,,
99,28,Nay,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,,,,,,,,,,
100,5,Yea,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,,,,,,,,,,
101,4,Nay,"Rep. Gwen Moore [D, 2005-2024]",Democrat,,,,,,,,,,
102,6,Nay,"Rep. Doris Matsui [D, 2013-2022]",Democrat,,,,,,,,,,
103,7,Nay,"Rep. Kweisi Mfume [D, 2020-2024]",Democrat,,,,,,,,,,
104,8,Nay,"Rep. Albio Sires [D, 2013-2022]",Democrat,,,,,,,,,,
105,9,Nay,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,,,,,,,,,,
106,23,Yea,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,,,,,,,,,,
107,5,Yea,"Rep. Doug Lamborn [R, 2007-2024]",Republican,,,,,,,,,,
108,7,Nay,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,,,,,,,,,,
109,2,Nay,"Rep. Joe Courtney [D, 2007-2024]",Democrat,,,,,,,,,,
110,14,Nay,"Rep. Kathy Castor [D, 2013-2024]",Democrat,,,,,,,,,,
111,16,Yea,"Rep. Vern Buchanan [R, 2013-2024]",Republican,,,,,,,,,,
112,4,Yea,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,,,,,,,,,,
113,2,Nay,"Rep. David Loebsack [D, 2007-2020]",Democrat,,,,,,,,,,
114,3,Nay,"Rep. John Yarmuth [D, 2007-2022]",Democrat,,,,,,,,,,
115,3,Nay,"Rep. John Sarbanes [D, 2007-2024]",Democrat,,,,,,,,,,
116,7,Yea,"Rep. Tim Walberg [R, 2011-2022]",Republican,,,,,,,,,,
117,3,Yea,"Rep. Adrian Smith [R, 2007-2024]",Republican,,,,,,,,,,
118,9,Nay,"Rep. Yvette Clarke [D, 2013-2024]",Democrat,,,,,,,,,,
119,4,Yea,"Rep. Jim Jordan [R, 2007-2024]",Republican,,,,,,,,,,
120,9,Nay,"Rep. Steve Cohen [D, 2007-2024]",Democrat,,,,,,,,,,
121,0,Nay,"Rep. Peter Welch [D, 2007-2022]",Democrat,,,,,,,,,,
122,12,Yea,"Rep. Gus Bilirakis [R, 2013-2024]",Republican,,,,,,,,,,
123,1,Yea,"Rep. Robert Wittman [R, 2007-2024]",Republican,,,,,,,,,,
124,5,Yea,"Rep. Robert Latta [R, 2007-2024]",Republican,,,,,,,,,,
125,11,Nay,"Rep. Bill Foster [D, 2013-2024]",Democrat,,,,,,,,,,
126,7,Nay,"Rep. André Carson [D, 2008-2024]",Democrat,,,,,,,,,,
127,14,Nay,"Rep. Jackie Speier [D, 2013-2022]",Democrat,,,,,,,,,,
128,1,Yea,"Rep. Steve Scalise [R, 2008-2024]",Republican,,,,,,,,,,
129,11,Nay,"Rep. Gerald Connolly [D, 2009-2024]",Democrat,,,,,,,,,,
130,2,Yea,"Rep. Brett Guthrie [R, 2009-2024]",Republican,,,,,,,,,,
131,4,Nay,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat,,,,,,,,,,
132,2,Nay,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat,,,,,,,,,,
133,3,Yea,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican,,,,,,,,,,
134,3,Nay,"Rep. Ben Ray Luján [D, 2009-2020]",Democrat,,,,,,,,,,
135,4,Yea,"Rep. Tom McClintock [R, 2009-2022]",Republican,,,,,,,,,,
136,22,Yea,"Rep. Pete Olson [R, 2009-2020]",Republican,,,,,,,,,,
137,1,Nay,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,,,,,,,,,,
138,8,Yea,"Rep. Bill Posey [R, 2013-2024]",Republican,,,,,,,,,,
139,1,Yea,"Rep. David “Phil” Roe [R, 2009-2020]",Republican,,,,,,,,,,
140,5,Nay,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,,,,,,,,,,
141,15,Yea,"Rep. Glenn Thompson [R, 2019-2024]",Republican,,,,,,,,,,
142,1,Nay,"Rep. Dina Titus [D, 2013-2024]",Democrat,,,,,,,,,,
143,20,Nay,"Rep. Paul Tonko [D, 2013-2024]",Democrat,,,,,,,,,,
144,11,Nay,"Rep. Marcia Fudge [D, 2008-2021]",Democrat,,,,,,,,,,
145,5,Nay,"Rep. Mike Quigley [D, 2009-2024]",Democrat,,,,,,,,,,
146,27,Nay,"Rep. Judy Chu [D, 2013-2022]",Democrat,,,,,,,,,,
147,3,Nay,"Rep. John Garamendi [D, 2013-2022]",Democrat,,,,,,,,,,
148,22,Nay,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,,,,,,,,,,
149,14,Yea,"Rep. Tom Graves [R, 2013-2020]",Republican,,,,,,,,,,
150,23,Yea,"Rep. Tom Reed [R, 2013-2022]",Republican,,,,,,,,,,
151,2,Not Voting,"Rep. Martha Roby [R, 2011-2020]",Republican,,,,,,,,,,
152,5,Yea,"Rep. Mo Brooks [R, 2011-2022]",Republican,,,,,,,,,,
153,7,Nay,"Rep. Terri Sewell [D, 2011-2024]",Democrat,,,,,,,,,,
154,4,Yea,"Rep. Paul Gosar [R, 2013-2022]",Republican,,,,,,,,,,
155,6,Yea,"Rep. David Schweikert [R, 2013-2022]",Republican,,,,,,,,,,
156,1,Yea,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican,,,,,,,,,,
157,3,Yea,"Rep. Steve Womack [R, 2011-2024]",Republican,,,,,,,,,,
158,37,Nay,"Rep. Karen Bass [D, 2013-2022]",Democrat,,,,,,,,,,
159,3,Yea,"Rep. Scott Tipton [R, 2011-2020]",Republican,,,,,,,,,,
160,11,Yea,"Rep. Daniel Webster [R, 2017-2024]",Republican,,,,,,,,,,
161,24,Nay,"Rep. Frederica Wilson [D, 2013-2024]",Democrat,,,,,,,,,,
162,7,Yea,"Rep. Rob Woodall [R, 2011-2020]",Republican,,,,,,,,,,
163,8,Yea,"Rep. Austin Scott [R, 2011-2024]",Republican,,,,,,,,,,
164,16,Yea,"Rep. Adam Kinzinger [R, 2013-2022]",Republican,,,,,,,,,,
165,8,Yea,"Rep. Larry Bucshon [R, 2011-2024]",Republican,,,,,,,,,,
166,2,Nay,"Rep. Cedric Richmond [D, 2011-2021]",Democrat,,,,,,,,,,
167,1,Yea,"Rep. Andy Harris [R, 2011-2024]",Republican,,,,,,,,,,
168,9,Nay,"Rep. William R. Keating [D, 2013-2024]",Democrat,,,,,,,,,,
169,2,Yea,"Rep. Bill Huizenga [R, 2011-2022]",Republican,,,,,,,,,,
170,3,Nay,"Rep. Justin Amash [L, 2011-2020]",Libertarian,,,,,,,,,,
171,4,Yea,"Rep. Steven Palazzo [R, 2011-2022]",Republican,,,,,,,,,,
172,4,Yea,"Rep. Vicky Hartzler [R, 2011-2022]",Republican,,,,,,,,,,
173,7,Yea,"Rep. Billy Long [R, 2011-2022]",Republican,,,,,,,,,,
174,6,Yea,"Rep. Bill Johnson [R, 2011-2024]",Republican,,,,,,,,,,
175,15,Yea,"Rep. Steve Stivers [R, 2011-2021]",Republican,,,,,,,,,,
176,7,Not Voting,"Rep. Bob Gibbs [R, 2013-2022]",Republican,,,,,,,,,,
177,16,Yea,"Rep. Mike Kelly [R, 2019-2024]",Republican,,,,,,,,,,
178,1,Nay,"Rep. David Cicilline [D, 2011-2023]",Democrat,,,,,,,,,,
179,3,Yea,"Rep. Jeff Duncan [R, 2011-2024]",Republican,,,,,,,,,,
180,3,Yea,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican,,,,,,,,,,
181,4,Yea,"Rep. Scott DesJarlais [R, 2011-2024]",Republican,,,,,,,,,,
182,17,Yea,"Rep. Bill Flores [R, 2011-2020]",Republican,,,,,,,,,,
183,9,Yea,"Rep. Morgan Griffith [R, 2011-2024]",Republican,,,,,,,,,,
184,3,Yea,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican,,,,,,,,,,
185,1,Yea,"Rep. David McKinley [R, 2011-2022]",Republican,,,,,,,,,,
186,2,Yea,"Rep. Mark Amodei [R, 2011-2024]",Republican,,,,,,,,,,
187,1,Nay,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat,,,,,,,,,,
188,4,Yea,"Rep. Thomas Massie [R, 2012-2024]",Republican,,,,,,,,,,
189,1,Nay,"Rep. Suzan DelBene [D, 2012-2024]",Democrat,,,,,,,,,,
190,10,Nay,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat,,,,,,,,,,
191,1,Yea,"Rep. Doug LaMalfa [R, 2013-2024]",Republican,,,,,,,,,,
192,2,Nay,"Rep. Jared Huffman [D, 2013-2024]",Democrat,,,,,,,,,,
193,7,Nay,"Rep. Ami Bera [D, 2013-2022]",Democrat,,,,,,,,,,
194,8,Yea,"Rep. Paul Cook [R, 2013-2020]",Republican,,,,,,,,,,
195,15,Nay,"Rep. Eric Swalwell [D, 2013-2022]",Democrat,,,,,,,,,,
196,26,Nay,"Rep. Julia Brownley [D, 2013-2024]",Democrat,,,,,,,,,,
197,29,Nay,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat,,,,,,,,,,
198,36,Nay,"Rep. Raul Ruiz [D, 2013-2022]",Democrat,,,,,,,,,,
199,41,Nay,"Rep. Mark Takano [D, 2013-2022]",Democrat,,,,,,,,,,
200,47,Nay,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat,,,,,,,,,,
201,51,Nay,"Rep. Juan Vargas [D, 2013-2022]",Democrat,,,,,,,,,,
202,52,Nay,"Rep. Scott Peters [D, 2013-2022]",Democrat,,,,,,,,,,
203,3,Not Voting,"Rep. Ted Yoho [R, 2013-2020]",Republican,,,,,,,,,,
204,21,Nay,"Rep. Lois Frankel [D, 2017-2022]",Democrat,,,,,,,,,,
205,9,Yea,"Rep. Doug Collins [R, 2013-2020]",Republican,,,,,,,,,,
206,2,Nay,"Rep. Tulsi Gabbard [D, 2013-2020]",Democrat,,,,,,,,,,
207,10,Nay,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat,,,,,,,,,,
208,13,Yea,"Rep. Rodney Davis [R, 2013-2022]",Republican,,,,,,,,,,
209,17,Nay,"Rep. Cheri Bustos [D, 2013-2022]",Democrat,,,,,,,,,,
210,2,Yea,"Rep. Jackie Walorski [R, 2013-2022]",Republican,,,,,,,,,,
211,5,Yea,"Rep. Susan Brooks [R, 2013-2020]",Republican,,,,,,,,,,
212,6,Yea,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican,,,,,,,,,,
213,4,Nay,"Rep. Joseph P. Kennedy [D, 2013-2020]",Democrat,,,,,,,,,,
214,5,Nay,"Rep. Daniel Kildee [D, 2013-2022]",Democrat,,,,,,,,,,
215,2,Yea,"Rep. Ann Wagner [R, 2013-2024]",Republican,,,,,,,,,,
216,8,Yea,"Rep. Richard Hudson [R, 2013-2022]",Republican,,,,,,,,,,
217,2,Yea,"Rep. George Holding [R, 2017-2020]",Republican,,,,,,,,,,
218,2,Nay,"Rep. Ann Kuster [D, 2013-2024]",Democrat,,,,,,,,,,
219,4,Nay,"Rep. Steven Horsford [D, 2019-2024]",Democrat,,,,,,,,,,
220,6,Nay,"Rep. Grace Meng [D, 2013-2024]",Democrat,,,,,,,,,,
221,8,Nay,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat,,,,,,,,,,
222,18,Nay,"Rep. Sean Maloney [D, 2013-2022]",Democrat,,,,,,,,,,
223,2,Yea,"Rep. Brad Wenstrup [R, 2013-2024]",Republican,,,,,,,,,,
224,3,Nay,"Rep. Joyce Beatty [D, 2013-2024]",Democrat,,,,,,,,,,
225,14,Yea,"Rep. David Joyce [R, 2013-2024]",Republican,,,,,,,,,,
226,2,Not Voting,"Rep. Markwayne Mullin [R, 2013-2022]",Republican,,,,,,,,,,
227,10,Yea,"Rep. Scott Perry [R, 2019-2024]",Republican,,,,,,,,,,
228,8,Nay,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat,,,,,,,,,,
229,7,Yea,"Rep. Tom Rice [R, 2013-2022]",Republican,,,,,,,,,,
230,14,Yea,"Rep. Randy Weber [R, 2013-2024]",Republican,,,,,,,,,,
231,20,Nay,"Rep. Joaquin Castro [D, 2013-2024]",Democrat,,,,,,,,,,
232,25,Yea,"Rep. Roger Williams [R, 2013-2024]",Republican,,,,,,,,,,
233,33,Nay,"Rep. Marc Veasey [D, 2013-2024]",Democrat,,,,,,,,,,
234,34,Nay,"Rep. Filemon Vela [D, 2013-2022]",Democrat,,,,,,,,,,
235,2,Yea,"Rep. Chris Stewart [R, 2013-2023]",Republican,,,,,,,,,,
236,6,Nay,"Rep. Derek Kilmer [D, 2013-2024]",Democrat,,,,,,,,,,
237,10,Nay,"Rep. Denny Heck [D, 2013-2020]",Democrat,,,,,,,,,,
238,2,Nay,"Rep. Mark Pocan [D, 2013-2024]",Democrat,,,,,,,,,,
239,2,Nay,"Rep. Robin Kelly [D, 2013-2024]",Democrat,,,,,,,,,,
240,8,Yea,"Rep. Jason Smith [R, 2013-2024]",Republican,,,,,,,,,,
241,5,Nay,"Rep. Katherine Clark [D, 2013-2024]",Democrat,,,,,,,,,,
242,1,Not Voting,"Rep. Bradley Byrne [R, 2014-2020]",Republican,,,,,,,,,,
243,1,Nay,"Rep. Donald Norcross [D, 2014-2024]",Democrat,,,,,,,,,,
244,12,Nay,"Rep. Alma Adams [D, 2014-2024]",Democrat,,,,,,,,,,
245,6,Yea,"Rep. Gary Palmer [R, 2015-2024]",Republican,,,,,,,,,,
246,2,Yea,"Rep. French Hill [R, 2015-2024]",Republican,,,,,,,,,,
247,4,Yea,"Rep. Bruce Westerman [R, 2015-2024]",Republican,,,,,,,,,,
248,7,Nay,"Rep. Ruben Gallego [D, 2015-2022]",Democrat,,,,,,,,,,
249,11,Nay,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat,,,,,,,,,,
250,31,Nay,"Rep. Pete Aguilar [D, 2015-2022]",Democrat,,,,,,,,,,
251,33,Nay,"Rep. Ted Lieu [D, 2015-2022]",Democrat,,,,,,,,,,
252,35,Nay,"Rep. Norma Torres [D, 2015-2024]",Democrat,,,,,,,,,,
253,4,Yea,"Rep. Ken Buck [R, 2015-2024]",Republican,,,,,,,,,,
254,1,Yea,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican,,,,,,,,,,
255,10,Yea,"Rep. Jody Hice [R, 2015-2022]",Republican,,,,,,,,,,
256,11,Not Voting,"Rep. Barry Loudermilk [R, 2015-2024]",Republican,,,,,,,,,,
257,12,Yea,"Rep. Rick Allen [R, 2015-2024]",Republican,,,,,,,,,,
258,12,Yea,"Rep. Mike Bost [R, 2015-2024]",Republican,,,,,,,,,,
259,5,Not Voting,"Rep. Ralph Abraham [R, 2015-2020]",Republican,,,,,,,,,,
260,6,Yea,"Rep. Garret Graves [R, 2015-2024]",Republican,,,,,,,,,,
261,6,Nay,"Rep. Seth Moulton [D, 2015-2024]",Democrat,,,,,,,,,,
262,4,Yea,"Rep. John Moolenaar [R, 2015-2022]",Republican,,,,,,,,,,
263,12,Nay,"Rep. Debbie Dingell [D, 2015-2022]",Democrat,,,,,,,,,,
264,14,Nay,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat,,,,,,,,,,
265,6,Yea,"Rep. Tom Emmer [R, 2015-2024]",Republican,,,,,,,,,,
266,7,Yea,"Rep. David Rouzer [R, 2015-2024]",Republican,,,,,,,,,,
267,12,Nay,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat,,,,,,,,,,
268,1,Yea,"Rep. Lee Zeldin [R, 2015-2022]",Republican,,,,,,,,,,
269,4,Nay,"Rep. Kathleen Rice [D, 2015-2022]",Democrat,,,,,,,,,,
270,21,Yea,"Rep. Elise Stefanik [R, 2015-2024]",Republican,,,,,,,,,,
271,24,Yea,"Rep. John Katko [R, 2015-2022]",Republican,,,,,,,,,,
272,2,Nay,"Rep. Brendan Boyle [D, 2019-2024]",Democrat,,,,,,,,,,
273,23,Yea,"Rep. Will Hurd [R, 2015-2020]",Republican,,,,,,,,,,
274,36,Yea,"Rep. Brian Babin [R, 2015-2024]",Republican,,,,,,,,,,
275,8,Nay,"Rep. Donald Beyer [D, 2015-2024]",Democrat,,,,,,,,,,
276,4,Yea,"Rep. Dan Newhouse [R, 2015-2024]",Republican,,,,,,,,,,
277,6,Yea,"Rep. Glenn Grothman [R, 2015-2024]",Republican,,,,,,,,,,
278,2,Yea,"Rep. Alexander Mooney [R, 2015-2024]",Republican,,,,,,,,,,
279,6,Yea,"Rep. Mark Walker [R, 2015-2020]",Republican,,,,,,,,,,
280,1,Yea,"Rep. Trent Kelly [R, 2015-2024]",Republican,,,,,,,,,,
281,18,Yea,"Rep. Darin LaHood [R, 2015-2022]",Republican,,,,,,,,,,
282,8,Yea,"Rep. Warren Davidson [R, 2016-2024]",Republican,,,,,,,,,,
283,1,Yea,"Rep. James Comer [R, 2016-2024]",Republican,,,,,,,,,,
284,3,Nay,"Rep. Dwight Evans [D, 2019-2024]",Democrat,,,,,,,,,,
285,1,Nay,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat,,,,,,,,,,
286,5,Yea,"Rep. Andy Biggs [R, 2017-2024]",Republican,,,,,,,,,,
287,17,Nay,"Rep. Ro Khanna [D, 2017-2024]",Democrat,,,,,,,,,,
288,20,Nay,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat,,,,,,,,,,
289,24,Nay,"Rep. Salud Carbajal [D, 2017-2024]",Democrat,,,,,,,,,,
290,44,Nay,"Rep. Nanette Barragán [D, 2017-2024]",Democrat,,,,,,,,,,
291,46,Nay,"Rep. Luis Correa [D, 2017-2024]",Democrat,,,,,,,,,,
292,0,Nay,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat,,,,,,,,,,
293,1,Yea,"Rep. Matt Gaetz [R, 2017-2024]",Republican,,,,,,,,,,
294,2,Not Voting,"Rep. Neal Dunn [R, 2017-2024]",Republican,,,,,,,,,,
295,4,Yea,"Rep. John Rutherford [R, 2017-2022]",Republican,,,,,,,,,,
296,5,Nay,"Rep. Al Lawson [D, 2017-2022]",Democrat,,,,,,,,,,
297,7,Nay,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat,,,,,,,,,,
298,9,Nay,"Rep. Darren Soto [D, 2017-2024]",Democrat,,,,,,,,,,
299,10,Nay,"Rep. Val Demings [D, 2017-2022]",Democrat,,,,,,,,,,
300,13,Nay,"Rep. Charlie Crist [D, 2017-2022]",Democrat,,,,,,,,,,
