id,vote,name,party, and for other purpose
151,14,No,"Rep. Tom Graves [R, 2013-2020]",Republican
152,23,No,"Rep. Tom Reed [R, 2013-2022]",Republican
153,2,No,"Rep. Martha Roby [R, 2011-2020]",Republican
154,5,No,"Rep. Mo Brooks [R, 2011-2022]",Republican
155,7,Aye,"Rep. Terri Sewell [D, 2011-2024]",Democrat
156,4,No,"Rep. Paul Gosar [R, 2013-2022]",Republican
157,6,No,"Rep. David Schweikert [R, 2013-2022]",Republican
158,1,No,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican
159,3,No,"Rep. Steve Womack [R, 2011-2024]",Republican
160,37,Aye,"Rep. Karen Bass [D, 2013-2022]",Democrat
161,3,No,"Rep. Scott Tipton [R, 2011-2020]",Republican
162,11,No,"Rep. Daniel Webster [R, 2017-2024]",Republican
163,24,Aye,"Rep. Frederica Wilson [D, 2013-2024]",Democrat
164,7,No,"Rep. Rob Woodall [R, 2011-2020]",Republican
165,8,No,"Rep. Austin Scott [R, 2011-2024]",Republican
166,16,No,"Rep. Adam Kinzinger [R, 2013-2022]",Republican
167,8,No,"Rep. Larry Bucshon [R, 2011-2024]",Republican
168,2,Aye,"Rep. Cedric Richmond [D, 2011-2021]",Democrat
169,1,No,"Rep. Andy Harris [R, 2011-2024]",Republican
170,9,Aye,"Rep. William R. Keating [D, 2013-2024]",Democrat
171,2,No,"Rep. Bill Huizenga [R, 2011-2022]",Republican
172,3,No,"Rep. Justin Amash [L, 2011-2020]",Republican
173,4,No,"Rep. Steven Palazzo [R, 2011-2022]",Republican
174,4,No,"Rep. Vicky Hartzler [R, 2011-2022]",Republican
175,7,No,"Rep. Billy Long [R, 2011-2022]",Republican
176,6,No,"Rep. Bill Johnson [R, 2011-2024]",Republican
177,15,No,"Rep. Steve Stivers [R, 2011-2021]",Republican
178,7,No,"Rep. Bob Gibbs [R, 2013-2022]",Republican
179,16,No,"Rep. Mike Kelly [R, 2019-2024]",Republican
180,1,Aye,"Rep. David Cicilline [D, 2011-2023]",Democrat
181,3,No,"Rep. Jeff Duncan [R, 2011-2024]",Republican
182,3,No,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican
183,4,No,"Rep. Scott DesJarlais [R, 2011-2024]",Republican
184,17,No,"Rep. Bill Flores [R, 2011-2020]",Republican
185,9,No,"Rep. Morgan Griffith [R, 2011-2024]",Republican
186,3,Not Voting,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican
187,1,No,"Rep. David McKinley [R, 2011-2022]",Republican
188,7,No,"Rep. Sean Duffy [R, 2011-2019]",Republican
189,2,No,"Rep. Mark Amodei [R, 2011-2024]",Republican
190,1,Aye,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat
191,4,No,"Rep. Thomas Massie [R, 2012-2024]",Republican
192,1,Aye,"Rep. Suzan DelBene [D, 2012-2024]",Democrat
193,10,Aye,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat
194,1,No,"Rep. Doug LaMalfa [R, 2013-2024]",Republican
195,2,Aye,"Rep. Jared Huffman [D, 2013-2024]",Democrat
196,7,Aye,"Rep. Ami Bera [D, 2013-2022]",Democrat
197,8,No,"Rep. Paul Cook [R, 2013-2020]",Republican
198,15,Not Voting,"Rep. Eric Swalwell [D, 2013-2022]",Democrat
199,26,Aye,"Rep. Julia Brownley [D, 2013-2024]",Democrat
200,29,Aye,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat
201,36,Aye,"Rep. Raul Ruiz [D, 2013-2022]",Democrat
202,41,Aye,"Rep. Mark Takano [D, 2013-2022]",Democrat
203,47,Aye,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat
204,51,Aye,"Rep. Juan Vargas [D, 2013-2022]",Democrat
205,52,Aye,"Rep. Scott Peters [D, 2013-2022]",Democrat
206,3,No,"Rep. Ted Yoho [R, 2013-2020]",Republican
207,21,Aye,"Rep. Lois Frankel [D, 2017-2022]",Democrat
208,9,No,"Rep. Doug Collins [R, 2013-2020]",Republican
209,2,Aye,"Rep. Tulsi Gabbard [D, 2013-2020]",Democrat
210,10,Aye,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat
211,13,No,"Rep. Rodney Davis [R, 2013-2022]",Republican
212,17,Aye,"Rep. Cheri Bustos [D, 2013-2022]",Democrat
213,2,No,"Rep. Jackie Walorski [R, 2013-2022]",Republican
214,5,No,"Rep. Susan Brooks [R, 2013-2020]",Republican
215,6,No,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican
216,4,Aye,"Rep. Joseph P. Kennedy [D, 2013-2020]",Democrat
217,5,Aye,"Rep. Daniel Kildee [D, 2013-2022]",Democrat
218,2,No,"Rep. Ann Wagner [R, 2013-2024]",Republican
219,8,No,"Rep. Richard Hudson [R, 2013-2022]",Republican
220,11,No,"Rep. Mark Meadows [R, 2013-2020]",Republican
221,2,No,"Rep. George Holding [R, 2017-2020]",Republican
222,2,Aye,"Rep. Ann Kuster [D, 2013-2024]",Democrat
223,4,Aye,"Rep. Steven Horsford [D, 2019-2024]",Democrat
224,6,Aye,"Rep. Grace Meng [D, 2013-2024]",Democrat
225,8,Aye,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat
226,18,Aye,"Rep. Sean Maloney [D, 2013-2022]",Democrat
227,27,No,"Rep. Chris Collins [R, 2013-2019]",Republican
228,2,No,"Rep. Brad Wenstrup [R, 2013-2024]",Republican
229,3,Aye,"Rep. Joyce Beatty [D, 2013-2024]",Democrat
230,14,No,"Rep. David Joyce [R, 2013-2024]",Republican
231,2,No,"Rep. Markwayne Mullin [R, 2013-2022]",Republican
232,10,No,"Rep. Scott Perry [R, 2019-2024]",Republican
233,8,Aye,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat
234,7,No,"Rep. Tom Rice [R, 2013-2022]",Republican
235,14,No,"Rep. Randy Weber [R, 2013-2024]",Republican
236,20,Aye,"Rep. Joaquin Castro [D, 2013-2024]",Democrat
237,25,No,"Rep. Roger Williams [R, 2013-2024]",Republican
238,33,Aye,"Rep. Marc Veasey [D, 2013-2024]",Democrat
239,34,Aye,"Rep. Filemon Vela [D, 2013-2022]",Democrat
240,2,No,"Rep. Chris Stewart [R, 2013-2023]",Republican
241,6,Aye,"Rep. Derek Kilmer [D, 2013-2024]",Democrat
