id,vote,name,party, and for other purpose
394,2,Aye,"Rep. Xochitl Torres Small [D, 2019-2020]",Democrat
395,3,Aye,"Rep. Susie Lee [D, 2019-2024]",Democrat
396,11,Aye,"Rep. Max Rose [D, 2019-2020]",Democrat
397,14,Aye,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat
398,19,Aye,"Rep. Antonio Delgado [D, 2019-2022]",Democrat
399,22,Aye,"Rep. Anthony Brindisi [D, 2019-2020]",Democrat
400,16,No,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican
401,5,Aye,"Rep. Kendra Horn [D, 2019-2020]",Democrat
402,4,Aye,"Rep. Madeleine Dean [D, 2019-2024]",Democrat
403,6,Aye,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat
404,9,No,"Rep. Daniel Meuser [R, 2019-2024]",Republican
405,13,No,"Rep. John Joyce [R, 2019-2024]",Republican
406,14,No,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican
407,1,Aye,"Rep. Joe Cunningham [D, 2019-2020]",Democrat
408,4,No,"Rep. William Timmons [R, 2019-2024]",Republican
409,0,No,"Rep. Dusty Johnson [R, 2019-2024]",Republican
410,2,No,"Rep. Tim Burchett [R, 2019-2024]",Republican
411,6,No,"Rep. John W. Rose [R, 2019-2024]",Republican
412,7,Not Voting,"Rep. Mark E. Green [R, 2019-2024]",Republican
413,2,No,"Rep. Dan Crenshaw [R, 2019-2024]",Republican
414,3,No,"Rep. Van Taylor [R, 2019-2022]",Republican
415,5,No,"Rep. Lance Gooden [R, 2019-2024]",Republican
416,6,Not Voting,"Rep. Ron Wright [R, 2019-2021]",Republican
417,7,Aye,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat
418,16,Aye,"Rep. Veronica Escobar [D, 2019-2024]",Democrat
419,21,No,"Rep. Chip Roy [R, 2019-2024]",Republican
420,29,Aye,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat
421,32,Aye,"Rep. Colin Allred [D, 2019-2024]",Democrat
422,4,Aye,"Rep. Ben McAdams [D, 2019-2020]",Democrat
423,2,Aye,"Rep. Elaine Luria [D, 2019-2022]",Democrat
424,5,No,"Rep. Denver Riggleman [R, 2019-2020]",Republican
425,6,No,"Rep. Ben Cline [R, 2019-2024]",Republican
426,7,Aye,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat
427,10,Aye,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat
428,8,Aye,"Rep. Kim Schrier [D, 2019-2024]",Democrat
429,1,No,"Rep. Bryan Steil [R, 2019-2024]",Republican
430,3,No,"Rep. Carol Miller [R, 2019-2022]",Republican
431,2,Aye,"Rep. Jared Golden [D, 2019-2024]",Democrat
432,12,No,"Rep. Fred Keller [R, 2019-2022]",Republican
